Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Los Angeles Lakers,3,0,4,0,4,0,4,1
Philadelphia 76ers,3,1,4,3,4,3,1,4
Milwaukee Bucks,3,1,4,3,3,4,0,0
San Antonio Spurs,3,1,4,1,0,4,0,0
Charlotte Hornets,3,0,3,4,0,0,0,0
Toronto Raptors,3,2,3,4,0,0,0,0
Sacramento Kings,3,1,0,4,0,0,0,0
Dallas Mavericks,3,2,1,4,0,0,0,0
Miami Heat,0,3,0,0,0,0,0,0
Orlando Magic,1,3,0,0,0,0,0,0
Indiana Pacers,1,3,0,0,0,0,0,0
New York Knicks,2,3,0,0,0,0,0,0
Utah Jazz,2,3,0,0,0,0,0,0
Portland Trail Blazers,0,3,0,0,0,0,0,0
Phoenix Suns,1,3,0,0,0,0,0,0
Minnesota Timberwolves,1,3,0,0,0,0,0,0
