Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Houston Rockets,3,2,4,3,4,2,4,0
Orlando Magic,3,1,4,2,4,3,0,4
Indiana Pacers,3,0,4,3,3,4,0,0
San Antonio Spurs,3,0,4,2,2,4,0,0
New York Knicks,3,1,3,4,0,0,0,0
Chicago Bulls,3,1,2,4,0,0,0,0
Phoenix Suns,3,0,3,4,0,0,0,0
Los Angeles Lakers,3,1,2,4,0,0,0,0
Charlotte Hornets,1,3,0,0,0,0,0,0
Atlanta Hawks,0,3,0,0,0,0,0,0
Cleveland Cavaliers,1,3,0,0,0,0,0,0
Boston Celtics,1,3,0,0,0,0,0,0
Utah Jazz,2,3,0,0,0,0,0,0
Seattle SuperSonics,1,3,0,0,0,0,0,0
Portland Trail Blazers,0,3,0,0,0,0,0,0
Denver Nuggets,0,3,0,0,0,0,0,0
