Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Los Angeles Lakers,4,1,4,1,4,1,4,2
Miami Heat,4,0,4,1,4,2,2,4
Boston Celtics,4,0,4,3,2,4,0,0
Denver Nuggets,4,3,4,3,1,4,0,0
Toronto Raptors,4,0,3,4,0,0,0,0
Milwaukee Bucks,4,1,1,4,0,0,0,0
Los Angeles Clippers,4,2,3,4,0,0,0,0
Houston Rockets,4,3,1,4,0,0,0,0
Philadelphia 76ers,0,4,0,0,0,0,0,0
Indiana Pacers,0,4,0,0,0,0,0,0
Orlando Magic,1,4,0,0,0,0,0,0
Brooklyn Nets,0,4,0,0,0,0,0,0
Utah Jazz,3,4,0,0,0,0,0,0
Oklahoma City Thunder,3,4,0,0,0,0,0,0
Dallas Mavericks,2,4,0,0,0,0,0,0
Portland Trail Blazers,1,4,0,0,0,0,0,0
