Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
San Antonio Spurs,4,1,4,2,4,1,4,0
Cleveland Cavaliers,4,0,4,2,4,2,0,4
Detroit Pistons,4,0,4,2,2,4,0,0
Utah Jazz,4,3,4,1,1,4,0,0
New Jersey Nets,4,2,2,4,0,0,0,0
Chicago Bulls,4,0,2,4,0,0,0,0
Phoenix Suns,4,1,2,4,0,0,0,0
Golden State Warriors,4,2,1,4,0,0,0,0
Miami Heat,0,4,0,0,0,0,0,0
Washington Wizards,0,4,0,0,0,0,0,0
Orlando Magic,0,4,0,0,0,0,0,0
Toronto Raptors,2,4,0,0,0,0,0,0
Dallas Mavericks,2,4,0,0,0,0,0,0
Los Angeles Lakers,1,4,0,0,0,0,0,0
Denver Nuggets,1,4,0,0,0,0,0,0
Houston Rockets,3,4,0,0,0,0,0,0
