Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Los Angeles Lakers,4,2,4,0,4,2,4,3
Boston Celtics,4,1,4,2,4,2,3,4
Orlando Magic,4,0,4,0,2,4,0,0
Phoenix Suns,4,2,4,0,2,4,0,0
Cleveland Cavaliers,4,1,2,4,0,0,0,0
Atlanta Hawks,4,3,0,4,0,0,0,0
Utah Jazz,4,2,0,4,0,0,0,0
San Antonio Spurs,4,2,0,4,0,0,0,0
Milwaukee Bucks,3,4,0,0,0,0,0,0
Miami Heat,1,4,0,0,0,0,0,0
Chicago Bulls,1,4,0,0,0,0,0,0
Charlotte Bobcats,0,4,0,0,0,0,0,0
Oklahoma City Thunder,2,4,0,0,0,0,0,0
Portland Trail Blazers,2,4,0,0,0,0,0,0
Dallas Mavericks,2,4,0,0,0,0,0,0
Denver Nuggets,2,4,0,0,0,0,0,0
