Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Golden State Warriors,4,0,4,2,4,1,4,2
Cleveland Cavaliers,4,0,4,2,4,0,2,4
Atlanta Hawks,4,2,4,2,0,4,0,0
Houston Rockets,4,1,4,3,1,4,0,0
Washington Wizards,4,0,2,4,0,0,0,0
Chicago Bulls,4,2,2,4,0,0,0,0
Memphis Grizzlies,4,1,2,4,0,0,0,0
Los Angeles Clippers,4,3,3,4,0,0,0,0
Brooklyn Nets,2,4,0,0,0,0,0,0
Milwaukee Bucks,2,4,0,0,0,0,0,0
Boston Celtics,0,4,0,0,0,0,0,0
Toronto Raptors,0,4,0,0,0,0,0,0
New Orleans Pelicans,0,4,0,0,0,0,0,0
Dallas Mavericks,1,4,0,0,0,0,0,0
San Antonio Spurs,3,4,0,0,0,0,0,0
Portland Trail Blazers,1,4,0,0,0,0,0,0
