Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Boston Celtics,4,3,4,3,4,2,4,2
Los Angeles Lakers,4,0,4,2,4,1,2,4
Detroit Pistons,4,2,4,1,2,4,0,0
San Antonio Spurs,4,1,4,3,1,4,0,0
Cleveland Cavaliers,4,2,3,4,0,0,0,0
Orlando Magic,4,1,1,4,0,0,0,0
Utah Jazz,4,2,2,4,0,0,0,0
New Orleans Hornets,4,1,3,4,0,0,0,0
Atlanta Hawks,3,4,0,0,0,0,0,0
Washington Wizards,2,4,0,0,0,0,0,0
Philadelphia 76ers,2,4,0,0,0,0,0,0
Toronto Raptors,1,4,0,0,0,0,0,0
Denver Nuggets,0,4,0,0,0,0,0,0
Dallas Mavericks,1,4,0,0,0,0,0,0
Phoenix Suns,1,4,0,0,0,0,0,0
Houston Rockets,2,4,0,0,0,0,0,0
