Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
San Antonio Spurs,3,1,4,0,4,0,4,1
New York Knicks,3,2,4,0,4,2,1,4
Indiana Pacers,3,0,4,0,2,4,0,0
Portland Trail Blazers,3,0,4,2,0,4,0,0
Philadelphia 76ers,3,1,0,4,0,0,0,0
Atlanta Hawks,3,2,0,4,0,0,0,0
Utah Jazz,3,2,2,4,0,0,0,0
Los Angeles Lakers,3,1,0,4,0,0,0,0
Detroit Pistons,2,3,0,0,0,0,0,0
Milwaukee Bucks,0,3,0,0,0,0,0,0
Miami Heat,2,3,0,0,0,0,0,0
Orlando Magic,1,3,0,0,0,0,0,0
Houston Rockets,1,3,0,0,0,0,0,0
Phoenix Suns,0,3,0,0,0,0,0,0
Minnesota Timberwolves,1,3,0,0,0,0,0,0
Sacramento Kings,2,3,0,0,0,0,0,0
