Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Los Angeles Lakers,3,0,4,1,4,0,4,2
Boston Celtics,3,0,4,3,4,3,2,4
Detroit Pistons,3,0,4,1,3,4,0,0
Seattle SuperSonics,3,1,4,2,0,4,0,0
Milwaukee Bucks,3,2,3,4,0,0,0,0
Atlanta Hawks,3,1,1,4,0,0,0,0
Golden State Warriors,3,2,1,4,0,0,0,0
Houston Rockets,3,1,2,4,0,0,0,0
Indiana Pacers,1,3,0,0,0,0,0,0
Chicago Bulls,0,3,0,0,0,0,0,0
Washington Bullets,0,3,0,0,0,0,0,0
Philadelphia 76ers,2,3,0,0,0,0,0,0
Utah Jazz,2,3,0,0,0,0,0,0
Portland Trail Blazers,1,3,0,0,0,0,0,0
Denver Nuggets,0,3,0,0,0,0,0,0
Dallas Mavericks,1,3,0,0,0,0,0,0
