Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Chicago Bulls,3,0,4,1,4,1,4,2
Utah Jazz,3,0,4,1,4,2,2,4
Miami Heat,3,2,4,3,1,4,0,0
Houston Rockets,3,0,4,3,2,4,0,0
Atlanta Hawks,3,2,1,4,0,0,0,0
New York Knicks,3,0,3,4,0,0,0,0
Seattle SuperSonics,3,2,3,4,0,0,0,0
Los Angeles Lakers,3,1,1,4,0,0,0,0
Detroit Pistons,2,3,0,0,0,0,0,0
Washington Bullets,0,3,0,0,0,0,0,0
Orlando Magic,2,3,0,0,0,0,0,0
Charlotte Hornets,0,3,0,0,0,0,0,0
Minnesota Timberwolves,0,3,0,0,0,0,0,0
Portland Trail Blazers,1,3,0,0,0,0,0,0
Phoenix Suns,2,3,0,0,0,0,0,0
Los Angeles Clippers,0,3,0,0,0,0,0,0
