Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Toronto Raptors,4,1,4,3,4,2,4,2
Golden State Warriors,4,2,4,2,4,0,2,4
Milwaukee Bucks,4,0,4,1,2,4,0,0
Portland Trail Blazers,4,1,4,3,0,4,0,0
Boston Celtics,4,0,1,4,0,0,0,0
Philadelphia 76ers,4,1,3,4,0,0,0,0
Houston Rockets,4,1,2,4,0,0,0,0
Denver Nuggets,4,3,3,4,0,0,0,0
Indiana Pacers,0,4,0,0,0,0,0,0
Detroit Pistons,0,4,0,0,0,0,0,0
Brooklyn Nets,1,4,0,0,0,0,0,0
Orlando Magic,1,4,0,0,0,0,0,0
San Antonio Spurs,3,4,0,0,0,0,0,0
Los Angeles Clippers,2,4,0,0,0,0,0,0
Utah Jazz,1,4,0,0,0,0,0,0
Oklahoma City Thunder,1,4,0,0,0,0,0,0
