Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Miami Heat,4,2,4,1,4,2,4,2
Dallas Mavericks,4,0,4,3,4,2,2,4
Detroit Pistons,4,1,4,3,2,4,0,0
Phoenix Suns,4,3,4,3,2,4,0,0
Cleveland Cavaliers,4,2,3,4,0,0,0,0
New Jersey Nets,4,2,1,4,0,0,0,0
San Antonio Spurs,4,2,3,4,0,0,0,0
Los Angeles Clippers,4,1,3,4,0,0,0,0
Washington Wizards,2,4,0,0,0,0,0,0
Milwaukee Bucks,1,4,0,0,0,0,0,0
Chicago Bulls,2,4,0,0,0,0,0,0
Indiana Pacers,2,4,0,0,0,0,0,0
Memphis Grizzlies,0,4,0,0,0,0,0,0
Denver Nuggets,1,4,0,0,0,0,0,0
Los Angeles Lakers,3,4,0,0,0,0,0,0
Sacramento Kings,2,4,0,0,0,0,0,0
