Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Miami Heat,4,0,4,1,4,3,4,3
San Antonio Spurs,4,0,4,2,4,0,3,4
Indiana Pacers,4,2,4,2,3,4,0,0
Memphis Grizzlies,4,2,4,1,0,4,0,0
New York Knicks,4,2,2,4,0,0,0,0
Chicago Bulls,4,3,1,4,0,0,0,0
Oklahoma City Thunder,4,2,1,4,0,0,0,0
Golden State Warriors,4,2,2,4,0,0,0,0
Brooklyn Nets,3,4,0,0,0,0,0,0
Atlanta Hawks,2,4,0,0,0,0,0,0
Milwaukee Bucks,0,4,0,0,0,0,0,0
Boston Celtics,2,4,0,0,0,0,0,0
Denver Nuggets,2,4,0,0,0,0,0,0
Los Angeles Clippers,2,4,0,0,0,0,0,0
Houston Rockets,2,4,0,0,0,0,0,0
Los Angeles Lakers,0,4,0,0,0,0,0,0
