Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Boston Celtics,3,0,4,1,4,0,4,2
Houston Rockets,3,0,4,2,4,1,2,4
Milwaukee Bucks,3,0,4,3,0,4,0,0
Los Angeles Lakers,3,0,4,2,1,4,0,0
Atlanta Hawks,3,1,1,4,0,0,0,0
Philadelphia 76ers,3,2,3,4,0,0,0,0
Denver Nuggets,3,1,2,4,0,0,0,0
Dallas Mavericks,3,1,2,4,0,0,0,0
Detroit Pistons,1,3,0,0,0,0,0,0
Chicago Bulls,0,3,0,0,0,0,0,0
New Jersey Nets,0,3,0,0,0,0,0,0
Washington Bullets,2,3,0,0,0,0,0,0
Utah Jazz,1,3,0,0,0,0,0,0
Portland Trail Blazers,1,3,0,0,0,0,0,0
Sacramento Kings,0,3,0,0,0,0,0,0
San Antonio Spurs,0,3,0,0,0,0,0,0
