Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Golden State Warriors,4,1,4,1,4,3,4,0
Cleveland Cavaliers,4,3,4,0,4,3,0,4
Boston Celtics,4,3,4,1,3,4,0,0
Houston Rockets,4,1,4,1,3,4,0,0
Philadelphia 76ers,4,1,1,4,0,0,0,0
Toronto Raptors,4,2,0,4,0,0,0,0
New Orleans Pelicans,4,0,1,4,0,0,0,0
Utah Jazz,4,2,1,4,0,0,0,0
Milwaukee Bucks,3,4,0,0,0,0,0,0
Indiana Pacers,3,4,0,0,0,0,0,0
Miami Heat,1,4,0,0,0,0,0,0
Washington Wizards,2,4,0,0,0,0,0,0
San Antonio Spurs,1,4,0,0,0,0,0,0
Minnesota Timberwolves,1,4,0,0,0,0,0,0
Portland Trail Blazers,0,4,0,0,0,0,0,0
Oklahoma City Thunder,2,4,0,0,0,0,0,0
