Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Golden State Warriors,4,1,4,2,4,1,4,2
Boston Celtics,4,0,4,3,4,3,2,4
Miami Heat,4,1,4,2,3,4,0,0
Dallas Mavericks,4,2,4,3,1,4,0,0
Milwaukee Bucks,4,1,3,4,0,0,0,0
Philadelphia 76ers,4,2,2,4,0,0,0,0
Phoenix Suns,4,2,3,4,0,0,0,0
Memphis Grizzlies,4,2,2,4,0,0,0,0
Brooklyn Nets,0,4,0,0,0,0,0,0
Atlanta Hawks,1,4,0,0,0,0,0,0
Chicago Bulls,1,4,0,0,0,0,0,0
Toronto Raptors,2,4,0,0,0,0,0,0
Utah Jazz,2,4,0,0,0,0,0,0
Denver Nuggets,1,4,0,0,0,0,0,0
Minnesota Timberwolves,2,4,0,0,0,0,0,0
New Orleans Pelicans,2,4,0,0,0,0,0,0
