Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Los Angeles Lakers,3,0,4,1,4,3,4,0
New Jersey Nets,3,2,4,1,4,2,0,4
Boston Celtics,3,2,4,1,2,4,0,0
Sacramento Kings,3,1,4,1,3,4,0,0
Detroit Pistons,3,2,1,4,0,0,0,0
Charlotte Hornets,3,1,1,4,0,0,0,0
San Antonio Spurs,3,2,1,4,0,0,0,0
Dallas Mavericks,3,0,1,4,0,0,0,0
Philadelphia 76ers,2,3,0,0,0,0,0,0
Orlando Magic,1,3,0,0,0,0,0,0
Toronto Raptors,2,3,0,0,0,0,0,0
Indiana Pacers,2,3,0,0,0,0,0,0
Minnesota Timberwolves,0,3,0,0,0,0,0,0
Portland Trail Blazers,0,3,0,0,0,0,0,0
Utah Jazz,1,3,0,0,0,0,0,0
Seattle SuperSonics,2,3,0,0,0,0,0,0
