Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Chicago Bulls,3,0,4,3,4,2,4,2
Portland Trail Blazers,3,1,4,1,4,2,2,4
Cleveland Cavaliers,3,1,4,3,2,4,0,0
Utah Jazz,3,2,4,1,2,4,0,0
New York Knicks,3,2,3,4,0,0,0,0
Boston Celtics,3,0,3,4,0,0,0,0
Phoenix Suns,3,0,1,4,0,0,0,0
Seattle SuperSonics,3,1,1,4,0,0,0,0
Indiana Pacers,0,3,0,0,0,0,0,0
Miami Heat,0,3,0,0,0,0,0,0
New Jersey Nets,1,3,0,0,0,0,0,0
Detroit Pistons,2,3,0,0,0,0,0,0
San Antonio Spurs,0,3,0,0,0,0,0,0
Los Angeles Lakers,1,3,0,0,0,0,0,0
Golden State Warriors,1,3,0,0,0,0,0,0
Los Angeles Clippers,2,3,0,0,0,0,0,0
