Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Los Angeles Lakers,3,2,4,1,4,3,4,2
Indiana Pacers,3,2,4,2,4,2,2,4
New York Knicks,3,0,4,3,2,4,0,0
Portland Trail Blazers,3,1,4,1,3,4,0,0
Philadelphia 76ers,3,1,2,4,0,0,0,0
Miami Heat,3,0,3,4,0,0,0,0
Phoenix Suns,3,1,1,4,0,0,0,0
Utah Jazz,3,2,1,4,0,0,0,0
Milwaukee Bucks,2,3,0,0,0,0,0,0
Detroit Pistons,0,3,0,0,0,0,0,0
Toronto Raptors,0,3,0,0,0,0,0,0
Charlotte Hornets,1,3,0,0,0,0,0,0
Sacramento Kings,2,3,0,0,0,0,0,0
San Antonio Spurs,1,3,0,0,0,0,0,0
Minnesota Timberwolves,1,3,0,0,0,0,0,0
Seattle SuperSonics,2,3,0,0,0,0,0,0
