Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Denver Nuggets,4,1,4,2,4,0,4,1
Miami Heat,4,1,4,2,4,3,1,4
Boston Celtics,4,2,4,3,3,4,0,0
Los Angeles Lakers,4,2,4,2,0,4,0,0
Philadelphia 76ers,4,0,3,4,0,0,0,0
New York Knicks,4,1,2,4,0,0,0,0
Phoenix Suns,4,1,2,4,0,0,0,0
Golden State Warriors,4,3,2,4,0,0,0,0
Atlanta Hawks,2,4,0,0,0,0,0,0
Milwaukee Bucks,1,4,0,0,0,0,0,0
Cleveland Cavaliers,1,4,0,0,0,0,0,0
Brooklyn Nets,0,4,0,0,0,0,0,0
Minnesota Timberwolves,1,4,0,0,0,0,0,0
Sacramento Kings,3,4,0,0,0,0,0,0
Memphis Grizzlies,2,4,0,0,0,0,0,0
Los Angeles Clippers,1,4,0,0,0,0,0,0
