Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Dallas Mavericks,4,2,4,0,4,1,4,2
Miami Heat,4,1,4,1,4,1,2,4
Chicago Bulls,4,1,4,2,1,4,0,0
Oklahoma City Thunder,4,1,4,3,1,4,0,0
Atlanta Hawks,4,2,2,4,0,0,0,0
Boston Celtics,4,0,1,4,0,0,0,0
Los Angeles Lakers,4,2,0,4,0,0,0,0
Memphis Grizzlies,4,2,3,4,0,0,0,0
Orlando Magic,2,4,0,0,0,0,0,0
New York Knicks,0,4,0,0,0,0,0,0
Indiana Pacers,1,4,0,0,0,0,0,0
Philadelphia 76ers,1,4,0,0,0,0,0,0
Portland Trail Blazers,2,4,0,0,0,0,0,0
New Orleans Hornets,2,4,0,0,0,0,0,0
San Antonio Spurs,2,4,0,0,0,0,0,0
Denver Nuggets,1,4,0,0,0,0,0,0
