Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Chicago Bulls,3,0,4,1,4,0,4,2
Seattle SuperSonics,3,1,4,0,4,3,2,4
Orlando Magic,3,0,4,1,0,4,0,0
Utah Jazz,3,2,4,2,3,4,0,0
New York Knicks,3,0,1,4,0,0,0,0
Atlanta Hawks,3,2,1,4,0,0,0,0
Houston Rockets,3,1,0,4,0,0,0,0
San Antonio Spurs,3,1,2,4,0,0,0,0
Indiana Pacers,2,3,0,0,0,0,0,0
Miami Heat,0,3,0,0,0,0,0,0
Cleveland Cavaliers,0,3,0,0,0,0,0,0
Detroit Pistons,0,3,0,0,0,0,0,0
Los Angeles Lakers,1,3,0,0,0,0,0,0
Phoenix Suns,1,3,0,0,0,0,0,0
Sacramento Kings,1,3,0,0,0,0,0,0
Portland Trail Blazers,2,3,0,0,0,0,0,0
