Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Los Angeles Lakers,4,1,4,3,4,2,4,1
Orlando Magic,4,2,4,3,4,2,1,4
Cleveland Cavaliers,4,0,4,0,2,4,0,0
Denver Nuggets,4,1,4,1,2,4,0,0
Atlanta Hawks,4,3,0,4,0,0,0,0
Boston Celtics,4,3,3,4,0,0,0,0
Dallas Mavericks,4,1,1,4,0,0,0,0
Houston Rockets,4,2,3,4,0,0,0,0
Miami Heat,3,4,0,0,0,0,0,0
Chicago Bulls,3,4,0,0,0,0,0,0
Detroit Pistons,0,4,0,0,0,0,0,0
Philadelphia 76ers,2,4,0,0,0,0,0,0
San Antonio Spurs,1,4,0,0,0,0,0,0
New Orleans Hornets,1,4,0,0,0,0,0,0
Portland Trail Blazers,2,4,0,0,0,0,0,0
Utah Jazz,1,4,0,0,0,0,0,0
