Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Miami Heat,4,1,4,2,4,3,4,1
Oklahoma City Thunder,4,0,4,1,4,2,1,4
Boston Celtics,4,2,4,3,3,4,0,0
San Antonio Spurs,4,0,4,0,2,4,0,0
Philadelphia 76ers,4,2,3,4,0,0,0,0
Indiana Pacers,4,1,2,4,0,0,0,0
Los Angeles Lakers,4,3,1,4,0,0,0,0
Los Angeles Clippers,4,3,0,4,0,0,0,0
Atlanta Hawks,2,4,0,0,0,0,0,0
Orlando Magic,1,4,0,0,0,0,0,0
New York Knicks,1,4,0,0,0,0,0,0
Chicago Bulls,2,4,0,0,0,0,0,0
Memphis Grizzlies,3,4,0,0,0,0,0,0
Denver Nuggets,3,4,0,0,0,0,0,0
Dallas Mavericks,0,4,0,0,0,0,0,0
Utah Jazz,0,4,0,0,0,0,0,0
