Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Golden State Warriors,4,0,4,0,4,0,4,1
Cleveland Cavaliers,4,0,4,0,4,1,1,4
Boston Celtics,4,2,4,3,1,4,0,0
San Antonio Spurs,4,2,4,2,0,4,0,0
Washington Wizards,4,2,3,4,0,0,0,0
Toronto Raptors,4,2,0,4,0,0,0,0
Utah Jazz,4,3,0,4,0,0,0,0
Houston Rockets,4,1,2,4,0,0,0,0
Chicago Bulls,2,4,0,0,0,0,0,0
Indiana Pacers,0,4,0,0,0,0,0,0
Milwaukee Bucks,2,4,0,0,0,0,0,0
Atlanta Hawks,2,4,0,0,0,0,0,0
Portland Trail Blazers,0,4,0,0,0,0,0,0
Oklahoma City Thunder,1,4,0,0,0,0,0,0
Memphis Grizzlies,2,4,0,0,0,0,0,0
Los Angeles Clippers,3,4,0,0,0,0,0,0
