Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Elvin Hayes,32,PF,21,868,20.3,.515,.345,11.7,20.8,16.2,7.4,1.7,3.2,11.6,22.5,1.4,1.7,3.1,.169,3.7,0.5,4.1,1.3,
2,Bob Dandridge,30,SF,19,746,16.8,.508,.234,4.6,12.1,8.3,15.0,1.9,1.0,12.6,23.6,0.8,1.0,1.9,.121,2.5,0.4,2.9,0.9,
3,Wes Unseld,31,C,18,677,14.5,.548,.343,10.5,21.9,16.1,14.8,1.2,0.5,18.9,10.9,1.0,1.1,2.0,.144,2.7,1.0,3.6,1.0,Finals MVP-1
4,Tom Henderson,26,PG,21,597,14.0,.486,.457,2.8,5.2,4.0,23.0,2.1,0.4,13.0,15.6,0.8,0.7,1.5,.117,1.9,0.4,2.3,0.6,
5,Kevin Grevey,24,SF,21,584,13.6,.502,.317,4.2,6.3,5.3,10.6,0.9,0.3,12.0,24.5,0.6,0.5,1.1,.093,0.9,-1.6,-0.7,0.2,
6,Mitch Kupchak,23,PF,21,504,10.7,.464,.347,9.6,15.9,12.7,6.0,0.4,0.3,15.5,21.0,-0.1,0.6,0.5,.047,-0.8,-2.2,-3.0,-0.1,
7,Charles Johnson,28,SG,21,425,14.7,.438,.162,4.6,8.0,6.3,16.8,3.3,0.0,9.6,24.8,0.1,0.6,0.7,.085,0.3,0.9,1.2,0.3,
8,Larry Wright,23,PG,21,402,13.6,.491,.153,1.7,6.1,3.9,23.7,2.0,0.3,12.6,19.3,0.4,0.5,0.9,.106,0.1,0.2,0.4,0.2,
9,Greg Ballard,23,SF,19,243,13.2,.457,.651,11.0,22.0,16.4,9.2,1.7,0.7,14.7,15.2,0.2,0.4,0.6,.122,0.7,0.5,1.2,0.2,
10,Joe Pace,24,C,9,52,19.7,.753,1.500,9.5,29.7,19.4,2.5,0.9,6.1,23.1,16.2,0.2,0.1,0.3,.257,-0.6,3.8,3.2,0.1,
11,Phil Walker,21,SG,4,17,-5.5,.294,.625,5.8,6.0,5.9,14.1,0.0,0.0,22.7,30.2,-0.1,0.0,-0.1,-0.254,-12.3,-5.6,-17.8,-0.1,
