Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Elvin Hayes,32,PF,81,3246,17.1,.489,.365,10.2,22.7,16.4,6.5,1.3,2.4,12.3,21.6,3.5,4.8,8.3,.123,0.4,0.1,0.6,2.1,AS
2,Bob Dandridge,30,SF,75,2777,16.1,.528,.352,4.9,10.9,7.9,14.7,1.6,0.8,14.9,21.9,4.2,2.6,6.8,.118,0.8,0.3,1.1,2.2,
3,Wes Unseld,31,C,80,2644,14.4,.535,.352,10.6,25.2,17.9,15.3,1.6,0.8,23.4,10.5,2.8,3.9,6.8,.123,1.0,2.0,2.9,3.3,
4,Tom Henderson,26,PG,75,2315,12.6,.482,.306,2.8,5.5,4.1,23.2,1.8,0.3,18.0,17.6,1.4,1.7,3.1,.064,-0.5,-0.4,-0.9,0.7,
5,Kevin Grevey,24,SF,81,2121,15.5,.496,.273,5.8,7.8,6.8,11.0,1.3,0.4,11.2,25.2,2.9,1.5,4.4,.099,0.4,-1.0,-0.6,0.8,
6,Mitch Kupchak,23,PF,67,1759,17.7,.564,.523,9.1,16.9,12.9,5.9,0.7,1.2,16.3,24.1,3.2,1.7,4.9,.134,0.9,-0.9,0.1,0.9,
7,Larry Wright,23,PG,70,1466,13.7,.520,.188,2.1,4.8,3.4,25.0,2.1,0.5,17.8,19.3,1.5,1.2,2.7,.088,-0.8,0.2,-0.7,0.5,
8,Phil Chenier,27,SG,36,937,14.8,.497,.306,1.6,9.2,5.4,11.3,1.7,0.5,11.6,23.2,1.0,0.8,1.8,.091,-0.3,-0.1,-0.4,0.4,
9,Greg Ballard,23,SF,76,936,14.1,.484,.341,10.7,17.5,14.1,8.8,1.4,0.7,14.3,18.0,1.0,1.1,2.0,.104,0.0,-0.1,-0.1,0.5,
10,Charles Johnson,28,SG,39,807,10.3,.440,.147,2.4,9.0,5.7,14.0,1.7,0.1,11.9,19.5,0.0,0.7,0.7,.041,-2.7,0.0,-2.8,-0.2,
11,Joe Pace,24,C,49,438,13.7,.528,.664,11.2,19.1,15.1,7.0,1.2,2.4,19.6,19.3,0.3,0.6,0.9,.102,-2.3,0.6,-1.7,0.0,
12,Phil Walker,21,SG,40,384,9.0,.438,.596,5.4,8.0,6.7,18.6,1.6,0.6,23.4,26.0,-0.7,0.3,-0.4,-0.045,-3.2,-1.4,-4.6,-0.3,
