Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kareem Abdul-Jabbar,31,C,8,367,26.5,.636,.408,6.0,23.6,15.5,15.6,1.0,4.7,13.9,24.2,1.3,0.4,1.7,.222,5.2,2.8,8.1,0.9,
2,Norm Nixon,23,PG,8,327,15.9,.490,.126,2.2,7.0,4.8,39.3,1.6,0.0,16.0,19.5,0.4,0.1,0.5,.069,0.8,-1.1,-0.3,0.1,
3,Jamaal Wilkes,25,SF,8,307,17.0,.509,.289,7.9,16.3,12.5,7.4,2.3,0.3,9.4,22.1,0.3,0.2,0.6,.088,0.7,-0.3,0.4,0.2,
4,Adrian Dantley,23,SF,8,236,18.5,.630,.584,5.2,10.2,7.9,6.7,1.2,0.2,14.5,23.7,0.6,0.1,0.7,.138,1.6,-1.2,0.5,0.1,
5,Ron Boone,32,SG,8,226,11.6,.545,.273,3.8,3.7,3.7,8.4,1.9,0.0,14.0,18.9,0.2,0.0,0.2,.046,-2.1,-0.6,-2.6,0.0,
6,Don Ford,26,PF,8,138,8.3,.527,.100,1.8,15.1,9.0,6.4,1.0,0.8,11.3,10.9,0.1,0.1,0.1,.040,-2.7,0.5,-2.2,0.0,
7,Jim Price,29,PG,8,128,3.0,.315,.133,1.0,5.7,3.5,16.9,1.9,0.0,20.1,13.3,-0.3,0.0,-0.2,-0.093,-6.3,-0.2,-6.4,-0.1,
8,Kenny Carr,23,PF,8,117,9.2,.558,.229,4.2,11.6,8.2,4.6,1.6,0.9,22.2,18.1,-0.1,0.1,0.0,-0.004,-4.0,-0.3,-4.3,-0.1,
9,Lou Hudson,34,SG,6,90,12.1,.563,.125,1.4,3.5,2.5,12.4,0.5,0.0,12.9,18.4,0.1,0.0,0.1,.038,-0.4,-1.8,-2.2,0.0,
10,Dave Robisch,29,C,5,32,8.8,.680,.400,0.0,32.7,17.6,7.7,0.0,0.0,33.8,11.8,0.0,0.0,0.0,.037,-3.4,0.4,-3.0,0.0,
11,Ron Carter,22,SG,2,2,-15.5,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,-0.551,-14.4,-9.8,-24.3,0.0,
