Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Dan Roundfield,25,PF,80,,2539,19.4,.556,.459,13.3,24.0,18.4,7.4,1.6,4.0,16.0,20.4,4.6,4.1,8.7,.164,1.3,0.7,1.9,2.5,
2,Armond Hill,25,PG,82,82,2527,11.8,.518,.422,1.7,5.5,3.5,24.8,1.9,0.4,20.0,15.8,2.4,1.8,4.2,.080,-0.9,-0.5,-1.4,0.4,
3,Eddie Johnson,23,SG,78,,2413,16.7,.561,.297,2.8,4.9,3.8,22.1,2.3,0.3,16.1,21.7,4.4,1.9,6.3,.126,1.4,-0.2,1.2,2.0,
4,John Drew,24,SF,79,,2410,21.7,.536,.492,9.7,13.9,11.7,8.1,2.5,0.4,11.2,30.9,6.1,2.8,8.9,.177,2.9,-0.8,2.1,2.5,
5,Steve Hawes,28,PF,81,,2205,15.0,.523,.175,9.0,20.5,14.5,11.7,1.7,1.2,15.1,17.2,2.6,2.8,5.4,.118,0.6,0.5,1.0,1.7,
6,Tree Rollins,23,C,81,,1900,17.3,.553,.254,12.0,21.9,16.7,3.6,1.1,7.7,12.4,14.6,3.1,3.3,6.4,.163,0.0,2.4,2.4,2.1,
7,Tom McMillen,26,C,82,,1392,12.6,.518,.239,9.8,16.3,12.9,6.9,0.5,1.3,13.7,18.1,1.7,1.2,2.9,.100,-1.0,-1.2,-2.2,-0.1,
8,Jack Givens,22,SF,74,,1347,13.0,.457,.239,7.6,9.7,8.6,8.7,2.5,0.7,10.7,20.5,0.7,1.4,2.1,.074,-0.4,-0.2,-0.7,0.5,
9,Butch Lee,22,PG,49,,997,12.2,.516,.374,1.1,5.4,3.2,23.0,2.6,0.1,20.8,18.3,0.4,0.9,1.2,.060,-1.1,-0.2,-1.3,0.2,
10,Charlie Criss,30,PG,54,,879,9.1,.436,.298,2.2,5.3,3.7,20.7,2.2,0.2,19.5,18.2,-0.5,0.7,0.1,.008,-2.4,-0.8,-3.2,-0.3,
11,Rick Wilson,22,SG,61,,589,9.7,.430,.223,3.5,10.7,7.0,16.4,2.4,0.8,15.9,17.3,-0.3,0.6,0.3,.028,-2.4,0.7,-1.7,0.0,
12,Terry Furlow,24,SG,29,,576,17.1,.538,.298,5.8,7.6,6.7,20.5,1.5,1.3,15.0,21.5,1.1,0.4,1.5,.124,2.8,-0.4,2.4,0.6,
13,Keith Herron,22,SG,14,,81,9.3,.372,.271,5.1,8.4,6.7,5.2,3.5,1.4,8.5,28.6,-0.1,0.1,0.0,-0.011,-4.5,-0.2,-4.8,-0.1,
