Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Walter Davis,23,SF,81,,2590,22.1,.577,.312,6.2,13.2,9.6,16.5,1.9,0.4,14.3,28.5,6.7,3.4,10.1,.187,3.7,-0.4,3.3,3.5,"MVP-5,ROY-1,AS,NBA2"
2,Don Buse,27,PG,82,82,2547,12.5,.500,.217,2.3,7.8,5.0,18.5,3.1,0.3,15.3,11.8,2.4,3.6,6.0,.113,-1.1,2.1,1.0,1.9,
3,Paul Westphal,27,SG,80,,2481,23.8,.565,.311,1.7,5.2,3.4,28.5,2.4,0.6,13.6,30.9,6.9,2.9,9.8,.190,4.7,0.0,4.7,4.2,"MVP-6,AS,NBA2"
4,Gar Heard,29,PF,80,,2099,12.9,.449,.235,8.0,24.2,16.0,7.7,2.6,2.5,14.8,14.4,0.1,4.4,4.5,.103,-1.5,1.7,0.2,1.2,
5,Ron Lee,25,PG,82,,1928,16.2,.478,.240,5.0,8.6,6.8,21.8,5.0,0.5,17.4,24.5,0.0,3.8,3.8,.094,-1.4,2.7,1.3,1.6,
6,Alvan Adams,23,C,70,,1914,17.7,.528,.327,8.4,22.2,15.2,16.4,1.9,1.7,18.6,24.5,1.5,3.4,4.9,.123,0.1,0.9,1.0,1.5,
7,Dennis Awtrey,29,C,81,,1623,6.1,.470,.413,6.0,13.2,9.6,11.5,0.5,0.8,28.9,10.1,-0.6,1.6,1.0,.030,-2.9,-0.2,-3.1,-0.5,
8,Alvin Scott,22,SF,81,,1538,12.3,.543,.518,8.9,15.1,11.9,6.9,1.5,1.3,15.8,13.0,1.9,2.1,4.0,.126,-0.8,0.3,-0.5,0.6,
9,Mike Bratz,22,PG,80,,933,9.5,.440,.172,4.6,8.2,6.3,17.1,1.8,0.3,17.3,20.5,-0.6,1.0,0.4,.022,-3.2,-0.7,-4.0,-0.5,
10,Bayard Forrest,23,C,64,,887,12.2,.478,.433,9.6,19.6,14.5,17.8,1.1,2.0,22.9,15.4,0.1,1.3,1.4,.077,-1.3,1.2,-0.1,0.4,
11,Curtis Perry,29,PF,45,,818,11.8,.499,.267,10.8,20.8,15.7,7.3,1.8,1.4,18.8,15.2,0.4,1.4,1.7,.102,-2.3,0.3,-2.0,0.0,
12,Greg Griffin,25,SF,36,,422,6.8,.392,.213,10.6,14.6,12.6,7.1,1.6,0.0,17.4,19.7,-0.6,0.5,-0.1,-0.011,-4.9,-1.6,-6.5,-0.5,
