Rk,Player,Age,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Magic Johnson,24,PG,21,837,22.8,.601,.026,.365,3.7,14.2,9.3,42.7,2.4,1.3,19.9,19.7,2.4,1.1,3.5,.198,5.9,1.6,7.6,2.0,
2,Kareem Abdul-Jabbar,36,C,21,767,24.0,.592,.000,.323,8.8,16.1,12.7,14.6,1.4,3.2,9.6,25.3,2.3,1.0,3.3,.206,5.3,1.0,6.3,1.6,
3,Michael Cooper,27,SG,21,723,13.7,.545,.188,.325,3.3,9.0,6.4,19.3,1.6,1.5,11.7,14.2,1.2,0.7,1.9,.126,1.4,1.0,2.4,0.8,
4,James Worthy,22,PF,21,708,17.9,.609,.007,.252,6.1,10.3,8.3,10.6,1.8,0.9,11.4,20.1,1.4,0.7,2.1,.142,3.0,-0.1,2.9,0.9,
5,Bob McAdoo,32,C,20,447,17.7,.557,.005,.377,8.1,18.4,13.6,3.7,1.3,3.3,13.5,26.9,0.3,0.6,0.9,.101,-0.2,-0.5,-0.8,0.1,
6,Kurt Rambis,25,PF,21,428,13.5,.662,.000,.359,9.3,21.7,15.9,3.9,1.1,1.3,17.1,12.4,0.6,0.6,1.2,.133,0.3,-0.2,0.2,0.2,
7,Byron Scott,22,SG,20,404,10.5,.485,.062,.217,3.3,6.8,5.2,10.6,2.1,0.3,12.8,20.8,-0.1,0.3,0.2,.024,-2.3,-0.8,-3.0,-0.1,
8,Mike McGee,24,SF,17,370,15.1,.606,.108,.248,7.2,3.4,5.2,8.5,1.4,0.1,13.4,22.5,0.6,0.2,0.8,.101,1.3,-1.7,-0.4,0.1,
9,Jamaal Wilkes,30,SF,14,196,6.5,.421,.014,.157,6.2,8.6,7.5,5.5,1.0,0.6,8.6,17.3,-0.1,0.1,0.0,.004,-3.9,-1.8,-5.7,-0.2,
10,Swen Nater,34,C,17,146,11.8,.587,.000,.684,13.2,17.3,15.4,0.8,0.3,0.8,13.9,16.3,0.2,0.1,0.4,.124,-1.6,-2.5,-4.1,-0.1,
11,Mitch Kupchak,29,PF,9,69,8.1,.389,.000,.824,21.0,26.0,23.6,3.2,0.7,1.6,20.6,17.5,-0.1,0.1,0.0,.012,-4.3,-2.8,-7.0,-0.1,
12,Larry Spriggs,24,SF,9,45,8.9,.524,.000,.579,10.7,11.7,11.2,8.1,0.0,1.2,22.7,28.4,0.0,0.0,0.0,.003,-5.4,-3.3,-8.7,-0.1,
