Team,TeamURL
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/1989.html
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/1989.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/1989.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/1989.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1989.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/1989.html
Seattle SuperSonics,https://www.basketball-reference.com/teams/SEA/1989.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/1989.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/1989.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1989.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/1989.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/1989.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/1989.html
Washington Bullets,https://www.basketball-reference.com/teams/WSB/1989.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/1989.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/1989.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1989.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/1989.html
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/1989.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/1989.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/1989.html
Charlotte Hornets,https://www.basketball-reference.com/teams/CHH/1989.html
New Jersey Nets,https://www.basketball-reference.com/teams/NJN/1989.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/1989.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/1989.html
