Team,TeamURL
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/1985.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1985.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/1985.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/1985.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1985.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/1985.html
Kansas City Kings,https://www.basketball-reference.com/teams/KCK/1985.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/1985.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/1985.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/1985.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/1985.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/1985.html
New Jersey Nets,https://www.basketball-reference.com/teams/NJN/1985.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/1985.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1985.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/1985.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/1985.html
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/1985.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/1985.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/1985.html
Washington Bullets,https://www.basketball-reference.com/teams/WSB/1985.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/1985.html
Seattle SuperSonics,https://www.basketball-reference.com/teams/SEA/1985.html
