Team,TeamURL
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/1988.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/1988.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1988.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/1988.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1988.html
Seattle SuperSonics,https://www.basketball-reference.com/teams/SEA/1988.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/1988.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/1988.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/1988.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/1988.html
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/1988.html
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/1988.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/1988.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/1988.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/1988.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/1988.html
Washington Bullets,https://www.basketball-reference.com/teams/WSB/1988.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/1988.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1988.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/1988.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/1988.html
New Jersey Nets,https://www.basketball-reference.com/teams/NJN/1988.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/1988.html
