Team,TeamURL
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/2012.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/2012.html
Oklahoma City Thunder,https://www.basketball-reference.com/teams/OKC/2012.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/2012.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/2012.html
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/2012.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/2012.html
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/2012.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/2012.html
Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/2012.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/2012.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/2012.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/2012.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/2012.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2012.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/2012.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/2012.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/2012.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/2012.html
Memphis Grizzlies,https://www.basketball-reference.com/teams/MEM/2012.html
Orlando Magic,https://www.basketball-reference.com/teams/ORL/2012.html
Washington Wizards,https://www.basketball-reference.com/teams/WAS/2012.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/2012.html
New Jersey Nets,https://www.basketball-reference.com/teams/NJN/2012.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/2012.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/2012.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/2012.html
Toronto Raptors,https://www.basketball-reference.com/teams/TOR/2012.html
New Orleans Hornets,https://www.basketball-reference.com/teams/NOH/2012.html
Charlotte Bobcats,https://www.basketball-reference.com/teams/CHA/2012.html
