Team,TeamURL
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/1981.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/1981.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/1981.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/1981.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1981.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/1981.html
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/1981.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1981.html
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/1981.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1981.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/1981.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/1981.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/1981.html
Kansas City Kings,https://www.basketball-reference.com/teams/KCK/1981.html
New Jersey Nets,https://www.basketball-reference.com/teams/NJN/1981.html
San Diego Clippers,https://www.basketball-reference.com/teams/SDC/1981.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/1981.html
Washington Bullets,https://www.basketball-reference.com/teams/WSB/1981.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/1981.html
Seattle SuperSonics,https://www.basketball-reference.com/teams/SEA/1981.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/1981.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/1981.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/1981.html
