Team,TeamURL
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/1990.html
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/1990.html
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/1990.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/1990.html
Orlando Magic,https://www.basketball-reference.com/teams/ORL/1990.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/1990.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/1990.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/1990.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/1990.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/1990.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/1990.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/1990.html
Washington Bullets,https://www.basketball-reference.com/teams/WSB/1990.html
Seattle SuperSonics,https://www.basketball-reference.com/teams/SEA/1990.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/1990.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/1990.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/1990.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/1990.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/1990.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/1990.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/1990.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/1990.html
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/1990.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/1990.html
Charlotte Hornets,https://www.basketball-reference.com/teams/CHH/1990.html
New Jersey Nets,https://www.basketball-reference.com/teams/NJN/1990.html
Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/1990.html
