Team,TeamURL
Golden State Warriors,https://www.basketball-reference.com/teams/GSW/2017.html
Houston Rockets,https://www.basketball-reference.com/teams/HOU/2017.html
Denver Nuggets,https://www.basketball-reference.com/teams/DEN/2017.html
Cleveland Cavaliers,https://www.basketball-reference.com/teams/CLE/2017.html
Washington Wizards,https://www.basketball-reference.com/teams/WAS/2017.html
Los Angeles Clippers,https://www.basketball-reference.com/teams/LAC/2017.html
Boston Celtics,https://www.basketball-reference.com/teams/BOS/2017.html
Portland Trail Blazers,https://www.basketball-reference.com/teams/POR/2017.html
Phoenix Suns,https://www.basketball-reference.com/teams/PHO/2017.html
Toronto Raptors,https://www.basketball-reference.com/teams/TOR/2017.html
Oklahoma City Thunder,https://www.basketball-reference.com/teams/OKC/2017.html
Brooklyn Nets,https://www.basketball-reference.com/teams/BRK/2017.html
Minnesota Timberwolves,https://www.basketball-reference.com/teams/MIN/2017.html
San Antonio Spurs,https://www.basketball-reference.com/teams/SAS/2017.html
Indiana Pacers,https://www.basketball-reference.com/teams/IND/2017.html
Charlotte Hornets,https://www.basketball-reference.com/teams/CHO/2017.html
Los Angeles Lakers,https://www.basketball-reference.com/teams/LAL/2017.html
New Orleans Pelicans,https://www.basketball-reference.com/teams/NOP/2017.html
New York Knicks,https://www.basketball-reference.com/teams/NYK/2017.html
Milwaukee Bucks,https://www.basketball-reference.com/teams/MIL/2017.html
Atlanta Hawks,https://www.basketball-reference.com/teams/ATL/2017.html
Miami Heat,https://www.basketball-reference.com/teams/MIA/2017.html
Chicago Bulls,https://www.basketball-reference.com/teams/CHI/2017.html
Sacramento Kings,https://www.basketball-reference.com/teams/SAC/2017.html
Philadelphia 76ers,https://www.basketball-reference.com/teams/PHI/2017.html
Detroit Pistons,https://www.basketball-reference.com/teams/DET/2017.html
Orlando Magic,https://www.basketball-reference.com/teams/ORL/2017.html
Utah Jazz,https://www.basketball-reference.com/teams/UTA/2017.html
Memphis Grizzlies,https://www.basketball-reference.com/teams/MEM/2017.html
Dallas Mavericks,https://www.basketball-reference.com/teams/DAL/2017.html
