Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Bob McAdoo,26,C,79,78,3182,22.0,.567,.412,7.8,24.7,16.4,13.4,1.4,2.0,15.8,26.1,6.9,4.0,10.9,.165,2.9,0.1,3.0,4.0,"MVP-10,AS"
2,Earl Monroe,33,SG,76,73,2369,16.9,.541,.259,2.1,5.8,4.0,21.2,1.1,0.4,12.5,22.9,5.0,0.7,5.8,.117,1.6,-1.7,-0.1,1.1,
3,Lonnie Shelton,22,PF,82,45,2319,17.4,.549,.279,9.3,16.5,12.9,11.4,2.1,2.5,17.0,21.8,3.2,2.7,5.9,.122,0.4,0.5,0.9,1.7,
4,Jim Cleamons,28,PG,79,44,2009,10.4,.518,.230,3.6,7.2,5.5,16.6,1.5,0.4,18.6,11.4,1.8,0.9,2.7,.065,-0.7,-0.2,-0.9,0.6,
5,Butch Beard,30,PG,79,37,1979,14.6,.544,.261,4.0,9.6,6.9,21.5,2.6,0.1,18.4,16.0,2.8,1.6,4.4,.107,-0.1,0.5,0.4,1.2,
6,Jim McMillian,29,SF,81,63,1977,12.5,.507,.215,4.3,10.7,7.6,12.8,1.7,0.4,13.2,15.1,2.1,1.3,3.4,.083,-0.1,-0.2,-0.3,0.8,
7,Spencer Haywood,28,PF,67,57,1765,15.7,.505,.158,8.4,17.3,12.9,9.9,0.9,2.1,13.3,22.6,1.5,1.5,3.1,.083,0.1,-1.0,-0.9,0.5,
8,Ray Williams,23,PG,81,10,1550,14.5,.485,.300,5.8,8.1,7.0,30.9,3.0,0.5,23.7,25.0,-0.4,1.4,1.0,.031,-0.7,-0.7,-1.3,0.3,
9,Toby Knight,22,SF,80,3,1169,12.2,.499,.209,10.9,17.4,14.2,4.3,1.9,1.2,16.0,19.6,0.4,1.2,1.6,.066,-2.6,-1.0,-3.6,-0.5,
10,Glen Gondrezick,22,SF,72,0,1017,10.1,.440,.357,9.5,15.8,12.7,9.9,2.4,0.9,17.3,17.7,-0.2,1.1,0.9,.044,-3.1,0.1,-2.9,-0.2,
11,Phil Jackson,32,PF,63,0,654,8.1,.548,.487,4.7,12.6,8.7,8.1,2.1,1.2,25.2,10.8,0.2,0.6,0.8,.058,-2.8,1.0,-1.8,0.0,
12,Ticky Burden,24,SG,2,0,15,6.9,.500,.000,0.0,0.0,0.0,7.5,2.9,0.0,0.0,5.0,0.0,0.0,0.0,.067,-4.1,0.1,-4.0,0.0,
