Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Maurice Lucas,25,PF,6,233,13.3,.443,.176,9.4,25.4,17.8,10.3,0.9,0.5,14.0,25.0,-0.2,0.4,0.1,.029,-0.8,-1.2,-2.0,0.0,
2,Lionel Hollins,24,PG,6,223,14.4,.491,.326,2.6,11.4,7.2,23.0,1.6,0.0,15.7,23.3,0.0,0.2,0.3,.061,0.5,-0.5,0.0,0.1,
3,Johnny Davis,22,SG,6,201,10.7,.499,.303,1.7,3.7,2.7,10.0,0.2,0.6,11.3,20.8,0.1,0.1,0.2,.037,-0.3,-2.0,-2.2,0.0,
4,Tom Owens,28,C,6,200,20.6,.582,.304,7.5,13.8,10.8,20.5,1.2,2.0,8.2,18.3,0.6,0.3,0.9,.219,4.8,2.2,7.0,0.5,
5,Larry Steele,28,SG,6,191,11.8,.498,.350,4.8,10.0,7.5,10.6,1.8,0.6,14.8,18.3,0.1,0.2,0.3,.075,-0.8,0.5,-0.4,0.1,
6,Corky Calhoun,27,SF,6,109,11.4,.530,.241,6.3,7.8,7.1,4.0,0.9,0.5,8.6,13.9,0.1,0.1,0.2,.091,1.4,-0.8,0.5,0.1,
7,Dave Twardzik,27,PG,6,108,11.1,.617,.609,1.1,2.9,2.0,14.1,3.2,0.0,25.5,15.6,0.1,0.1,0.2,.093,-1.9,1.6,-0.3,0.0,
8,Bill Walton,25,C,2,49,28.6,.640,.389,11.8,36.7,24.8,13.6,3.0,3.5,22.2,23.8,0.1,0.1,0.2,.231,7.0,3.7,10.8,0.2,
9,Lloyd Neal,27,PF,3,47,4.3,.350,.048,4.9,20.3,12.9,6.3,0.0,4.9,21.9,25.1,-0.2,0.1,-0.2,-0.163,-6.6,-0.8,-7.4,-0.1,
10,Willie Norwood,30,SF,3,44,10.0,.603,.083,2.6,7.2,5.0,13.7,0.0,1.3,13.9,14.1,0.1,0.0,0.1,.110,-1.6,0.4,-1.2,0.0,
11,T.R. Dunn,22,SG,4,35,7.2,.500,.000,3.3,12.1,7.9,11.2,1.4,0.0,20.0,6.2,0.0,0.0,0.1,.071,-0.8,1.0,0.2,0.0,
