Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Moses Malone,25,C,HOU,80,3245,955,25.1,22.4,0.161,0.161,0.178,0.704,78.6,125.3
George Gervin,28,SG,SAS,82,2765,274,22.9,20.2,0.108,0.108,0.14,0.327,68.5,45.8
Kareem Abdul-Jabbar,33,C,LAL,80,2976,134,25.5,22.4,0.15,0.15,0.284,0.143,98.8,40.6
Julius Erving,30,SF,PHI,82,2874,592,25.1,20.6,0.134,0.134,0.154,0.6,101.3,92.4
Jamaal Wilkes,27,SF,LAL,81,3028,113,18.0,11.0,0.106,0.106,0.14,0.143,69.9,20.0
Otis Birdsong,25,SG,KCK,71,2593,234,20.3,18.8,0.107,0.107,0.165,0.484,52.2,79.9
Larry Bird,24,PF,BOS,82,3239,750,19.9,21.8,0.121,0.121,0.164,0.943,91.5,154.7
Bill Cartwright,23,C,NYK,82,2925,49,18.4,8.4,0.122,0.122,0.0,0.0,74.4,0.0
Ray Williams,26,PG,NYK,79,2742,84,19.0,12.4,0.125,0.125,0.0,0.0,76.2,0.0
Robert Parish,27,C,BOS,82,2298,492,25.2,18.8,0.153,0.153,0.142,0.943,115.7,133.9
Reggie Theus,23,SG,CHI,82,2820,232,18.4,18.6,0.114,0.114,0.171,0.2,62.6,34.2
Truck Robinson,29,PF,PHO,82,3088,233,14.9,12.0,0.097,0.097,0.089,0.327,67.4,29.1
Marques Johnson,24,SF,MIL,76,2542,266,22.0,27.7,0.133,0.133,0.227,0.327,97.4,74.2
Scott Wedman,28,SF,KCK,81,2902,657,14.8,13.6,0.078,0.078,0.119,0.484,38.1,57.6
Dennis Johnson,26,PG,PHO,79,2615,267,17.0,17.4,0.111,0.111,0.129,0.327,77.1,42.2
Artis Gilmore,31,C,CHI,82,2832,247,21.7,20.7,0.134,0.134,0.19,0.2,73.6,38.0
Billy Knight,28,SG,IND,82,2385,71,19.9,15.2,0.111,0.111,0.0,0.0,59.6,0.0
Walter Davis,26,SG,PHO,78,2182,199,18.4,16.2,0.12,0.12,0.12,0.327,83.4,39.2
Jim Paxson,23,SG,POR,79,2701,4,16.9,-24.9,0.097,0.097,-0.339,0.143,53.3,0.0
Norm Nixon,25,PG,LAL,79,2962,133,15.5,16.7,0.091,0.091,0.212,0.143,60.0,30.3
Mychal Thompson,26,C,POR,79,2790,132,16.6,22.5,0.096,0.096,0.307,0.143,52.7,43.9
James Silas,31,PG,SAS,75,2055,161,19.4,11.7,0.091,0.091,0.081,0.327,57.7,26.5
