Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Dwyane Wade,27,SG,MIA,79,3048,30.4,26.3,0.15,0.15,0.25,0.273,78.6,68.2
LeBron James,24,SF,CLE,81,3054,31.7,37.4,0.169,0.169,0.292,0.7,136.0,204.4
Kobe Bryant,30,SG,LAL,82,2960,24.4,26.8,0.119,0.119,0.19,0.881,94.4,167.4
Dirk Nowitzki,30,PF,DAL,81,3050,23.1,28.4,0.117,0.117,0.216,0.371,71.4,80.1
Chris Paul,23,PG,NOH,78,3002,30.0,16.1,0.167,0.167,0.268,0.111,99.9,29.7
Brandon Roy,24,SG,POR,78,2903,24.0,25.9,0.145,0.145,0.28,0.2,95.6,56.0
Ben Gordon,25,SG,CHI,82,2999,17.0,15.8,0.08,0.08,0.155,0.273,40.0,42.3
Joe Johnson,27,SG,ATL,79,3124,18.2,12.5,0.116,0.116,0.138,0.267,66.5,36.8
Paul Pierce,31,SF,BOS,81,3035,17.7,16.1,0.091,0.091,0.146,0.422,68.8,61.6
Dwight Howard,23,C,ORL,79,2821,25.4,25.5,0.134,0.134,0.186,0.643,96.5,119.6
David West,28,PF,NOH,76,2982,18.9,12.2,0.105,0.105,0.203,0.111,62.8,22.5
Tony Parker,26,PG,SAS,72,2456,23.4,29.3,0.114,0.114,0.327,0.111,75.1,36.3
Andre Iguodala,25,SF,PHI,82,3269,18.4,18.0,0.102,0.102,0.233,0.2,51.0,46.6
Pau Gasol,28,C,LAL,81,2999,22.2,21.9,0.108,0.108,0.156,0.881,85.6,137.4
Yao Ming,28,C,HOU,77,2589,22.7,21.5,0.125,0.125,0.169,0.447,80.8,75.5
Carmelo Anthony,24,SF,DEN,66,2277,19.0,24.3,0.102,0.102,0.159,0.63,67.2,100.2
LaMarcus Aldridge,23,PF,POR,81,3004,19.1,18.6,0.116,0.116,0.201,0.2,76.4,40.2
Al Harrington,28,PF,"GSW, NYK",73,2546,16.4,,"0.039, 0.083",0.08,0,0.0,31.1,0.0
Tim Duncan,32,C,SAS,75,2524,24.4,27.3,0.118,0.118,0.305,0.111,77.8,33.9
Jason Terry,31,SG,DAL,74,2491,19.3,12.0,0.098,0.098,0.091,0.371,59.8,33.8
John Salmons,29,SF,"SAC, CHI",79,2959,16.0,12.9,"0.071, 0.075",0.072,0.127,0.273,22.2,0.0
Mo Williams,26,PG,CLE,81,2834,17.2,13.0,0.091,0.091,0.102,0.7,73.3,71.4
Ray Allen,33,SG,BOS,79,2876,17.3,14.2,0.089,0.089,0.128,0.422,67.3,54.0
Rashard Lewis,29,PF,ORL,79,2859,16.8,16.9,0.089,0.089,0.123,0.643,64.1,79.1
Chauncey Billups,32,PG,"DET, DEN",79,2789,18.8,22.9,"0.101, 0.101",0.101,"0.0, 0.15",0.63,66.1,94.5
Derrick Rose,20,PG,CHI,81,3000,16.0,13.3,0.075,0.075,0.131,0.273,37.5,35.8
Andre Miller,32,PG,PHI,82,2976,18.6,18.1,0.103,0.103,0.235,0.2,51.5,47.0
Deron Williams,24,PG,UTA,68,2505,21.1,18.8,0.104,0.104,0.2,0.111,60.8,22.2
Jamal Crawford,28,PG,"NYK, GSW",65,2479,15.0,,"0.079, 0.066",0.068,0,0.0,24.6,0.0
J.R. Smith,23,SG,DEN,81,2245,16.8,16.9,0.091,0.091,0.111,0.63,60.0,69.9
Richard Hamilton,30,SG,DET,67,2279,16.9,9.1,0.098,0.098,0.211,0.0,46.6,0.0
Mehmet Okur,29,C,UTA,72,2409,17.5,1.8,0.086,0.086,0.019,0.111,50.3,0.0
Jason Richardson,28,SG,"CHA, PHO",72,2410,16.9,,"0.07, 0.075",0.074,0,0.0,39.7,0.0
Metta World Peace,29,SF,HOU,69,2452,15.6,12.5,0.086,0.086,0.098,0.447,55.6,43.8
Mike Bibby,30,PG,ATL,79,2740,16.3,15.2,0.104,0.104,0.167,0.267,59.6,44.6
Tayshaun Prince,28,SF,DET,82,3057,15.0,-0.4,0.087,0.087,-0.009,0.0,41.4,0.0
Thaddeus Young,20,PF,PHI,75,2580,15.3,9.9,0.085,0.085,0.128,0.2,42.5,25.6
Michael Beasley,20,PF,MIA,81,2009,17.2,14.9,0.085,0.085,0.142,0.273,44.5,38.8
Ronnie Brewer,23,SF,UTA,81,2605,16.1,9.3,0.079,0.079,0.099,0.111,46.2,11.0
Josh Smith,23,PF,ATL,69,2421,17.2,17.7,0.109,0.109,0.195,0.267,62.5,52.1
Boris Diaw,26,PF,"PHO, CHA",81,2754,14.9,,"0.055, 0.066",0.063,0,0.0,28.9,0.0
Rodney Stuckey,22,PG,DET,79,2517,14.8,13.5,0.086,0.086,0.313,0.0,40.9,0.0
Luis Scola,28,PF,HOU,82,2488,17.0,16.2,0.093,0.093,0.127,0.447,60.1,56.8
Zach Randolph,27,PF,"NYK, LAC",50,1757,19.6,,"0.1, 0.091",0.093,0,0.0,25.0,0.0
Lou Williams,22,SG,PHI,81,1919,16.3,10.9,0.091,0.091,0.141,0.2,45.5,28.2
Travis Outlaw,24,SF,POR,81,2246,15.1,6.3,0.091,0.091,0.068,0.2,60.0,13.6
Paul Millsap,23,PF,UTA,76,2290,18.6,15.9,0.092,0.092,0.169,0.111,53.8,18.8
Ronald Murray,29,SG,ATL,80,1975,14.7,12.4,0.094,0.094,0.137,0.267,53.9,36.6
Roger Mason,28,SG,SAS,82,2496,11.9,7.9,0.058,0.058,0.088,0.111,38.2,9.8
Rajon Rondo,22,PG,BOS,80,2642,18.8,19.7,0.097,0.097,0.178,0.422,73.3,75.1
Josh Howard,28,SF,DAL,52,1663,17.0,16.0,0.086,0.086,0.122,0.371,52.5,45.3
Rasual Butler,29,SF,NOH,82,2614,11.8,10.4,0.066,0.066,0.173,0.111,39.5,19.2
Jermaine O'Neal,30,C,"TOR, MIA",68,2027,15.5,21.6,"0.077, 0.077",0.077,0.205,0.273,34.7,0.0
Rafer Alston,32,PG,"HOU, ORL",77,2447,15.6,11.8,"0.07, 0.082",0.075,"0.0, 0.086",0.643,50.4,55.3
Aaron Brooks,24,PG,HOU,80,1998,12.9,15.5,0.071,0.071,0.122,0.447,45.9,54.5
Shawn Marion,30,SF,"MIA, TOR",69,2470,16.4,,"0.078, 0.082",0.08,0.0,0.0,37.8,0.0
Lamar Odom,29,PF,LAL,78,2316,16.6,18.0,0.081,0.081,0.128,0.881,64.2,112.8
Tyrus Thomas,22,PF,CHI,79,2175,15.9,13.8,0.075,0.075,0.135,0.273,37.5,36.9
Marvin Williams,22,SF,ATL,61,2093,16.0,9.1,0.102,0.102,0.1,0.267,58.4,0.0
Zydrunas Ilgauskas,33,C,CLE,65,1765,18.0,14.5,0.096,0.096,0.113,0.7,77.3,79.1
Brad Miller,32,C,"SAC, CHI",70,2100,18.6,11.9,"0.069, 0.088",0.076,0.117,0.273,25.7,0.0
Mario Chalmers,22,PG,MIA,82,2626,13.3,11.8,0.066,0.066,0.112,0.273,34.6,30.6
Derek Fisher,34,PG,LAL,82,2441,12.1,8.5,0.059,0.059,0.06,0.881,46.8,52.9
Linas Kleiza,24,SF,DEN,82,1824,13.2,18.4,0.071,0.071,0.12,0.63,46.8,75.6
Raja Bell,32,SG,"PHO, CHA",67,2315,11.7,,"0.038, 0.052",0.047,0,0.0,21.9,0.0
Rasheed Wallace,34,C,DET,66,2123,14.9,6.1,0.086,0.086,0.142,0.0,40.9,0.0
Udonis Haslem,28,PF,MIA,75,2560,13.1,15.0,0.065,0.065,0.142,0.273,34.1,38.8
Michael Finley,35,SF,SAS,81,2336,11.4,9.7,0.055,0.055,0.108,0.111,36.2,12.0
Andrei Kirilenko,27,PF,UTA,67,1831,16.8,16.8,0.083,0.083,0.179,0.111,48.6,19.9
Al Horford,22,C,ATL,67,2242,17.0,12.5,0.108,0.108,0.138,0.267,61.9,36.8
Kenyon Martin,31,PF,DEN,66,2111,13.6,12.0,0.073,0.073,0.079,0.63,48.1,49.8
Steve Blake,28,PG,POR,69,2188,14.4,15.0,0.087,0.087,0.162,0.2,57.3,32.4
Delonte West,25,SG,CLE,64,2152,14.1,12.6,0.075,0.075,0.098,0.7,60.4,68.6
Jason Kidd,35,PG,DAL,81,2886,16.9,16.8,0.086,0.086,0.128,0.371,52.5,47.5
Trevor Ariza,23,SF,LAL,82,1999,15.5,14.7,0.076,0.076,0.104,0.881,60.3,91.6
Andrew Bynum,21,C,LAL,50,1446,20.0,11.8,0.098,0.098,0.084,0.881,77.7,74.0
Kyle Korver,27,SF,UTA,78,1874,12.1,12.8,0.06,0.06,0.136,0.111,35.1,15.1
Jameer Nelson,26,PG,ORL,42,1309,20.6,4.9,0.109,0.109,0.036,0.643,78.5,0.0
Eddie House,30,PG,BOS,81,1479,15.4,17.1,0.08,0.08,0.155,0.422,60.5,65.4
Brandon Bass,23,C,DAL,81,1574,16.4,22.8,0.083,0.083,0.174,0.371,50.6,64.6
Daequan Cook,21,SF,MIA,75,1833,10.3,3.2,0.051,0.051,0.03,0.273,26.7,8.2
Willie Green,27,SG,PHI,81,1828,11.1,5.0,0.062,0.062,0.065,0.2,31.0,13.0
James Posey,32,SG,NOH,75,2140,10.8,13.3,0.06,0.06,0.221,0.111,35.9,24.5
Matt Bonner,28,PF,SAS,81,1928,15.0,3.3,0.073,0.073,0.037,0.111,48.1,4.1
C.J. Miles,21,SG,UTA,72,1623,11.8,2.9,0.058,0.058,0.031,0.111,33.9,0.0
Kendrick Perkins,24,C,BOS,76,2253,13.2,16.4,0.068,0.068,0.148,0.422,51.4,62.5
Courtney Lee,23,SG,ORL,77,1939,10.7,9.3,0.056,0.056,0.068,0.643,40.3,43.7
Larry Hughes,30,SG,"CHI, NYK",55,1479,12.3,,"0.068, 0.062",0.065,0.0,0.0,29.5,0.0
Carl Landry,25,PF,HOU,69,1467,17.7,14.4,0.097,0.097,0.113,0.447,62.7,50.5
J.J. Barea,24,SG,DAL,79,1600,13.4,13.5,0.068,0.068,0.103,0.371,41.5,38.2
Von Wafer,23,SG,HOU,63,1225,14.7,14.5,0.081,0.081,0.114,0.447,52.3,51.0
Marreese Speights,21,C,PHI,79,1263,17.9,10.9,0.1,0.1,0.141,0.2,50.0,0.0
Drew Gooden,27,PF,"CHI, SAC, SAS",51,1264,18.8,7.7,"0.072, 0.083, 0.091",0.079,"0.0, 0.086",0.111,44.6,0.0
Carlos Boozer,27,PF,UTA,37,1197,17.2,20.4,0.085,0.085,0.217,0.111,49.7,24.1
Antonio McDyess,34,PF,DET,62,1866,16.6,14.8,0.096,0.096,0.343,0.0,45.7,0.0
Daniel Gibson,22,PG,CLE,75,1795,10.1,5.5,0.054,0.054,0.043,0.7,43.5,30.1
Kyle Lowry,22,PG,"MEM, HOU",77,1679,15.0,10.5,"0.082, 0.082",0.082,0.083,0.447,34.6,0.0
Jamario Moon,28,SF,"TOR, MIA",80,2068,11.6,18.3,"0.071, 0.057",0.066,0.174,0.273,29.0,0.0
Maurice Evans,30,SF,ATL,80,1840,11.1,8.5,0.071,0.071,0.094,0.267,40.7,25.1
Rashad McCants,24,SG,"MIN, SAC",58,1101,17.2,,"0.052, 0.076",0.062,0,0.0,15.4,0.0
Tim Thomas,31,PF,"LAC, NYK, CHI",64,1247,11.5,-3.8,"0.042, 0.068, 0.054",0.06,-0.037,0.273,24.0,0.0
Greg Oden,21,C,POR,61,1314,18.1,10.9,0.11,0.11,0.118,0.2,72.5,0.0
Leon Powe,25,PF,BOS,70,1227,17.2,11.9,0.089,0.089,0.108,0.422,67.3,0.0
Joakim Noah,23,C,CHI,80,1938,16.5,17.1,0.078,0.078,0.168,0.273,39.0,45.9
Mike James,33,PG,"NOH, WAS",61,1649,9.9,,"0.032, 0.049",0.047,0.0,0.0,12.4,0.0
Glen Davis,23,C,BOS,76,1637,10.7,15.2,0.055,0.055,0.137,0.422,41.6,57.8
Samuel Dalembert,27,C,PHI,82,2036,13.2,15.2,0.073,0.073,0.197,0.2,36.5,39.4
Wally Szczerbiak,31,SF,CLE,74,1527,12.1,8.6,0.064,0.064,0.067,0.7,51.5,46.9
Kirk Hinrich,28,SG,CHI,51,1339,13.9,17.1,0.065,0.065,0.168,0.273,32.5,45.9
Zaza Pachulia,24,C,ATL,77,1473,14.1,12.0,0.09,0.09,0.132,0.267,51.6,35.2
Antoine Wright,24,SF,DAL,65,1552,8.6,12.0,0.044,0.044,0.091,0.371,26.8,33.8
Erick Dampier,33,C,DAL,80,1836,15.7,9.8,0.08,0.08,0.075,0.371,48.8,27.8
Chris Andersen,30,C,DEN,71,1460,18.1,18.4,0.098,0.098,0.12,0.63,64.6,75.6
Jason Maxiell,25,C,DET,78,1408,15.8,13.7,0.092,0.092,0.318,0.0,43.8,0.0
Joel Przybilla,29,C,POR,82,1952,15.4,15.4,0.093,0.093,0.166,0.2,61.3,33.2
Chris Wilcox,26,C,"OKC, NYK",62,1049,13.2,,"0.061, 0.067",0.063,0,0.0,20.7,0.0
George Hill,22,PG,SAS,77,1270,11.6,9.8,0.056,0.056,0.109,0.111,36.9,0.0
