Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Shai Gilgeous-Alexander,25,PG,OKC,75,2553,399,29.3,25.5,0.133,0.133,0.189,0.457,92.4,86.4
Jalen Brunson,27,PG,NYK,77,2726,518,23.4,22.1,0.108,0.108,0.15,0.447,65.9,67.0
Anthony Edwards,22,SG,MIN,79,2770,649,19.7,22.5,0.097,0.097,0.182,0.56,66.3,101.9
Kevin Durant,35,PF,PHO,75,2791,168,21.2,20.9,0.089,0.089,0.254,0.0,53.2,0.0
Jayson Tatum,25,PF,BOS,74,2645,768,22.3,20.1,0.088,0.088,0.136,1.035,68.6,140.8
Anthony Davis,30,C,LAL,76,2700,208,25.8,26.9,0.157,0.157,0.283,0.111,90.0,31.4
Devin Booker,27,PG,PHO,68,2447,166,21.9,22.2,0.092,0.092,0.269,0.0,55.0,0.0
LeBron James,39,PF,LAL,71,2504,204,23.7,26.0,0.144,0.144,0.274,0.111,82.5,30.4
Tyrese Maxey,23,PG,PHI,70,2626,267,19.8,20.7,0.068,0.068,0.232,0.2,39.0,46.4
Paolo Banchero,21,PF,ORL,80,2799,262,17.3,18.9,0.086,0.086,0.173,0.273,49.3,47.2
Damian Lillard,33,PG,MIL,73,2579,156,19.6,24.8,0.101,0.101,0.214,0.2,60.4,42.8
Pascal Siakam,29,PF,"TOR, IND",80,2657,603,20.7,20.7,"0.06, 0.084",0.072,0.137,0.467,33.6,0.0
Paul George,33,PF,LAC,74,2502,222,19.3,16.1,0.095,0.095,0.196,0.2,59.1,39.2
Kawhi Leonard,32,SF,LAC,68,2330,59,23.2,14.3,0.114,0.114,0.174,0.2,70.9,0.0
Jaylen Brown,27,SF,BOS,70,2343,707,18.6,19.1,0.073,0.073,0.129,1.035,56.9,133.5
Kyrie Irving,31,SG,DAL,58,2030,879,21.9,16.6,0.086,0.086,0.108,0.692,52.5,74.7
Donovan Mitchell,27,SG,CLE,55,1942,382,22.1,22.2,0.108,0.108,0.178,0.325,63.2,57.8
Franz Wagner,22,SF,ORL,72,2337,259,17.6,17.7,0.087,0.087,0.162,0.273,49.9,44.2
Tyrese Haliburton,23,PG,IND,69,2224,522,23.3,22.0,0.095,0.095,0.145,0.467,54.4,67.7
D'Angelo Russell,27,PG,LAL,76,2484,185,16.0,8.8,0.097,0.097,0.093,0.111,55.6,10.3
Bam Adebayo,26,C,MIA,71,2416,192,19.8,18.2,0.079,0.079,0.22,0.111,44.3,24.4
Chet Holmgren,21,C,OKC,82,2413,345,20.4,16.4,0.093,0.093,0.122,0.457,64.6,55.8
Michael Porter Jr.,25,SF,DEN,81,2565,443,15.5,13.1,0.079,0.079,0.128,0.475,54.9,60.8
Jalen Williams,22,PF,OKC,71,2223,377,19.1,17.8,0.087,0.087,0.132,0.457,60.5,60.3
Joel Embiid,29,C,PHI,39,1309,248,34.1,26.3,0.118,0.118,0.295,0.2,67.6,59.0
Karl-Anthony Towns,28,PF,MIN,62,2026,522,18.8,19.2,0.093,0.093,0.155,0.56,63.5,86.8
Brandon Ingram,26,SF,NOP,64,2103,145,18.2,9.1,0.087,0.087,0.249,0.0,52.0,0.0
CJ McCollum,32,PG,NOP,66,2159,148,17.9,9.9,0.085,0.085,0.271,0.0,50.8,0.0
Myles Turner,27,C,IND,77,2076,550,19.3,17.5,0.079,0.079,0.116,0.467,45.3,54.2
Austin Reaves,25,SG,LAL,82,2629,174,15.5,18.0,0.094,0.094,0.189,0.111,53.9,21.0
Jarrett Allen,25,C,CLE,77,2442,127,21.8,27.2,0.106,0.106,0.218,0.325,62.0,70.8
Donte DiVincenzo,27,SG,NYK,81,2360,466,16.0,15.7,0.074,0.074,0.106,0.447,45.1,47.4
Jamal Murray,26,PG,DEN,59,1861,462,20.7,12.2,0.105,0.105,0.119,0.475,73.0,56.5
Terry Rozier,29,PG,"CHO, MIA",61,2040,0,15.1,,"0.066, 0.06",0.063,0.0,0.111,25.4,0.0
Tobias Harris,31,PF,PHI,70,2368,218,16.5,9.0,0.057,0.057,0.101,0.2,32.7,20.2
James Harden,34,PG,LAC,72,2470,242,18.6,20.5,0.091,0.091,0.25,0.2,56.6,50.0
RJ Barrett,23,SG,"NYK, TOR",58,1838,0,17.8,,"0.066, 0.057",0.061,0.0,0.0,27.6,0.0
Immanuel Quickley,24,PG,"NYK, TOR",68,1985,0,16.5,,"0.079, 0.052",0.064,0.0,0.0,30.1,0.0
Tim Hardaway Jr.,31,SF,DAL,79,2120,178,12.1,9.1,0.047,0.047,0.059,0.692,28.7,40.8
Bobby Portis,28,PF,MIL,82,2008,187,17.5,16.3,0.09,0.09,0.141,0.2,53.8,28.2
Derrick White,29,SG,BOS,73,2381,676,16.9,18.3,0.066,0.066,0.124,1.035,51.5,128.3
Naz Reid,24,C,MIN,81,1964,361,16.0,14.4,0.079,0.079,0.117,0.56,54.0,65.5
Rudy Gobert,31,C,MIN,76,2593,512,19.3,16.2,0.095,0.095,0.131,0.56,64.9,73.4
Norman Powell,30,SG,LAC,76,1990,179,13.9,9.1,0.068,0.068,0.111,0.2,42.3,22.2
Kelly Oubre Jr.,28,SF,PHI,68,2055,224,13.5,12.5,0.047,0.047,0.14,0.2,26.9,28.0
Darius Garland,24,PG,CLE,57,1901,432,14.5,12.4,0.071,0.071,0.099,0.325,41.5,32.2
Grayson Allen,28,SG,PHO,75,2513,43,13.8,4.5,0.058,0.058,0.055,0.0,34.7,0.0
Aaron Gordon,28,PF,DEN,73,2297,445,16.8,18.2,0.085,0.085,0.178,0.475,59.1,84.5
Buddy Hield,31,SG,"IND, PHI",84,2160,51,13.6,11.4,"0.053, 0.047",0.051,0.128,0.2,29.1,0.0
Brook Lopez,35,C,MIL,79,2411,200,14.8,18.2,0.076,0.076,0.157,0.2,45.4,31.4
Josh Giddey,21,SG,OKC,80,2011,181,16.6,14.8,0.075,0.075,0.11,0.457,52.1,50.3
Bradley Beal,30,SG,PHO,53,1767,154,16.3,9.9,0.069,0.069,0.12,0.0,41.3,0.0
Caris LeVert,29,SG,CLE,68,1958,278,14.6,11.9,0.071,0.071,0.095,0.325,41.5,30.9
Jalen Suggs,22,SG,ORL,75,2025,232,14.1,12.6,0.07,0.07,0.115,0.273,40.1,31.4
P.J. Washington,25,PF,"CHO, DAL",73,2221,785,11.0,11.3,"0.044, 0.043",0.044,0.073,0.692,17.2,0.0
Cole Anthony,23,PG,ORL,81,1817,103,14.6,5.9,0.072,0.072,0.054,0.273,41.3,14.7
Rui Hachimura,25,PF,LAL,68,1826,152,15.0,5.8,0.091,0.091,0.061,0.111,52.1,6.8
Malik Beasley,27,SG,MIL,79,2337,131,10.3,12.8,0.053,0.053,0.111,0.2,31.7,22.2
Jaime Jaquez Jr.,22,SF,MIA,75,2113,123,12.9,9.8,0.051,0.051,0.118,0.111,28.6,13.1
Aaron Nesmith,24,SF,IND,72,1995,559,12.8,9.6,0.052,0.052,0.063,0.467,29.8,29.4
Tyler Herro,24,SG,MIA,42,1407,185,15.7,10.2,0.062,0.062,0.123,0.111,34.8,13.7
Duncan Robinson,29,SF,MIA,68,1905,60,12.2,1.7,0.049,0.049,0.021,0.111,27.5,0.0
Mike Conley,36,PG,MIN,76,2193,474,15.8,15.0,0.078,0.078,0.121,0.56,53.3,67.8
Moritz Wagner,26,C,ORL,80,1415,105,20.6,12.4,0.102,0.102,0.114,0.273,58.4,31.1
