Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
George Gervin,25,SG,SAS,82,2857,227,24.7,29.4,0.138,0.138,0.259,0.24,87.5,62.2
David Thompson,23,SG,DEN,80,3025,481,23.2,18.2,0.135,0.135,0.143,0.506,79.0,72.4
Bob McAdoo,26,C,NYK,79,3182,238,22.0,17.6,0.142,0.142,0.151,0.2,74.4,30.2
Paul Westphal,27,SG,PHO,80,2481,66,23.8,26.3,0.145,0.145,0.0,0.0,86.7,0.0
Walter Davis,23,SF,PHO,81,2590,66,22.1,23.9,0.135,0.135,0.0,0.0,80.7,0.0
John Williamson,26,SG,"IND, NJN",75,2731,0,18.5,,"0.06, 0.085",0.071,0,0.0,23.7,0.0
Dan Issel,29,C,DEN,82,2851,460,21.5,19.0,0.125,0.125,0.149,0.506,73.1,75.4
Adrian Dantley,22,SF,"IND, LAL",79,2933,104,19.8,22.4,"0.117, 0.088",0.096,0.373,0.143,47.1,0.0
Larry Kenon,25,SF,SAS,81,2869,200,19.0,16.3,0.106,0.106,0.144,0.24,67.2,34.6
John Drew,23,SF,ATL,70,2203,79,23.7,19.6,0.133,0.133,0.0,0.0,66.5,0.0
Kareem Abdul-Jabbar,30,C,LAL,62,2265,134,29.2,21.9,0.13,0.13,0.365,0.143,71.4,52.2
Elvin Hayes,32,PF,WSB,81,3246,868,17.1,20.3,0.101,0.101,0.154,0.872,54.2,134.3
Brian Winters,25,SG,MIL,80,2751,305,16.4,18.1,0.097,0.097,0.132,0.431,52.1,56.9
George McGinnis,27,PF,PHI,78,2533,273,20.3,15.0,0.123,0.123,0.109,0.614,82.5,66.9
Marques Johnson,21,SF,MIL,80,2765,321,21.3,27.2,0.126,0.126,0.198,0.431,67.7,85.3
Doug Collins,26,SG,PHI,79,2770,342,16.9,14.8,0.102,0.102,0.107,0.614,68.4,65.7
Julius Erving,27,SF,PHI,74,2429,358,21.7,21.2,0.131,0.131,0.154,0.614,87.9,94.6
Bob Dandridge,30,SF,WSB,75,2777,746,16.1,16.8,0.095,0.095,0.128,0.872,51.0,111.6
Gus Williams,24,PG,SEA,79,2572,701,18.1,20.4,0.11,0.11,0.177,0.738,63.0,130.6
Campy Russell,26,SF,CLE,72,2520,88,18.2,20.7,0.106,0.106,0.0,0.0,55.5,0.0
Earl Monroe,33,SG,NYK,76,2369,145,16.9,9.1,0.109,0.109,0.078,0.2,57.1,15.6
Lionel Hollins,24,PG,POR,81,2741,223,14.3,14.4,0.073,0.073,0.154,0.24,51.6,37.0
Billy Paultz,29,C,SAS,80,2479,191,19.8,14.5,0.111,0.111,0.128,0.24,70.4,30.7
James Edwards,22,C,"LAL, IND",83,2405,0,14.8,,"0.064, 0.074",0.071,0.0,0.0,30.1,0.0
Kevin Grevey,24,SF,WSB,81,2121,584,15.5,13.6,0.092,0.092,0.104,0.872,49.4,90.7
Kevin Porter,27,PG,"DET, NJN",82,2813,0,15.8,,"0.063, 0.072",0.071,0,0.0,21.9,0.0
Jim Chones,28,C,CLE,82,2906,82,14.9,12.7,0.087,0.087,0.0,0.0,45.6,0.0
Lonnie Shelton,22,PF,NYK,82,2319,151,17.4,14.8,0.113,0.113,0.127,0.2,59.2,25.4
Fred Brown,29,SG,SEA,72,1965,575,19.6,19.9,0.119,0.119,0.172,0.738,68.2,126.9
World B. Free,24,SG,PHI,76,2050,268,17.4,15.4,0.105,0.105,0.112,0.614,70.5,68.8
John Shumate,25,PF,"BUF, DET",80,2760,0,16.5,,"0.072, 0.079",0.077,0,0.0,33.7,0.0
Dave Meyers,24,PF,MIL,80,2416,279,15.4,14.4,0.091,0.091,0.105,0.431,48.9,45.3
Earl Tatum,24,SG,"LAL, IND",82,2522,0,14.2,,"0.071, 0.071",0.071,0.0,0.0,30.5,0.0
Marvin Webster,25,C,SEA,82,2910,904,17.0,16.8,0.104,0.104,0.146,0.738,59.6,107.7
Lou Hudson,33,SG,LAL,82,2283,93,14.2,11.4,0.063,0.063,0.19,0.143,34.6,0.0
Junior Bridgeman,24,SF,MIL,82,1876,178,17.0,13.0,0.101,0.101,0.095,0.431,54.2,40.9
Maurice Lucas,25,PF,POR,68,2119,233,17.3,13.3,0.089,0.089,0.143,0.24,62.9,34.3
Norm Nixon,22,PG,LAL,81,2779,92,14.1,11.4,0.063,0.063,0.19,0.143,34.6,0.0
Bill Walton,25,C,POR,58,1929,49,24.8,28.6,0.127,0.127,0.307,0.24,89.8,0.0
Bobby Jones,26,PF,DEN,75,2440,390,19.8,18.0,0.115,0.115,0.141,0.506,67.3,71.3
Alvan Adams,23,C,PHO,70,1914,71,17.7,10.7,0.108,0.108,0.0,0.0,64.6,0.0
Mitch Kupchak,23,PF,WSB,67,1759,504,17.7,10.7,0.105,0.105,0.081,0.872,56.4,70.6
Charlie Scott,29,SG,"BOS, LAL",79,2473,103,12.3,5.6,"0.069, 0.055",0.06,0.093,0.143,28.9,0.0
Dennis Johnson,23,SG,SEA,81,2209,827,15.6,13.9,0.095,0.095,0.12,0.738,54.4,88.6
Austin Carr,29,SG,CLE,82,2186,69,13.6,15.2,0.079,0.079,0.0,0.0,41.4,0.0
