Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Michael Jordan,33,SG,CHI,82,3106,27.8,27.1,0.133,0.133,0.188,0.991,111.9,186.3
Karl Malone,33,PF,UTA,82,2998,28.9,22.2,0.153,0.153,0.152,0.775,119.3,117.8
Glen Rice,29,SF,CHH,79,3362,19.7,23.7,0.096,0.096,0.423,0.0,63.3,0.0
Hakeem Olajuwon,34,C,HOU,78,2852,22.7,27.6,0.112,0.112,0.229,0.58,77.8,132.8
Gary Payton,28,PG,SEA,82,3213,21.8,19.8,0.116,0.116,0.171,0.412,80.6,70.5
Patrick Ewing,34,C,NYK,78,2887,21.3,21.0,0.142,0.142,0.185,0.471,98.7,87.1
Grant Hill,24,SF,DET,80,3147,25.5,21.4,0.13,0.13,0.297,0.222,85.7,65.9
Tom Gugliotta,27,PF,MIN,81,3131,19.0,15.7,0.119,0.119,0.228,0.0,58.1,0.0
Scottie Pippen,31,SF,CHI,82,3095,21.3,18.1,0.102,0.102,0.125,0.991,85.8,123.9
Tim Hardaway,30,PG,MIA,81,3136,20.8,15.9,0.105,0.105,0.142,0.486,78.1,69.0
Juwan Howard,23,SF,WSB,82,3324,16.1,17.3,0.1,0.1,0.275,0.0,53.7,0.0
Shawn Kemp,27,PF,SEA,81,2750,20.7,23.0,0.11,0.11,0.199,0.412,76.4,82.0
Christian Laettner,27,PF,ATL,82,3140,19.1,14.6,0.109,0.109,0.147,0.3,74.4,44.1
Steve Smith,27,SG,ATL,72,2818,17.4,12.3,0.099,0.099,0.124,0.3,67.6,37.2
Chris Webber,23,PF,WSB,72,2806,21.8,16.7,0.135,0.135,0.265,0.0,72.5,0.0
Kenny Anderson,26,PG,POR,82,3081,19.5,17.1,0.098,0.098,0.246,0.125,58.6,30.8
Kevin Johnson,30,PG,PHO,70,2658,22.9,10.4,0.097,0.097,0.102,0.222,47.3,22.6
Rod Strickland,30,PG,WSB,82,2997,19.7,17.6,0.122,0.122,0.279,0.0,65.5,0.0
Eddie Jones,25,SG,LAL,80,2998,17.3,14.9,0.082,0.082,0.124,0.323,56.0,40.1
Mookie Blaylock,29,PG,ATL,78,3056,20.4,16.0,0.116,0.116,0.161,0.3,79.2,48.3
Shaquille O'Neal,24,C,LAL,51,1941,27.1,29.0,0.129,0.129,0.241,0.323,88.1,77.8
Alonzo Mourning,26,C,MIA,66,2320,21.6,15.9,0.109,0.109,0.142,0.486,81.1,69.0
Kevin Garnett,20,SF,MIN,77,2995,18.2,19.3,0.114,0.114,0.28,0.0,55.6,0.0
Rony Seikaly,31,C,ORL,74,2615,18.3,5.0,0.115,0.115,0.062,0.222,63.1,0.0
Michael Finley,23,SF,"PHO, DAL",83,2790,14.5,,"0.062, 0.052",0.055,0.0,0.0,20.1,0.0
Jim Jackson,26,SF,"DAL, NJN",77,2831,15.0,,"0.054, 0.066",0.059,0,0.0,17.9,0.0
Clifford Robinson,30,SF,POR,81,3077,13.1,9.8,0.066,0.066,0.141,0.125,39.5,17.6
Isaiah Rider,25,SG,POR,76,2563,13.8,9.1,0.069,0.069,0.131,0.125,41.3,16.4
Loy Vaught,28,PF,LAC,82,2838,16.6,21.4,0.087,0.087,0,0.0,38.2,0.0
Anfernee Hardaway,25,PG,ORL,59,2221,21.4,29.9,0.135,0.135,0.368,0.222,74.1,81.7
Nick Van Exel,25,PG,LAL,79,2937,16.0,13.9,0.076,0.076,0.116,0.323,51.9,37.5
Allan Houston,25,SG,NYK,81,2681,11.3,14.1,0.075,0.075,0.124,0.471,52.1,58.4
Jeff Hornacek,33,SG,UTA,82,2592,18.8,16.4,0.099,0.099,0.113,0.775,77.2,87.6
Anthony Mason,30,PF,CHH,73,3143,18.9,10.9,0.092,0.092,0.195,0.0,60.6,0.0
John Stockton,34,PG,UTA,82,2896,22.1,22.7,0.117,0.117,0.156,0.775,91.3,120.9
Lindsey Hunter,26,PG,DET,82,3023,13.4,15.4,0.068,0.068,0.214,0.222,44.8,47.5
Joe Dumars,33,SG,DET,79,2923,15.6,10.6,0.08,0.08,0.147,0.222,52.7,32.6
Elden Campbell,28,PF,LAL,77,2516,16.8,12.1,0.08,0.08,0.101,0.323,54.6,32.6
Hersey Hawkins,30,SG,SEA,82,2755,17.6,16.3,0.093,0.093,0.141,0.412,64.6,58.1
Clyde Drexler,34,SG,HOU,62,2271,19.9,17.8,0.099,0.099,0.147,0.58,68.8,85.3
Wesley Person,25,SG,PHO,80,2326,15.9,18.8,0.067,0.067,0.184,0.222,32.7,40.8
Malik Sealy,26,SG,LAC,80,2456,13.7,11.5,0.072,0.072,0,0.0,31.6,0.0
Rodney Rogers,25,SF,LAC,81,2480,14.2,10.9,0.075,0.075,0,0.0,32.9,0.0
Dikembe Mutombo,30,C,ATL,80,2973,19.0,21.1,0.108,0.108,0.213,0.3,73.8,63.9
John Starks,31,SG,NYK,77,2042,15.9,16.2,0.106,0.106,0.143,0.471,73.7,67.4
Stephon Marbury,19,PG,MIN,67,2324,16.1,15.2,0.101,0.101,0.22,0.0,49.3,0.0
Danny Manning,30,PF,PHO,77,2134,17.9,21.3,0.075,0.075,0.209,0.222,36.6,46.4
Otis Thorpe,34,C,DET,79,2661,16.1,11.8,0.082,0.082,0.164,0.222,54.0,36.4
