Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Damian Lillard,30,PG,POR,67,2398,248,25.6,30.4,0.117,0.117,0.266,0.2,68.2,53.2
Bradley Beal,27,SG,WAS,60,2147,195,22.7,17.5,0.096,0.096,0.186,0.111,45.3,20.6
Giannis Antetokounmpo,26,PF,MIL,61,2013,800,29.2,27.6,0.122,0.122,0.217,0.881,78.0,191.2
Devin Booker,24,SG,PHO,67,2270,889,19.2,16.1,0.087,0.087,0.119,0.754,61.6,89.7
Julius Randle,26,PF,NYK,71,2667,180,19.7,7.2,0.102,0.102,0.094,0.111,58.0,10.4
Jayson Tatum,22,SF,BOS,64,2290,185,21.3,24.1,0.075,0.075,0.284,0.111,37.5,31.5
Trae Young,22,PG,ATL,63,2125,603,23.0,21.2,0.096,0.096,0.168,0.573,54.6,96.3
Joel Embiid,26,C,PHI,51,1585,357,30.3,26.2,0.125,0.125,0.165,0.475,85.1,78.4
Kyrie Irving,28,PG,BRK,54,1886,325,24.4,20.0,0.075,0.075,0.138,0.475,50.0,65.6
Russell Westbrook,32,PG,WAS,65,2369,186,19.5,15.7,0.082,0.082,0.167,0.111,38.7,18.5
Donovan Mitchell,24,PG,UTA,53,1771,346,21.3,26.4,0.098,0.098,0.192,0.427,70.8,82.0
Khris Middleton,29,SF,MIL,68,2269,922,18.2,16.5,0.076,0.076,0.13,0.881,48.6,114.5
Kawhi Leonard,29,SF,LAC,52,1773,432,26.0,30.6,0.104,0.104,0.192,0.548,67.9,105.2
Norman Powell,27,SF,"TOR, POR",69,2205,216,14.2,14.3,"0.07, 0.065",0.068,0.125,0.2,30.8,0.0
RJ Barrett,20,SG,NYK,72,2511,162,13.4,14.2,0.07,0.07,0.186,0.111,39.8,20.6
Paul George,30,SF,LAC,54,1821,776,20.5,20.0,0.082,0.082,0.125,0.548,53.5,68.5
Jordan Clarkson,28,SG,UTA,68,1818,298,17.1,14.1,0.079,0.079,0.103,0.427,57.0,44.0
Tobias Harris,28,PF,PHI,62,2014,438,20.0,17.8,0.083,0.083,0.112,0.475,56.5,53.2
Ja Morant,21,PG,MEM,63,2053,203,16.7,21.5,0.072,0.072,0.227,0.111,38.0,25.2
Bam Adebayo,23,C,MIA,64,2143,136,22.7,14.9,0.097,0.097,0.399,0.0,53.9,0.0
Tim Hardaway Jr.,28,SG,DAL,70,1985,262,15.7,11.1,0.071,0.071,0.129,0.273,41.4,35.2
Michael Porter Jr.,22,SF,DEN,61,1912,332,20.6,14.9,0.079,0.079,0.113,0.286,51.6,32.3
Dillon Brooks,25,SF,MEM,67,1997,175,12.1,20.6,0.052,0.052,0.218,0.111,27.5,24.2
Chris Paul,35,PG,PHO,70,2199,683,21.4,20.7,0.097,0.097,0.153,0.754,68.7,115.4
LeBron James,36,PG,LAL,45,1504,224,24.2,20.1,0.111,0.111,0.224,0.2,64.7,44.8
Jimmy Butler,31,SF,MIA,52,1745,154,26.5,9.7,0.113,0.113,0.26,0.0,62.8,0.0
John Collins,23,PF,ATL,63,1848,576,20.6,15.3,0.086,0.086,0.121,0.573,48.9,69.3
CJ McCollum,29,SG,POR,47,1600,240,20.8,12.8,0.095,0.095,0.112,0.2,55.4,22.4
James Harden,31,PG,"HOU, BRK",44,1609,322,25.0,23.9,"0.071, 0.077",0.076,0.165,0.475,45.1,0.0
Jrue Holiday,30,PG,MIL,59,1907,912,20.0,15.2,0.084,0.084,0.119,0.881,53.7,104.8
Rudy Gobert,28,C,UTA,71,2187,376,23.5,21.4,0.108,0.108,0.156,0.427,78.0,66.6
Deandre Ayton,22,C,PHO,69,2115,801,20.3,19.5,0.092,0.092,0.144,0.754,65.1,108.6
Joe Harris,29,SF,BRK,69,2141,434,14.1,7.1,0.043,0.043,0.049,0.475,28.7,23.3
Mikal Bridges,24,SF,PHO,72,2348,707,16.4,12.9,0.074,0.074,0.095,0.754,52.4,71.6
Clint Capela,26,C,ATL,63,1898,569,24.3,15.8,0.102,0.102,0.125,0.573,58.0,71.6
Caris LeVert,26,SG,"BRK, IND",47,1486,0,17.4,,"0.059, 0.073",0.069,0.0,0.0,35.7,0.0
Kelly Olynyk,29,PF,"MIA, HOU",70,1997,0,22.3,,"0.052, 0.07",0.059,0.0,0.0,24.1,0.0
Kevin Durant,32,PF,BRK,35,1157,485,26.4,26.9,0.081,0.081,0.185,0.475,54.0,87.9
Duncan Robinson,26,SF,MIA,72,2262,100,11.0,9.0,0.047,0.047,0.241,0.0,26.1,0.0
Montrezl Harrell,27,C,LAL,69,1580,39,22.7,22.5,0.104,0.104,0.251,0.2,60.6,0.0
Carmelo Anthony,36,PF,POR,69,1690,143,14.6,12.2,0.067,0.067,0.107,0.2,39.1,21.4
Gary Trent Jr.,22,SG,"POR, TOR",58,1802,0,11.3,,"0.057, 0.044",0.053,0.0,0.0,28.3,0.0
Kyle Kuzma,25,SF,LAL,68,1954,129,12.7,3.3,0.058,0.058,0.037,0.2,33.8,7.4
Brook Lopez,32,C,MIL,70,1902,667,15.4,16.9,0.064,0.064,0.133,0.881,40.9,117.2
Jalen Brunson,24,PG,DAL,68,1697,114,17.1,15.3,0.077,0.077,0.178,0.273,44.9,48.6
Kyle Anderson,27,PF,MEM,69,1887,142,17.2,13.7,0.074,0.074,0.145,0.111,39.1,16.1
Ben Simmons,24,PG,PHI,58,1877,402,18.3,18.1,0.076,0.076,0.114,0.475,51.8,54.2
Kemba Walker,30,PG,BOS,43,1369,91,17.7,4.3,0.063,0.063,0.051,0.111,31.5,0.0
Mike Conley,33,PG,UTA,51,1498,176,19.2,18.5,0.088,0.088,0.135,0.427,63.5,57.6
Kevin Huerter,22,SG,ATL,69,2126,558,12.2,11.2,0.051,0.051,0.089,0.573,29.0,51.0
Shake Milton,24,SG,PHI,63,1461,121,14.6,4.4,0.06,0.06,0.028,0.475,40.9,13.3
Kendrick Nunn,25,PG,MIA,56,1650,93,14.2,7.5,0.061,0.061,0.201,0.0,33.9,0.0
Tyler Herro,21,SG,MIA,54,1635,93,13.3,7.9,0.057,0.057,0.212,0.0,31.7,0.0
Joe Ingles,33,SF,UTA,67,1867,306,15.9,13.8,0.073,0.073,0.1,0.427,52.7,42.7
Enes Freedom,28,C,POR,72,1758,56,22.4,6.4,0.102,0.102,0.056,0.2,59.5,0.0
Jarrett Allen,22,C,"BRK, CLE",63,1864,0,19.8,,"0.066, 0.081",0.078,0.0,0.0,28.4,0.0
Rui Hachimura,22,PF,WAS,57,1797,173,11.4,13.7,0.048,0.048,0.146,0.111,22.7,16.2
Anthony Davis,27,PF,LAL,36,1162,144,22.1,20.9,0.101,0.101,0.233,0.2,58.9,46.6
Marcus Morris,31,PF,LAC,57,1502,604,14.5,11.6,0.058,0.058,0.073,0.548,37.9,40.0
Bobby Portis,25,C,MIL,66,1372,366,19.9,17.1,0.083,0.083,0.134,0.881,53.0,118.1
Jeff Green,34,PF,BRK,68,1835,148,13.0,12.3,0.04,0.04,0.085,0.475,26.7,40.4
Lou Williams,34,PG,"LAC, ATL",66,1423,277,10.8,14.7,"0.063, 0.045",0.056,0.116,0.573,35.5,0.0
Derrick Rose,32,PG,"DET, NYK",50,1279,175,18.8,17.1,"0.062, 0.098",0.087,0.224,0.111,44.2,0.0
Immanuel Quickley,21,PG,NYK,64,1243,77,15.8,2.4,0.082,0.082,0.031,0.111,46.7,0.0
Evan Fournier,28,SF,"ORL, BOS",42,1259,167,14.1,11.8,"0.059, 0.05",0.056,0.139,0.111,20.2,0.0
Reggie Jackson,30,SG,LAC,67,1544,622,14.2,17.3,0.057,0.057,0.108,0.548,37.2,59.2
Josh Richardson,27,SG,DAL,59,1790,94,11.9,8.4,0.054,0.054,0.098,0.273,31.5,0.0
Will Barton,30,SF,DEN,56,1736,83,11.8,15.7,0.045,0.045,0.119,0.286,29.4,0.0
Seth Curry,30,SG,PHI,57,1638,381,12.9,18.8,0.053,0.053,0.119,0.475,36.1,56.5
Reggie Bullock,29,SF,NYK,65,1949,162,11.1,7.5,0.058,0.058,0.098,0.111,33.0,10.9
Bryn Forbes,27,SG,MIL,70,1354,273,12.8,10.5,0.054,0.054,0.082,0.881,34.5,72.2
Donte DiVincenzo,24,SG,MIL,66,1814,70,13.0,2.3,0.054,0.054,0.018,0.881,34.5,0.0
Andre Drummond,27,C,"CLE, LAL",46,1242,105,17.9,19.2,"0.084, 0.082",0.083,0.214,0.2,35.8,0.0
Danilo Gallinari,32,PF,ATL,51,1222,442,16.3,13.3,0.068,0.068,0.105,0.573,38.7,60.2
Danny Green,33,SF,PHI,69,1934,199,12.1,13.0,0.05,0.05,0.082,0.475,34.0,38.9
Kentavious Caldwell-Pope,27,SG,LAL,67,1902,146,10.7,5.9,0.049,0.049,0.066,0.2,28.6,13.2
Victor Oladipo,28,SG,"IND, HOU, MIA",33,1080,0,8.1,,"0.065, 0.047, 0.035",0.05,0.0,0.0,17.4,0.0
Ivica Zubac,23,C,LAC,72,1609,301,19.1,17.6,0.076,0.076,0.11,0.548,49.6,60.3
Delon Wright,28,PG,"DET, SAC",63,1748,0,15.9,,"0.06, 0.064",0.062,0,0.0,21.4,0.0
Robin Lopez,32,C,WAS,71,1354,73,16.7,17.2,0.07,0.07,0.183,0.111,33.0,0.0
Elfrid Payton,26,PG,NYK,63,1484,13,11.7,-8.8,0.061,0.061,-0.115,0.111,34.7,0.0
Marcus Smart,26,PG,BOS,48,1581,183,13.8,14.8,0.049,0.049,0.174,0.111,24.5,19.3
Daniel Theis,28,C,"BOS, CHI",65,1601,0,14.9,,"0.053, 0.064",0.057,0.0,0.0,26.9,0.0
Desmond Bane,22,SG,MEM,68,1519,99,12.2,14.2,0.053,0.053,0.15,0.111,28.0,0.0
Alec Burks,29,SG,NYK,49,1255,128,14.8,16.0,0.077,0.077,0.209,0.111,43.8,23.2
Aaron Gordon,25,PF,"ORL, DEN",50,1384,299,14.1,10.5,"0.048, 0.054",0.051,0.08,0.286,24.6,0.0
Brandon Clarke,24,PF,MEM,59,1415,9,17.3,9.9,0.075,0.075,0.105,0.111,39.6,0.0
Wendell Carter Jr.,21,C,"CHI, ORL",54,1375,0,17.3,,"0.07, 0.056",0.064,0,0.0,24.5,0.0
Hamidou Diallo,22,SF,"OKC, DET",52,1226,0,13.1,,"0.056, 0.048",0.053,0,0.0,15.7,0.0
Jae Crowder,30,PF,PHO,60,1648,729,11.8,11.4,0.054,0.054,0.084,0.754,38.2,63.3
Robert Covington,30,PF,POR,70,2243,228,11.2,11.5,0.051,0.051,0.101,0.2,29.7,20.2
Dorian Finney-Smith,27,PF,DAL,60,1921,271,12.0,9.5,0.054,0.054,0.111,0.273,31.5,30.3
Talen Horton-Tucker,20,SG,LAL,65,1304,48,12.9,12.9,0.059,0.059,0.144,0.2,34.4,0.0
Bruce Brown,24,PG,BRK,65,1451,277,16.1,14.0,0.049,0.049,0.096,0.475,32.7,45.6
Cameron Johnson,24,PF,PHO,60,1437,443,11.8,14.8,0.054,0.054,0.109,0.754,38.2,82.2
Landry Shamet,23,SG,BRK,61,1403,206,10.3,6.6,0.032,0.032,0.045,0.475,21.3,21.4
Svi Mykhailiuk,23,SF,"DET, OKC",66,1324,0,10.6,,"0.037, 0.039",0.038,0,0.0,11.0,0.0
Raul Neto,28,PG,WAS,64,1403,112,13.0,5.5,0.055,0.055,0.059,0.111,26.0,6.5
Nicolas Batum,32,SF,LAC,67,1835,555,12.9,14.9,0.052,0.052,0.093,0.548,34.0,51.0
Terence Davis,23,SG,"TOR, SAC",61,1074,0,14.0,,"0.044, 0.056",0.049,0,0.0,19.9,0.0
Grayson Allen,25,SG,MEM,50,1259,116,12.8,5.3,0.055,0.055,0.056,0.111,29.0,6.2
Luke Kennard,24,SG,LAC,63,1232,219,12.7,11.0,0.051,0.051,0.069,0.548,33.3,37.8
Cory Joseph,29,PG,"SAC, DET",63,1446,0,17.3,,"0.04, 0.063",0.047,0,0.0,17.3,0.0
Payton Pritchard,23,SG,BOS,66,1268,67,12.4,10.1,0.044,0.044,0.119,0.111,22.0,0.0
Cameron Payne,26,PG,PHO,60,1079,418,17.4,15.1,0.079,0.079,0.111,0.754,55.9,83.7
Blake Griffin,31,PF,"DET, BRK",46,1186,318,16.3,14.6,"0.036, 0.05",0.044,0.101,0.475,23.2,0.0
Paul Millsap,35,PF,DEN,56,1162,109,16.4,18.3,0.063,0.063,0.139,0.286,41.1,39.8
Anfernee Simons,21,SG,POR,64,1104,107,12.3,15.2,0.056,0.056,0.133,0.2,32.6,26.6
Furkan Korkmaz,23,SG,PHI,55,1062,195,12.8,11.3,0.053,0.053,0.071,0.475,36.1,33.7
Georges Niang,27,PF,UTA,72,1154,129,11.4,1.6,0.052,0.052,0.012,0.427,37.5,5.1
Royce O'Neale,27,SF,UTA,71,2241,404,9.9,13.1,0.046,0.046,0.095,0.427,33.2,40.6
Tyrese Maxey,20,SG,PHI,61,935,156,14.5,12.7,0.06,0.06,0.08,0.475,40.9,38.0
Dwight Howard,35,C,PHI,69,1196,149,17.8,16.2,0.074,0.074,0.102,0.475,50.4,48.4
Khem Birch,28,C,"ORL, TOR",67,1529,0,16.9,,"0.045, 0.067",0.051,0,0.0,16.5,0.0
Monte Morris,25,PG,DEN,47,1196,286,14.0,17.3,0.054,0.054,0.131,0.286,35.3,37.5
Terance Mann,24,SG,LAC,67,1263,378,13.8,14.1,0.055,0.055,0.088,0.548,35.9,48.2
De'Anthony Melton,22,PG,MEM,52,1045,83,15.2,9.9,0.066,0.066,0.105,0.111,34.8,0.0
JaMychal Green,30,PF,DEN,58,1120,190,13.6,12.8,0.052,0.052,0.097,0.286,34.0,27.7
Pat Connaughton,28,SG,MIL,69,1575,546,11.3,11.2,0.047,0.047,0.088,0.881,30.0,77.5
Serge Ibaka,31,C,LAC,41,955,18,18.2,30.7,0.073,0.073,0.192,0.548,47.7,0.0
Tyus Jones,24,PG,MEM,70,1222,47,15.0,10.4,0.065,0.065,0.11,0.111,34.3,0.0
D.J. Augustin,33,PG,"MIL, HOU",57,1129,0,15.5,,"0.043, 0.049",0.045,0.0,0.0,21.9,0.0
Alex Len,27,C,"TOR, WAS",64,979,42,17.5,15.3,"0.017, 0.074",0.068,0.163,0.111,31.8,0.0
Robert Williams,23,C,BOS,52,985,46,25.7,27.2,0.091,0.091,0.32,0.111,45.5,0.0
Trey Burke,28,PG,DAL,62,911,17,12.6,-12.6,0.057,0.057,-0.147,0.273,33.2,0.0
Tristan Thompson,29,C,BOS,54,1287,132,14.2,22.6,0.05,0.05,0.266,0.111,25.0,29.5
Markieff Morris,31,PF,LAL,61,1200,38,9.3,4.1,0.043,0.043,0.046,0.2,25.1,0.0
Ben McLemore,27,SG,"HOU, LAL",53,905,36,8.8,1.0,"0.026, 0.04",0.032,0.011,0.2,12.9,0.0
Facundo Campazzo,29,PG,DEN,65,1425,270,11.6,12.4,0.044,0.044,0.094,0.286,28.7,26.9
Derrick Jones Jr.,23,SF,POR,58,1318,10,11.9,5.8,0.054,0.054,0.051,0.2,31.5,0.0
Xavier Tillman Sr.,22,PF,MEM,59,1085,18,14.7,-0.9,0.063,0.063,-0.01,0.111,33.3,0.0
Taurean Prince,26,PF,"BRK, CLE",41,905,0,12.2,,"0.036, 0.05",0.046,0.0,0.0,17.8,0.0
Gary Harris,26,SG,"DEN, ORL",39,1080,0,9.0,,"0.036, 0.029",0.032,0.0,0.0,15.8,0.0
Daniel Gafford,22,C,"CHI, WAS",54,791,117,25.4,25.1,"0.081, 0.107",0.092,0.267,0.111,41.6,0.0
Jeff Teague,32,PG,"BOS, MIL",55,950,119,14.1,5.6,"0.04, 0.059",0.047,0.044,0.881,26.8,0.0
Alex Caruso,26,PG,LAL,58,1216,121,11.1,3.0,0.051,0.051,0.033,0.2,29.7,6.6
Derrick Favors,29,C,UTA,68,1039,145,19.7,14.7,0.091,0.091,0.107,0.427,65.7,45.7
James Johnson,33,PF,"DAL, NOP",51,1043,0,10.6,,"0.055, 0.05",0.053,0.0,0.0,27.5,0.0
DeMarcus Cousins,30,C,"HOU, LAC",41,713,58,20.3,25.6,"0.047, 0.081",0.06,0.16,0.548,27.4,0.0
Garrison Mathews,24,SG,WAS,64,1038,17,9.7,-2.6,0.041,0.041,-0.028,0.111,19.4,0.0
R.J. Hampton,19,SG,"DEN, ORL",51,888,0,12.3,,"0.029, 0.04",0.035,0.0,0.0,15.2,0.0
Maxi Kleber,29,PF,DAL,50,1341,187,10.6,7.5,0.048,0.048,0.087,0.273,28.0,23.8
LaMarcus Aldridge,35,C,"SAS, BRK",26,674,0,18.2,,"0.063, 0.056",0.062,0.0,0.475,30.5,0.0
De'Andre Hunter,23,SF,ATL,23,678,152,15.7,7.1,0.066,0.066,0.056,0.573,37.6,32.1
Dwight Powell,29,C,DAL,58,966,52,16.8,22.7,0.076,0.076,0.265,0.273,44.3,0.0
JaVale McGee,33,C,"CLE, DEN",46,678,34,12.9,12.3,"0.075, 0.049",0.068,0.093,0.286,25.5,0.0
Brad Wanamaker,31,PG,"GSW, CHO",61,1053,0,10.9,,"0.046, 0.057",0.05,0,0.0,25.4,0.0
JJ Redick,36,SG,"NOP, DAL",44,723,0,5.9,,"0.051, 0.027",0.044,0.0,0.273,20.1,0.0
Nerlens Noel,26,C,NYK,64,1547,92,14.8,12.7,0.077,0.077,0.166,0.111,43.8,0.0
Solomon Hill,29,PF,ATL,71,1513,145,6.7,1.1,0.028,0.028,0.009,0.573,15.9,5.2
Frank Kaminsky,27,C,PHO,47,715,68,15.8,13.8,0.072,0.072,0.102,0.754,51.0,0.0
Moritz Wagner,23,C,"WAS, BOS, ORL",45,722,0,11.5,,"0.065, -0.004, 0.037",0.044,0.0,0.0,19.3,0.0
Precious Achiuwa,21,PF,MIA,61,737,12,14.2,8.1,0.061,0.061,0.217,0.0,33.9,0.0
Tony Bradley,23,C,"PHI, OKC",42,684,0,20.4,,"0.087, 0.076",0.081,0.0,0.0,40.4,0.0
Ish Smith,32,PG,WAS,44,924,111,11.6,7.9,0.049,0.049,0.084,0.111,23.1,9.3
Grant Williams,22,PF,BOS,63,1138,57,7.5,14.6,0.026,0.026,0.172,0.111,13.0,0.0
Cam Reddish,21,SF,ATL,26,750,92,9.3,19.2,0.039,0.039,0.152,0.573,22.2,0.0
Austin Rivers,28,SG,"NYK, DEN",36,845,305,10.3,7.5,"0.049, 0.039",0.045,0.057,0.286,26.9,0.0
Trevor Ariza,35,SF,MIA,30,841,96,11.9,4.0,0.051,0.051,0.107,0.0,28.4,0.0
Willie Cauley-Stein,27,C,DAL,53,906,63,14.3,14.0,0.065,0.065,0.163,0.273,37.9,0.0
Wesley Matthews,34,SG,LAL,58,1130,110,7.2,6.2,0.033,0.033,0.069,0.2,19.2,13.8
Patrick Beverley,32,PG,LAC,37,832,323,12.0,12.0,0.048,0.048,0.075,0.548,31.3,41.1
Andre Iguodala,37,SF,MIA,63,1339,71,9.2,9.5,0.039,0.039,0.255,0.0,21.7,0.0
Torrey Craig,30,SF,"MIL, PHO",50,803,266,15.5,10.0,"0.043, 0.07",0.06,0.074,0.754,41.6,0.0
Otto Porter Jr.,27,PF,"CHI, ORL",28,606,0,11.7,,"0.064, 0.038",0.061,0,0.0,25.8,0.0
Marc Gasol,36,C,LAL,52,993,87,12.2,18.7,0.056,0.056,0.208,0.2,32.6,0.0
George Hill,34,PG,"OKC, PHI",30,672,205,9.7,8.8,"0.059, 0.04",0.049,0.056,0.475,23.0,0.0
Semi Ojeleye,26,PF,BOS,56,950,12,8.3,-3.8,0.029,0.029,-0.045,0.111,14.5,0.0
Gorgui Dieng,31,C,"MEM, SAS",38,552,0,19.0,,"0.083, 0.08",0.082,0.0,0.0,40.8,0.0
Matisse Thybulle,23,SG,PHI,65,1298,220,10.1,11.1,0.042,0.042,0.07,0.475,28.6,33.2
Obi Toppin,22,PF,NYK,62,683,65,12.7,15.1,0.066,0.066,0.198,0.111,37.6,0.0
Tony Snell,29,SG,ATL,47,992,66,9.5,-5.7,0.04,0.04,-0.045,0.573,22.8,0.0
Jevon Carter,25,PG,PHO,60,717,22,12.2,6.5,0.055,0.055,0.048,0.754,38.9,0.0
