Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Kobe Bryant,29,SG,LAL,82,3192,863,24.2,25.0,0.106,0.106,0.202,0.784,73.7,158.4
LeBron James,23,SF,CLE,75,3027,552,29.1,24.3,0.134,0.134,0.213,0.447,73.6,95.2
Allen Iverson,32,SG,DEN,82,3424,158,20.9,18.7,0.114,0.114,0.206,0.0,69.5,0.0
Amar'e Stoudemire,25,C,PHO,79,2677,204,27.6,18.9,0.136,0.136,0.202,0.111,91.3,22.4
Carmelo Anthony,23,SF,DEN,77,2806,146,21.1,14.9,0.115,0.115,0.164,0.0,70.2,0.0
Dirk Nowitzki,29,PF,DAL,77,2769,211,24.6,26.3,0.113,0.113,0.286,0.111,70.3,31.7
Joe Johnson,26,SG,ATL,82,3343,275,17.3,15.8,0.095,0.095,0.189,0.273,42.8,51.6
Carlos Boozer,26,PF,UTA,81,2827,441,21.9,13.8,0.118,0.118,0.113,0.4,77.8,45.2
Dwight Howard,22,C,ORL,82,3088,421,22.9,23.2,0.125,0.125,0.216,0.371,79.2,80.1
Antawn Jamison,31,PF,WAS,79,3061,237,20.3,16.6,0.118,0.118,0.185,0.2,61.8,37.0
Chris Paul,22,PG,NOH,80,3006,486,28.3,30.7,0.15,0.15,0.238,0.475,102.4,113.0
Andre Iguodala,24,SF,PHI,82,3242,234,19.0,10.6,0.114,0.114,0.116,0.2,55.6,23.2
Paul Pierce,30,SF,BOS,80,2874,990,19.6,17.4,0.102,0.102,0.119,0.793,82.1,94.4
David West,27,PF,NOH,76,2870,485,19.9,21.6,0.105,0.105,0.167,0.475,71.7,79.3
Deron Williams,23,PG,UTA,82,3059,513,20.8,21.6,0.112,0.112,0.177,0.4,73.8,70.8
Josh Howard,27,SF,DAL,76,2757,171,18.3,7.7,0.084,0.084,0.084,0.111,52.2,9.3
Tim Duncan,31,C,SAS,78,2651,666,24.4,21.9,0.126,0.126,0.172,0.533,86.1,91.7
Chris Bosh,23,C,TOR,67,2425,199,23.8,23.0,0.11,0.11,0.185,0.111,55.0,20.5
Rashard Lewis,28,PF,ORL,81,3076,417,16.7,18.3,0.091,0.091,0.17,0.371,57.7,63.1
Tracy McGrady,28,SG,HOU,66,2440,247,18.4,24.4,0.077,0.077,0.204,0.2,51.7,40.8
Andre Miller,31,PG,PHI,82,3016,229,18.4,11.3,0.11,0.11,0.124,0.2,53.7,24.8
Josh Smith,22,PF,ATL,81,2873,237,19.0,16.9,0.105,0.105,0.203,0.273,47.4,55.4
Steve Nash,33,PG,PHO,81,2780,183,21.1,16.8,0.104,0.104,0.18,0.111,69.8,20.0
Kevin Garnett,31,PF,BOS,71,2328,987,25.3,23.0,0.131,0.131,0.157,0.793,105.5,124.5
Chauncey Billups,31,PG,DET,78,2522,480,23.6,20.8,0.101,0.101,0.159,0.6,72.7,95.4
Tony Parker,25,PG,SAS,69,2312,654,20.0,19.9,0.103,0.103,0.156,0.533,70.3,83.1
Leandro Barbosa,25,SG,PHO,82,2421,143,15.8,9.5,0.078,0.078,0.102,0.111,52.3,11.3
Ray Allen,32,SG,BOS,73,2624,987,16.4,14.9,0.085,0.085,0.102,0.793,68.4,80.9
Jason Terry,30,SG,DAL,82,2579,180,17.8,16.3,0.082,0.082,0.178,0.111,51.0,19.8
Pau Gasol,27,C,"MEM, LAL",66,2351,836,24.0,18.9,"0.095, 0.105",0.099,0.153,0.784,44.9,0.0
Richard Hamilton,29,SG,DET,72,2424,656,18.2,20.0,0.078,0.078,0.153,0.6,56.2,91.8
Marvin Williams,21,SF,ATL,80,2765,199,14.5,11.5,0.08,0.08,0.138,0.273,36.1,37.7
Caron Butler,27,SF,WAS,58,2314,246,20.7,17.7,0.12,0.12,0.198,0.2,62.9,39.6
Lamar Odom,28,PF,LAL,77,2921,786,16.9,15.9,0.074,0.074,0.129,0.784,51.4,101.1
Tayshaun Prince,27,SF,DET,82,2694,671,15.6,14.1,0.067,0.067,0.108,0.6,48.2,64.8
Mehmet Okur,28,C,UTA,72,2390,462,15.2,16.3,0.082,0.082,0.134,0.4,54.0,53.6
Zydrunas Ilgauskas,32,C,CLE,73,2222,393,18.7,17.2,0.086,0.086,0.15,0.447,47.2,67.0
Anthony Parker,32,SG,TOR,82,2634,196,14.4,10.8,0.067,0.067,0.087,0.111,33.5,9.7
Rasheed Wallace,33,C,DET,77,2346,585,17.2,14.4,0.074,0.074,0.11,0.6,53.3,66.0
Shawn Marion,29,PF,"PHO, MIA",63,2315,0,17.1,,"0.098, 0.065",0.09,0.0,0.0,52.1,0.0
Rafer Alston,31,PG,HOU,74,2526,126,13.2,18.0,0.056,0.056,0.151,0.2,37.6,30.2
Derek Fisher,33,PG,LAL,82,2249,663,13.8,13.8,0.06,0.06,0.112,0.784,41.7,87.8
Devin Harris,24,PG,"DAL, NJN",64,2022,0,16.7,,"0.083, 0.084",0.083,0.0,0.0,45.1,0.0
Tyson Chandler,25,C,NOH,79,2783,412,17.5,15.7,0.093,0.093,0.122,0.475,63.5,58.0
Willie Green,26,SG,PHI,74,1970,142,12.8,10.3,0.077,0.077,0.113,0.2,37.6,22.6
Lou Williams,21,PG,PHI,80,1862,135,16.7,16.7,0.1,0.1,0.183,0.2,48.8,36.6
Grant Hill,35,SF,PHO,70,2222,68,15.7,11.3,0.077,0.077,0.121,0.111,51.7,0.0
DeShawn Stevenson,26,SG,WAS,82,2564,196,12.6,12.9,0.073,0.073,0.144,0.2,38.3,28.8
Ronnie Brewer,22,SG,UTA,76,2088,305,18.4,17.2,0.099,0.099,0.141,0.4,65.2,56.4
J.R. Smith,22,SG,DEN,74,1421,108,18.1,22.8,0.099,0.099,0.252,0.0,60.4,0.0
Josh Childress,24,SF,ATL,76,2274,205,17.8,13.6,0.098,0.098,0.163,0.273,44.2,44.5
Raja Bell,31,SG,PHO,75,2646,215,10.5,13.7,0.052,0.052,0.147,0.111,34.9,16.3
Linas Kleiza,23,SF,DEN,79,1889,122,14.4,15.4,0.079,0.079,0.17,0.0,48.2,0.0
Kenyon Martin,30,PF,DEN,71,2159,118,14.7,8.7,0.08,0.08,0.096,0.0,48.8,0.0
Samuel Dalembert,26,C,PHI,82,2724,193,15.6,13.6,0.094,0.094,0.149,0.2,45.9,29.8
Jason Kidd,34,PG,"NJN, DAL",80,2906,180,18.4,15.3,"0.079, 0.085",0.081,0.167,0.111,40.1,0.0
Wally Szczerbiak,30,SF,"SEA, CLE",75,1736,374,10.3,9.2,"0.092, 0.047",0.077,0.08,0.447,23.6,0.0
Brendan Haywood,28,C,WAS,80,2228,178,18.3,19.7,0.106,0.106,0.22,0.2,55.5,44.0
Luis Scola,27,PF,HOU,82,2024,220,16.1,14.4,0.068,0.068,0.121,0.2,45.6,24.2
Shaquille O'Neal,35,C,"MIA, PHO",61,1748,150,16.5,18.9,"0.067, 0.081",0.073,0.202,0.111,31.6,0.0
Larry Hughes,29,SG,"CLE, CHI",68,2020,0,12.4,,"0.053, 0.061",0.056,0.0,0.0,27.2,0.0
Michael Finley,34,SG,SAS,82,2204,391,11.4,8.8,0.059,0.059,0.069,0.533,40.3,36.8
Drew Gooden,26,PF,"CLE, CHI",69,2122,0,17.4,,"0.057, 0.086",0.065,0.0,0.0,32.1,0.0
Al Horford,21,C,ATL,81,2540,277,14.7,14.9,0.081,0.081,0.179,0.273,36.5,48.9
Rajon Rondo,21,PG,BOS,77,2306,831,15.6,15.8,0.081,0.081,0.108,0.793,65.2,85.6
Andrea Bargnani,22,PF,TOR,78,1861,104,10.6,5.2,0.049,0.049,0.042,0.111,24.5,4.7
Andrei Kirilenko,26,SF,UTA,72,2217,387,17.2,13.7,0.093,0.093,0.113,0.4,61.3,45.2
Joe Smith,32,PF,"CHI, CLE",77,1726,263,14.9,12.6,"0.083, 0.068",0.078,0.11,0.447,34.8,0.0
Jameer Nelson,25,PG,ORL,69,1961,333,15.5,18.2,0.084,0.084,0.169,0.371,53.3,62.7
Jordan Farmar,21,PG,LAL,82,1690,360,15.4,9.0,0.067,0.067,0.073,0.784,46.6,57.2
Shane Battier,29,SF,HOU,80,2907,246,11.7,9.4,0.049,0.049,0.079,0.2,32.9,15.8
Kyle Korver,26,SG,"PHI, UTA",75,1732,259,14.2,11.4,"0.063, 0.077",0.072,0.094,0.4,44.1,0.0
Carlos Delfino,25,SG,TOR,82,1928,121,13.6,14.1,0.063,0.063,0.113,0.111,31.5,12.5
Boris Diaw,25,PF,PHO,82,2308,178,12.0,15.6,0.059,0.059,0.167,0.111,39.6,18.5
Roger Mason,27,PG,WAS,80,1708,129,13.8,9.9,0.08,0.08,0.111,0.2,41.9,22.2
Marcus Camby,33,C,DEN,79,2758,124,17.2,10.1,0.094,0.094,0.111,0.0,57.3,0.0
Keith Bogans,27,SG,ORL,82,2198,293,10.9,7.6,0.059,0.059,0.071,0.371,37.4,26.3
Antonio McDyess,33,PF,DET,78,2285,468,14.1,15.1,0.06,0.06,0.115,0.6,43.2,69.0
Mike Bibby,29,PG,"SAC, ATL",48,1573,252,14.9,7.8,"0.068, 0.082",0.078,0.094,0.273,35.3,0.0
Maurice Evans,29,SG,"LAL, ORL",75,1720,282,14.0,12.3,"0.058, 0.076",0.074,0.115,0.371,47.4,0.0
Bonzi Wells,31,SG,"HOU, NOH",73,1562,170,15.1,5.2,"0.059, 0.08",0.065,0.04,0.475,44.1,0.0
Paul Millsap,22,PF,UTA,82,1702,210,16.1,15.8,0.087,0.087,0.13,0.4,57.3,52.0
Jamario Moon,27,SF,TOR,78,2166,104,15.0,13.5,0.07,0.07,0.108,0.111,35.0,12.0
Brandon Bass,22,C,DAL,79,1557,133,15.9,22.1,0.073,0.073,0.241,0.111,45.4,26.8
Jason Maxiell,24,C,DET,82,1768,371,16.7,15.1,0.072,0.072,0.115,0.6,51.8,69.0
Jannero Pargo,28,SG,NOH,80,1497,265,11.9,15.6,0.063,0.063,0.121,0.475,43.0,57.5
Nazr Mohammed,30,C,"DET, CHA",82,1650,0,16.2,,"0.056, 0.093",0.084,0.0,0.0,37.3,0.0
Matt Harpring,31,SF,UTA,76,1374,209,14.1,11.9,0.076,0.076,0.098,0.4,50.1,39.2
Andray Blatche,21,PF,WAS,82,1675,89,15.5,7.9,0.09,0.09,0.088,0.2,47.2,0.0
Jerry Stackhouse,33,SG,DAL,58,1412,102,13.3,4.1,0.061,0.061,0.045,0.111,37.9,5.0
T.J. Ford,24,PG,TOR,51,1199,124,20.3,17.6,0.094,0.094,0.141,0.111,47.0,15.7
Sam Cassell,38,PG,"LAC, BOS",55,1274,264,11.0,6.2,"0.079, 0.057",0.072,0.042,0.793,29.5,0.0
Thaddeus Young,19,PF,PHI,74,1554,160,16.5,17.5,0.099,0.099,0.191,0.2,48.3,38.2
Morris Peterson,30,SG,NOH,76,1796,277,11.2,11.4,0.059,0.059,0.088,0.475,40.3,41.8
Daniel Gibson,21,PG,CLE,58,1765,284,11.7,12.3,0.054,0.054,0.108,0.447,29.6,48.3
Antonio Daniels,32,PG,WAS,71,2161,154,13.7,12.7,0.079,0.079,0.142,0.2,41.4,28.4
Devin Brown,29,SG,CLE,78,1762,92,11.3,7.3,0.052,0.052,0.064,0.447,28.5,0.0
Eddie House,29,PG,BOS,78,1480,165,13.0,10.6,0.067,0.067,0.072,0.793,53.9,57.1
Keyon Dooling,27,PG,ORL,72,1334,148,14.1,12.5,0.077,0.077,0.116,0.371,48.8,43.0
