Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Shaquille O'Neal,26,C,LAL,49,1705,315,30.6,28.8,0.14,0.14,0.247,0.25,86.8,61.8
Allen Iverson,23,SG,PHI,48,1990,358,22.2,22.6,0.145,0.145,0.191,0.25,81.2,47.8
Karl Malone,35,PF,UTA,49,1832,451,25.6,21.2,0.164,0.164,0.153,0.36,121.4,55.1
Tim Duncan,22,PF,SAS,50,1963,733,23.2,25.1,0.139,0.139,0.198,1.086,102.9,215.0
Grant Hill,26,SF,DET,50,1852,176,23.9,29.3,0.132,0.132,0.264,0.222,76.6,58.6
Stephon Marbury,21,PG,"MIN, NJN",49,1895,0,21.8,,"0.092, 0.093",0.093,0.0,0.0,35.7,0.0
Kobe Bryant,20,SG,LAL,50,1896,315,18.9,19.1,0.086,0.086,0.164,0.25,53.3,41.0
Kevin Garnett,22,PF,MIN,47,1780,170,22.4,24.1,0.109,0.109,0.345,0.125,54.5,43.1
Hakeem Olajuwon,36,C,HOU,50,1784,123,23.1,13.8,0.131,0.131,0.185,0.125,81.2,23.1
Alonzo Mourning,28,C,MIA,46,1753,194,24.6,25.8,0.14,0.14,0.279,0.222,92.4,61.9
Reggie Miller,33,SG,IND,50,1787,481,18.7,20.1,0.104,0.104,0.136,0.682,68.6,92.8
Glenn Robinson,26,SF,MIL,47,1579,118,19.7,18.1,0.099,0.099,0.285,0.0,55.4,0.0
Ray Allen,23,SG,MIL,50,1719,120,18.9,23.7,0.095,0.095,0.373,0.0,53.2,0.0
Jason Kidd,25,PG,PHO,50,2060,126,22.5,16.0,0.133,0.133,0.383,0.0,71.8,0.0
Chris Webber,25,PF,SAC,42,1719,192,19.5,12.4,0.12,0.12,0.137,0.222,64.8,30.4
Tim Hardaway,32,PG,MIA,48,1772,182,18.8,6.2,0.107,0.107,0.067,0.222,70.6,14.9
Clifford Robinson,32,SF,PHO,50,1740,117,18.3,15.4,0.109,0.109,0.368,0.0,58.9,0.0
Allan Houston,27,SG,NYK,50,1815,783,13.1,15.6,0.099,0.099,0.122,0.708,53.5,86.4
Anfernee Hardaway,27,SG,ORL,50,1944,167,16.7,18.5,0.104,0.104,0.279,0.125,68.6,34.9
Eddie Jones,27,SF,"LAL, CHH",50,1881,0,19.8,,"0.075, 0.096",0.088,0.0,0.0,48.6,0.0
David Robinson,33,C,SAS,49,1554,600,24.9,23.3,0.15,0.15,0.184,1.086,111.0,199.8
Tom Gugliotta,29,PF,PHO,43,1563,118,20.0,10.4,0.119,0.119,0.249,0.0,64.3,0.0
Rik Smits,32,C,IND,49,1271,293,20.2,15.4,0.112,0.112,0.104,0.682,73.9,70.9
Scottie Pippen,33,SF,HOU,50,2011,172,16.8,18.7,0.096,0.096,0.251,0.125,59.5,31.4
Vlade Divac,30,C,SAC,50,1761,198,18.0,19.2,0.111,0.111,0.212,0.222,59.9,47.1
Nick Anderson,31,SF,ORL,47,1581,152,15.3,17.0,0.095,0.095,0.257,0.125,62.7,32.1
Darrell Armstrong,30,PG,ORL,50,1502,163,22.2,12.0,0.138,0.138,0.181,0.125,91.1,22.6
Charles Barkley,35,PF,HOU,42,1526,157,23.1,29.0,0.131,0.131,0.389,0.125,81.2,48.6
Matt Geiger,29,C,PHI,50,1540,239,17.1,18.6,0.112,0.112,0.157,0.25,62.7,39.2
Steve Smith,29,SG,ATL,36,1314,356,17.9,14.9,0.112,0.112,0.167,0.231,69.4,38.6
Corliss Williamson,25,SF,SAC,50,1374,130,14.7,16.0,0.09,0.09,0.176,0.222,48.6,39.1
Patrick Ewing,36,C,NYK,38,1300,347,19.4,17.0,0.147,0.147,0.133,0.708,79.4,94.2
Isaiah Rider,27,SG,POR,47,1385,426,13.7,17.9,0.081,0.081,0.137,0.518,56.7,71.0
Jason Williams,23,PG,SAC,50,1805,163,12.8,11.9,0.079,0.079,0.131,0.222,42.7,29.1
Mookie Blaylock,31,PG,ATL,48,1763,358,16.7,9.7,0.104,0.104,0.109,0.231,64.5,25.2
Damon Stoudamire,25,PG,POR,50,1673,403,14.7,11.6,0.087,0.087,0.088,0.518,60.9,45.6
Rasheed Wallace,24,PF,POR,49,1414,468,16.7,18.3,0.098,0.098,0.14,0.518,68.6,72.5
Bryon Russell,28,SF,UTA,50,1770,387,14.1,14.5,0.091,0.091,0.105,0.36,67.3,37.8
Elden Campbell,30,C,"LAL, CHH",49,1459,0,19.4,,"0.061, 0.095",0.083,0.0,0.0,45.4,0.0
Jerry Stackhouse,24,SG,DET,42,1188,124,15.2,10.1,0.084,0.084,0.091,0.222,48.7,20.2
Arvydas Sabonis,34,C,POR,50,1349,392,20.4,17.5,0.12,0.12,0.133,0.518,84.0,68.9
Latrell Sprewell,28,SF,NYK,37,1233,743,16.7,18.7,0.126,0.126,0.146,0.708,68.0,103.4
Joe Smith,23,C,MIN,43,1418,120,16.6,9.5,0.081,0.081,0.136,0.125,40.5,17.0
Jeff Hornacek,35,SG,UTA,48,1435,304,17.8,17.8,0.114,0.114,0.128,0.36,84.4,46.1
Larry Johnson,29,PF,NYK,49,1639,683,14.6,12.5,0.11,0.11,0.098,0.708,59.4,69.4
Lindsey Hunter,28,PG,DET,49,1755,180,13.9,5.1,0.077,0.077,0.046,0.222,44.7,10.2
P.J. Brown,29,PF,MIA,50,1611,144,15.8,17.2,0.09,0.09,0.186,0.222,59.4,41.3
Sean Elliott,30,SF,SAS,50,1509,574,12.6,13.9,0.076,0.076,0.11,1.086,56.2,119.5
Sam Mitchell,35,SF,MIN,50,1344,131,14.1,7.2,0.069,0.069,0.103,0.125,34.5,12.9
Theo Ratliff,25,PF,PHI,50,1627,204,16.9,16.8,0.11,0.11,0.142,0.25,61.6,35.5
John Stockton,36,PG,UTA,50,1410,352,21.9,18.1,0.141,0.141,0.131,0.36,104.3,47.2
Brian Grant,26,PF,POR,48,1525,482,17.0,17.4,0.1,0.1,0.133,0.518,70.0,68.9
Michael Dickerson,23,SG,HOU,50,1558,82,11.5,4.2,0.065,0.065,0.056,0.125,40.3,0.0
Jalen Rose,26,SF,IND,49,1238,355,14.4,15.1,0.08,0.08,0.102,0.682,52.8,69.6
Dikembe Mutombo,32,C,ATL,50,1829,380,18.8,20.5,0.117,0.117,0.229,0.231,72.5,52.9
Terry Porter,35,PG,MIA,50,1365,139,16.9,16.1,0.096,0.096,0.174,0.222,63.4,38.6
Bison Dele,29,C,DET,49,1177,122,15.8,19.2,0.087,0.087,0.173,0.222,50.5,38.4
Chris Mullin,35,SF,IND,50,1179,283,18.1,13.9,0.101,0.101,0.094,0.682,66.7,64.1
Terrell Brandon,28,PG,"MIL, MIN",36,1217,161,20.9,22.4,"0.087, 0.102",0.096,0.32,0.125,50.0,0.0
Vitaly Potapenko,23,C,"CLE, BOS",50,1394,0,15.1,,"0.054, 0.078",0.07,0,0.0,27.6,0.0
Vernon Maxwell,33,SG,SAC,46,1007,129,12.6,10.5,0.078,0.078,0.116,0.222,42.1,25.8
Grant Long,32,PF,ATL,50,1380,358,15.6,13.7,0.097,0.097,0.153,0.231,60.1,35.3
Avery Johnson,33,PG,SAS,50,1672,653,14.0,15.2,0.084,0.084,0.12,1.086,62.2,130.3
Cuttino Mobley,23,PG,HOU,49,1456,94,12.2,12.4,0.069,0.069,0.166,0.125,42.8,0.0
Isaac Austin,29,C,ORL,49,1259,112,12.0,8.6,0.075,0.075,0.13,0.125,49.5,16.2
Alan Henderson,26,SF,ATL,38,1142,4,16.0,-5.3,0.1,0.1,-0.059,0.231,62.0,0.0
