Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
James Harden,29,PG,HOU,78,2867,424,30.6,25.4,0.136,0.136,0.246,0.427,87.9,105.0
Paul George,28,SF,OKC,77,2841,204,23.3,18.5,0.129,0.129,0.232,0.111,77.1,25.8
Damian Lillard,28,PG,POR,80,2838,650,23.7,20.7,0.108,0.108,0.144,0.49,69.8,70.6
Kevin Durant,30,SF,GSW,78,2702,442,24.2,27.0,0.102,0.102,0.138,0.754,70.9,104.1
Giannis Antetokounmpo,24,PF,MIL,72,2358,514,30.9,26.6,0.132,0.132,0.173,0.663,96.6,114.7
Stephen Curry,30,PG,GSW,69,2331,846,24.4,22.7,0.103,0.103,0.116,0.754,71.6,87.5
Blake Griffin,29,PF,DET,75,2622,58,21.0,25.4,0.109,0.109,0.401,0.0,54.5,0.0
Donovan Mitchell,22,SG,UTA,77,2598,193,17.2,6.9,0.08,0.08,0.066,0.111,48.8,7.3
Joel Embiid,24,C,PHI,64,2154,334,26.1,21.8,0.09,0.09,0.175,0.475,56.0,83.1
LaMarcus Aldridge,33,C,SAS,81,2687,244,22.9,21.8,0.105,0.105,0.17,0.273,61.4,46.4
D'Angelo Russell,22,PG,BRK,81,2448,148,19.4,11.6,0.097,0.097,0.145,0.111,49.7,16.1
Klay Thompson,28,SG,GSW,78,2652,818,16.6,14.6,0.07,0.07,0.075,0.754,48.6,56.6
Russell Westbrook,30,PG,OKC,73,2630,197,21.1,16.1,0.117,0.117,0.202,0.111,70.0,22.4
Tobias Harris,26,PF,"LAC, PHI",82,2847,443,15.2,14.5,"0.069, 0.052",0.063,0.116,0.475,37.7,0.0
DeMar DeRozan,29,SG,SAS,77,2688,251,19.5,23.2,0.09,0.09,0.181,0.273,52.6,49.4
Kyrie Irving,26,PG,BOS,67,2214,330,24.4,15.7,0.114,0.114,0.158,0.4,68.2,63.2
Kawhi Leonard,27,SF,TOR,60,2040,939,25.8,28.0,0.096,0.096,0.235,0.85,67.9,199.7
Lou Williams,32,SG,LAC,75,1993,176,21.2,21.3,0.08,0.08,0.191,0.2,46.8,38.2
CJ McCollum,27,SG,POR,70,2375,635,17.0,17.9,0.078,0.078,0.125,0.49,50.4,61.2
Khris Middleton,27,SF,MIL,77,2393,515,16.5,14.8,0.07,0.07,0.096,0.663,51.2,63.6
JJ Redick,34,SG,PHI,76,2379,376,15.1,8.9,0.052,0.052,0.071,0.475,32.3,33.7
Andre Drummond,25,C,DET,79,2647,127,23.4,15.5,0.121,0.121,0.244,0.0,60.5,0.0
Jamal Murray,21,PG,DEN,75,2447,508,16.0,19.5,0.093,0.093,0.141,0.422,61.3,59.5
Montrezl Harrell,25,C,LAC,82,2158,158,23.4,26.7,0.089,0.089,0.24,0.2,52.1,48.0
Pascal Siakam,24,PF,TOR,80,2548,891,18.7,17.1,0.07,0.07,0.144,0.85,49.5,122.4
Danilo Gallinari,30,SF,LAC,68,2059,201,21.0,13.7,0.08,0.08,0.123,0.2,46.8,24.6
Ben Simmons,22,PG,PHI,79,2700,421,20.0,17.9,0.069,0.069,0.144,0.475,42.9,68.4
Rudy Gobert,26,C,UTA,81,2577,152,24.6,20.5,0.115,0.115,0.196,0.111,70.2,21.8
Harrison Barnes,26,SF,"DAL, SAC",77,2533,0,12.3,,"0.053, 0.052",0.053,0,0.0,22.6,0.0
Reggie Jackson,28,PG,DET,82,2289,108,15.2,21.5,0.079,0.079,0.339,0.0,39.5,0.0
Aaron Gordon,23,PF,ORL,78,2633,164,15.1,15.3,0.079,0.079,0.237,0.111,40.4,26.3
Jayson Tatum,20,SF,BOS,79,2455,295,15.1,13.5,0.07,0.07,0.136,0.4,41.9,54.4
Eric Bledsoe,29,PG,MIL,78,2272,423,19.3,14.3,0.082,0.082,0.093,0.663,60.0,61.7
Evan Fournier,26,SG,ORL,81,2553,175,12.3,5.1,0.065,0.065,0.079,0.111,33.3,8.8
Terrence Ross,27,SG,ORL,81,2150,146,15.4,11.2,0.081,0.081,0.173,0.111,41.5,19.2
Jimmy Butler,29,SF,"MIN, PHI",65,2185,421,19.8,21.3,"0.091, 0.068",0.072,0.171,0.475,41.9,0.0
Tim Hardaway Jr.,26,SG,"NYK, DAL",65,2057,0,11.6,,"0.055, 0.047",0.053,0,0.0,13.6,0.0
Spencer Dinwiddie,25,PG,BRK,68,1914,131,16.3,12.4,0.081,0.081,0.155,0.111,41.5,17.2
Clint Capela,24,C,HOU,67,2249,331,23.8,15.7,0.105,0.105,0.152,0.427,67.8,64.9
Serge Ibaka,29,C,TOR,74,2010,500,18.7,15.0,0.07,0.07,0.126,0.85,49.5,107.1
Steven Adams,25,C,OKC,80,2669,159,18.5,15.6,0.103,0.103,0.196,0.111,61.6,21.8
Eric Gordon,30,SG,HOU,68,2158,410,12.2,12.8,0.054,0.054,0.124,0.427,34.9,52.9
Jerami Grant,24,PF,OKC,80,2612,176,13.8,13.1,0.076,0.076,0.165,0.111,45.4,18.3
Marc Gasol,34,C,"MEM, TOR",79,2436,735,16.0,13.4,"0.055, 0.06",0.057,0.113,0.85,28.8,0.0
Kelly Oubre Jr.,23,SF,"WAS, PHO",69,1935,0,16.4,,"0.049, 0.076",0.065,0,0.0,18.3,0.0
Marcus Morris,29,PF,BOS,75,2091,254,14.3,18.1,0.067,0.067,0.182,0.4,40.1,72.8
Domantas Sabonis,22,C,IND,74,1838,96,21.9,15.5,0.108,0.108,0.282,0.0,63.2,0.0
Joe Harris,27,SG,BRK,76,2293,149,13.5,5.1,0.067,0.067,0.064,0.111,34.3,7.1
Thaddeus Young,30,PF,IND,81,2489,130,16.2,16.4,0.08,0.08,0.299,0.0,46.8,0.0
Brook Lopez,30,C,MIL,81,2322,438,14.6,13.9,0.062,0.062,0.091,0.663,45.4,60.3
