Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Kevin Durant,22,SF,OKC,78,3038,23.6,24.1,0.116,0.116,0.175,0.533,77.8,93.3
LeBron James,26,SF,MIA,79,3063,27.3,23.7,0.138,0.138,0.183,0.784,97.6,143.5
Kobe Bryant,32,SG,LAL,82,2779,23.9,20.6,0.134,0.134,0.154,0.286,93.1,44.0
Derrick Rose,22,PG,CHI,81,3026,23.5,22.5,0.138,0.138,0.169,0.56,104.3,94.6
Amar'e Stoudemire,28,C,NYK,78,2870,22.7,10.7,0.095,0.095,0.186,0.0,48.6,0.0
Carmelo Anthony,26,SF,"DEN, NYK",77,2751,22.8,22.5,"0.091, 0.096",0.093,"0.0, 0.392",0.0,53.3,0.0
Dwyane Wade,29,SG,MIA,76,2823,25.6,26.3,0.13,0.13,0.203,0.784,91.9,159.2
Russell Westbrook,22,PG,OKC,82,2847,23.6,19.6,0.116,0.116,0.142,0.533,77.8,75.7
Dwight Howard,25,C,ORL,78,2935,26.1,26.1,0.125,0.125,0.306,0.2,79.2,61.2
LaMarcus Aldridge,25,PF,POR,81,3211,21.5,19.2,0.116,0.116,0.177,0.2,67.9,35.4
Dirk Nowitzki,32,PF,DAL,73,2504,23.4,25.2,0.104,0.104,0.182,0.952,72.3,173.3
Danny Granger,27,SF,IND,79,2763,17.8,22.0,0.094,0.094,0.337,0.111,42.4,37.4
Pau Gasol,30,C,LAL,82,3037,23.3,17.3,0.131,0.131,0.129,0.286,91.0,36.9
Paul Pierce,33,SF,BOS,80,2774,19.7,17.6,0.082,0.082,0.162,0.4,56.0,64.8
Zach Randolph,29,PF,MEM,75,2724,22.6,22.0,0.106,0.106,0.167,0.447,59.5,74.6
Chris Bosh,26,PF,MIA,77,2795,19.4,18.4,0.098,0.098,0.142,0.784,69.3,111.3
Luol Deng,25,SF,CHI,82,3208,15.5,15.4,0.091,0.091,0.116,0.56,68.8,65.0
Tony Parker,28,PG,SAS,78,2528,20.4,17.6,0.101,0.101,0.16,0.2,75.1,32.0
Ray Allen,35,SG,BOS,80,2890,16.4,19.6,0.069,0.069,0.18,0.4,47.1,72.0
Joe Johnson,29,SG,ATL,72,2554,16.4,15.3,0.095,0.095,0.134,0.4,51.0,53.6
Deron Williams,26,PG,"UTA, NJN",65,2465,17.0,,"0.107, 0.072",0.101,0,0.0,45.4,0.0
Wesley Matthews,24,SG,POR,82,2758,15.5,12.8,0.083,0.083,0.118,0.2,48.6,23.6
Jason Terry,33,SG,DAL,82,2564,15.9,20.3,0.071,0.071,0.147,0.952,49.3,139.9
Josh Smith,25,PF,ATL,77,2645,19.2,15.4,0.111,0.111,0.134,0.4,59.6,53.6
Chris Paul,25,PG,NOH,80,2880,23.7,28.9,0.122,0.122,0.35,0.2,68.4,70.0
Jason Richardson,30,SG,"PHO, ORL",80,2715,13.2,9.7,"0.081, 0.063",0.069,0.114,0.2,39.8,0.0
Elton Brand,31,PF,PHI,81,2809,18.5,17.4,0.115,0.115,0.2,0.111,57.5,22.2
Chauncey Billups,34,PG,"DEN, NYK",72,2310,19.1,3.4,"0.08, 0.08",0.08,"0.0, 0.059",0.0,46.5,0.0
Lamar Odom,31,PF,LAL,82,2639,19.4,15.5,0.109,0.109,0.116,0.286,75.8,33.2
Al Horford,24,C,ATL,77,2704,20.7,13.3,0.12,0.12,0.116,0.4,64.4,46.4
Raymond Felton,26,SG,"NYK, DEN",75,2737,14.7,11.2,"0.073, 0.063",0.07,"0.0, 0.145",0.111,37.7,16.1
Jrue Holiday,20,PG,PHI,82,2901,15.4,17.2,0.096,0.096,0.197,0.111,48.0,21.9
Gerald Wallace,28,PF,"CHA, POR",71,2693,18.9,18.1,"0.069, 0.102",0.08,0.167,0.2,38.7,0.0
Mike Conley,23,PG,MEM,81,2872,15.9,13.7,0.074,0.074,0.104,0.447,41.5,46.5
Wilson Chandler,23,SF,"NYK, DEN",72,2401,11.6,4.0,"0.066, 0.05",0.061,"0.0, 0.052",0.111,32.8,5.8
Devin Harris,27,PG,"NJN, UTA",71,2254,15.7,,"0.074, 0.076",0.074,0,0.0,25.2,0.0
Jamal Crawford,30,SG,ATL,76,2297,14.2,16.1,0.082,0.082,0.14,0.4,44.0,56.0
Kevin Garnett,34,PF,BOS,71,2220,20.6,17.3,0.086,0.086,0.159,0.4,58.7,63.6
Thaddeus Young,22,PF,PHI,82,2135,18.4,13.8,0.114,0.114,0.158,0.111,57.0,17.5
