Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Michael Jordan,23,SG,CHI,82,3281,29.8,28.1,0.162,0.162,0.525,0.0,79.1,0.0
Alex English,33,SF,DEN,82,3085,20.5,16.9,0.126,0.126,0,0.0,56.8,0.0
Dominique Wilkins,27,SF,ATL,79,2969,23.5,18.8,0.123,0.123,0.155,0.323,85.5,50.1
Kiki Vandeweghe,28,SF,POR,79,3029,19.2,14.8,0.126,0.126,0.192,0.125,75.3,24.0
Larry Bird,30,SF,BOS,74,3005,26.4,21.8,0.161,0.161,0.153,0.689,115.9,105.4
Mark Aguirre,27,SF,DAL,80,2663,22.1,19.7,0.136,0.136,0.219,0.125,91.3,27.4
Dale Ellis,26,SG,SEA,82,3073,19.0,17.3,0.103,0.103,0.114,0.489,49.0,55.7
Kevin McHale,29,PF,BOS,77,3060,24.0,17.9,0.147,0.147,0.126,0.689,105.8,86.8
Tom Chambers,27,PF,SEA,82,3018,17.0,16.8,0.092,0.092,0.11,0.489,43.8,53.8
Magic Johnson,27,PG,LAL,80,2904,27.0,26.2,0.14,0.14,0.191,1.036,111.0,197.9
Xavier McDaniel,23,SF,SEA,82,3031,18.7,15.2,0.102,0.102,0.1,0.489,48.6,48.9
Clyde Drexler,24,SG,POR,82,3114,20.2,20.7,0.133,0.133,0.268,0.125,79.5,33.5
Karl Malone,23,PF,UTA,82,2857,18.0,13.4,0.108,0.108,0.156,0.222,58.0,34.6
Moses Malone,31,C,WSB,73,2488,23.8,19.3,0.121,0.121,0.769,0.0,62.0,0.0
Jeff Malone,25,SG,WSB,80,2763,17.0,5.8,0.087,0.087,0.231,0.0,44.5,0.0
Hakeem Olajuwon,24,C,HOU,75,2760,23.8,28.5,0.122,0.122,0.277,0.386,62.5,106.9
Adrian Dantley,31,SF,DET,81,2736,18.6,19.0,0.115,0.115,0.154,0.684,72.9,105.3
Joe Barry Carroll,28,C,GSW,81,2724,18.4,15.3,0.108,0.108,0.133,0.3,55.3,39.9
Terry Cummings,25,PF,MIL,82,2770,20.5,18.4,0.105,0.105,0.139,0.412,64.0,57.3
Rolando Blackman,27,SG,DAL,80,2758,18.1,17.5,0.111,0.111,0.194,0.125,74.5,24.2
Isiah Thomas,25,PG,DET,81,3013,18.8,22.6,0.116,0.116,0.183,0.684,73.5,125.2
James Worthy,25,SF,LAL,82,2819,18.4,21.0,0.095,0.095,0.153,1.036,75.3,158.5
Charles Barkley,23,PF,PHI,68,2740,25.1,20.2,0.128,0.128,0.203,0.222,70.3,45.1
Fat Lever,26,PG,DEN,82,3054,20.8,16.4,0.128,0.128,0,0.0,57.7,0.0
Sleepy Floyd,26,PG,GSW,82,3064,20.2,19.3,0.118,0.118,0.168,0.3,60.4,50.4
Chuck Person,22,SF,IND,82,2956,15.6,22.4,0.095,0.095,0.284,0.125,47.5,35.5
Ricky Pierce,27,SG,MIL,79,2505,18.5,15.0,0.094,0.094,0.114,0.412,57.3,47.0
Robert Parish,33,C,BOS,80,2995,17.7,18.6,0.108,0.108,0.131,0.689,77.8,90.3
Byron Scott,25,SG,LAL,82,2729,16.0,13.0,0.083,0.083,0.095,1.036,65.8,98.4
Kareem Abdul-Jabbar,39,C,LAL,78,2441,17.9,19.4,0.093,0.093,0.142,1.036,73.7,147.1
Steve Johnson,29,C,POR,79,2345,15.1,16.1,0.099,0.099,0.209,0.125,59.2,26.1
Kevin Willis,24,PF,ATL,81,2626,17.4,13.4,0.091,0.091,0.11,0.323,63.2,35.5
Bill Laimbeer,29,C,DET,82,2854,17.4,14.2,0.108,0.108,0.115,0.684,68.5,78.7
Chris Mullin,23,SG,GSW,82,2377,15.8,10.3,0.092,0.092,0.089,0.3,47.1,26.7
Derek Harper,25,PG,DAL,77,2556,20.0,22.2,0.123,0.123,0.247,0.125,82.5,30.9
Vinnie Johnson,30,SG,DET,78,2166,17.0,16.9,0.105,0.105,0.137,0.684,66.6,93.7
John Long,30,SG,IND,80,2265,13.8,6.2,0.084,0.084,0.079,0.125,42.0,9.9
Charles Oakley,23,PF,CHI,82,2980,14.2,16.9,0.077,0.077,0.316,0.0,37.6,0.0
Sam Perkins,25,PF,DAL,80,2687,15.9,15.0,0.098,0.098,0.167,0.125,65.8,20.9
Wayman Tisdale,22,PF,IND,81,2159,16.3,14.7,0.099,0.099,0.187,0.125,49.5,23.4
Rodney McCray,25,SF,HOU,81,3136,15.7,15.5,0.08,0.08,0.151,0.386,41.0,58.3
Darrell Griffith,28,SG,UTA,76,1843,15.0,13.5,0.09,0.09,0.158,0.222,48.3,35.1
Thurl Bailey,25,PF,UTA,81,2155,13.9,16.1,0.083,0.083,0.188,0.222,44.6,41.7
Herb Williams,28,PF,IND,74,2526,14.1,8.5,0.086,0.086,0.108,0.125,43.0,13.5
Steve Stipanovich,26,C,IND,81,2761,15.9,13.5,0.097,0.097,0.171,0.125,48.5,21.4
Dennis Johnson,32,PG,BOS,79,2933,13.2,15.8,0.081,0.081,0.111,0.689,58.3,76.5
Maurice Cheeks,30,PG,PHI,68,2624,18.3,16.5,0.093,0.093,0.166,0.222,51.1,36.9
Roy Hinson,25,SF,PHI,76,2489,13.5,18.6,0.069,0.069,0.187,0.222,37.9,41.5
Danny Ainge,27,SG,BOS,71,2499,15.2,11.9,0.093,0.093,0.084,0.689,67.0,57.9
Doc Rivers,25,PG,ATL,82,2590,19.9,12.7,0.104,0.104,0.104,0.323,72.3,33.6
Terry Porter,23,PG,POR,80,2714,16.2,19.1,0.107,0.107,0.247,0.125,64.0,30.9
Jack Sikma,31,C,MIL,82,2536,16.0,17.0,0.082,0.082,0.129,0.412,50.0,53.1
Tim McCormick,24,C,PHI,81,2817,12.9,7.4,0.066,0.066,0.074,0.222,36.2,16.4
Robert Reid,31,SG,HOU,75,2594,11.4,5.1,0.058,0.058,0.05,0.386,29.7,19.3
Terry Catledge,23,PF,WSB,78,2149,14.2,17.2,0.072,0.072,0.685,0.0,36.9,0.0
Jerome Kersey,24,SF,POR,82,2088,16.9,11.1,0.111,0.111,0.144,0.125,66.4,0.0
Julius Erving,36,SG,PHI,60,1918,17.0,14.9,0.087,0.087,0.15,0.222,47.8,33.3
Walter Berry,22,SF,"POR, SAS",63,1586,16.6,,"0.19, 0.087",0.098,0.0,0.0,39.0,0.0
Darrell Walker,25,PG,DEN,81,2020,15.8,4.8,0.097,0.097,0,0.0,43.7,0.0
Vern Fleming,24,PG,IND,82,2549,15.8,13.5,0.096,0.096,0.171,0.125,48.0,21.4
Bill Hanzlik,29,PF,DEN,73,1990,13.9,6.4,0.085,0.085,0,0.0,38.3,0.0
Mychal Thompson,32,PF,"SAS, LAL",82,1890,12.6,11.1,"0.076, 0.065",0.072,0.081,1.036,36.2,0.0
Joe Dumars,23,SG,DET,79,2439,11.9,13.7,0.074,0.074,0.111,0.684,46.9,75.9
John Paxson,26,PG,CHI,82,2689,12.8,8.7,0.07,0.07,0.163,0.0,34.2,0.0
Jim Petersen,24,PF,HOU,82,2403,12.7,11.9,0.065,0.065,0.116,0.386,33.3,44.8
Terry Teagle,26,SG,GSW,82,1650,13.2,14.0,0.077,0.077,0.122,0.3,39.4,36.6
Randy Wittman,27,SG,ATL,71,2049,13.0,14.7,0.068,0.068,0.121,0.323,47.3,39.1
James Donaldson,29,C,DAL,82,3028,15.3,12.6,0.094,0.094,0.14,0.125,63.1,0.0
Jim Paxson,29,SG,POR,72,1798,13.8,12.2,0.091,0.091,0.158,0.125,54.4,0.0
Alton Lister,28,C,SEA,75,2288,14.0,10.6,0.076,0.076,0.07,0.489,36.2,34.2
Michael Cooper,30,SG,LAL,82,2253,14.0,16.7,0.073,0.073,0.122,1.036,57.9,126.4
A.C. Green,23,PF,LAL,79,2240,15.7,15.4,0.081,0.081,0.112,1.036,64.2,116.0
Craig Hodges,26,PG,MIL,78,2147,11.9,15.6,0.061,0.061,0.118,0.412,37.2,48.6
Paul Pressey,28,SF,MIL,61,2057,16.7,15.4,0.085,0.085,0.117,0.412,51.8,48.2
Mike Evans,31,SG,DEN,81,1567,13.6,9.1,0.084,0.084,0,0.0,37.9,0.0
Cliff Robinson,26,PF,PHI,55,1586,15.1,17.5,0.077,0.077,0.176,0.222,42.3,39.1
Cedric Maxwell,31,SF,"LAC, HOU",81,1968,15.2,13.7,"0.08, 0.078",0.079,0.133,0.386,27.7,0.0
Gerald Henderson,31,PG,"SEA, NYK",74,2045,14.6,,"0.076, 0.076",0.076,0.0,0.0,23.4,0.0
Kelly Tripucka,27,SF,UTA,79,1865,13.0,14.1,0.078,0.078,0.165,0.222,41.9,0.0
Mike McGee,27,SF,ATL,76,1420,15.2,8.1,0.079,0.079,0.067,0.323,54.9,21.6
Rickey Green,32,PG,UTA,81,2090,15.9,16.4,0.095,0.095,0.191,0.222,51.0,0.0
Detlef Schrempf,24,SF,DAL,81,1711,13.7,5.1,0.084,0.084,0.057,0.125,56.4,0.0
John Lucas,33,PG,MIL,43,1358,19.4,16.5,0.099,0.099,0.125,0.412,60.4,51.5
John Williams,20,SF,WSB,78,1773,15.5,16.0,0.079,0.079,0.637,0.0,40.4,0.0
Larry Smith,29,PF,GSW,80,2374,14.2,16.9,0.083,0.083,0.147,0.3,42.5,44.1
Blair Rasmussen,24,C,DEN,74,1421,15.5,13.7,0.095,0.095,0,0.0,42.8,0.0
Bob Hansen,26,SG,UTA,72,1453,12.4,10.6,0.074,0.074,0.124,0.222,39.7,27.5
Dave Corzine,30,C,CHI,82,2287,12.8,8.5,0.07,0.07,0.159,0.0,34.2,0.0
Brad Sellers,24,PF,CHI,80,1751,13.4,3.6,0.073,0.073,0.067,0.0,35.6,0.0
David Wingate,23,SG,PHI,77,1612,11.9,10.4,0.061,0.061,0.105,0.222,33.5,0.0
Jay Vincent,27,SF,WSB,51,1386,13.2,7.6,0.067,0.067,0.303,0.0,34.3,0.0
Ralph Sampson,26,PF,HOU,43,1326,15.4,15.8,0.079,0.079,0.154,0.386,40.4,59.4
Cliff Levingston,26,PF,ATL,82,1848,14.3,10.0,0.075,0.075,0.082,0.323,52.1,26.5
Danny Schayes,27,C,DEN,76,1556,13.4,13.6,0.082,0.082,0,0.0,37.0,0.0
John Stockton,24,PG,UTA,82,1858,19.0,18.2,0.114,0.114,0.212,0.222,61.2,47.1
Sidney Green,26,PF,DET,80,1792,13.0,16.1,0.08,0.08,0.131,0.684,50.7,0.0
Rod Higgins,27,SF,GSW,73,1497,14.1,9.6,0.082,0.082,0.083,0.3,42.0,24.9
Purvis Short,29,SF,GSW,34,950,18.6,15.0,0.109,0.109,0.13,0.3,55.8,39.0
Ennis Whatley,24,PG,WSB,73,1816,14.0,-4.3,0.071,0.071,-0.171,0.0,36.4,0.0
Darwin Cook,28,SG,WSB,82,1420,12.5,8.3,0.064,0.064,0.331,0.0,32.8,0.0
Steve Harris,23,SG,HOU,74,1174,12.9,5.9,0.066,0.066,0.057,0.386,33.8,0.0
Gene Banks,27,SF,CHI,63,1822,12.6,10.1,0.069,0.069,0.189,0.0,33.7,0.0
Mark Eaton,30,C,UTA,79,2505,11.1,13.9,0.066,0.066,0.162,0.222,35.4,36.0
Randy Breuer,26,C,MIL,76,1467,12.3,9.8,0.063,0.063,0.074,0.412,38.4,30.5
Sedale Threatt,25,PG,"PHI, CHI",68,1446,16.2,12.5,"0.054, 0.088",0.074,"0.0, 0.234",0.0,37.5,0.0
Greg Ballard,32,SF,GSW,82,1579,11.5,14.7,0.067,0.067,0.128,0.3,34.3,38.4
Brad Davis,31,PG,DAL,82,1582,14.5,15.9,0.089,0.089,0.177,0.125,59.7,0.0
Earl Cureton,29,C,"CHI, LAC",78,1973,12.5,,"0.056, 0.065",0.06,0.0,0.0,19.3,0.0
Roy Tarpley,22,PF,DAL,75,1405,15.2,15.6,0.093,0.093,0.173,0.125,62.4,21.6
Wayne Cooper,30,C,DEN,69,1561,11.3,10.6,0.069,0.069,0,0.0,31.1,0.0
Andrew Toney,29,SG,PHI,52,1058,14.3,4.3,0.073,0.073,0.043,0.222,40.1,9.5
Dirk Minniefield,26,PG,"CLE, HOU",74,1600,11.0,9.3,"0.01, 0.056",0.049,0.09,0.386,25.0,0.0
Mark Alarie,23,PF,DEN,64,1110,12.5,10.4,0.077,0.077,0,0.0,34.7,0.0
Clint Richardson,30,SG,IND,78,1396,12.8,5.9,0.078,0.078,0.075,0.125,39.0,0.0
Maurice Lucas,34,PF,SEA,63,1120,13.7,10.4,0.075,0.075,0.068,0.489,35.7,33.3
Dennis Rodman,25,SF,DET,77,1155,15.5,14.0,0.096,0.096,0.114,0.684,60.9,78.0
Jon Koncak,23,C,ATL,82,1684,10.9,11.9,0.057,0.057,0.098,0.323,39.6,0.0
Sidney Moncrief,29,SG,MIL,39,992,15.9,16.1,0.081,0.081,0.122,0.412,49.4,50.3
Michael Adams,24,PG,WSB,63,1303,14.3,6.9,0.073,0.073,0.275,0.0,37.4,0.0
Jerry Sichting,30,PG,BOS,78,1566,9.4,6.2,0.057,0.057,0.044,0.689,41.0,30.3
Kurt Rambis,28,PF,LAL,78,1514,12.6,14.1,0.065,0.065,0.103,1.036,51.5,106.7
John Salley,22,C,DET,82,1463,11.9,10.6,0.074,0.074,0.086,0.684,46.9,58.8
Steve Colter,24,PG,"CHI, PHI",70,1322,12.6,10.4,"0.053, 0.064",0.06,"0.0, 0.105",0.222,31.6,0.0
Allen Leavell,29,PG,HOU,53,1175,12.0,12.4,0.062,0.062,0.121,0.386,31.7,46.7
Tree Rollins,31,C,ATL,75,1764,12.0,9.7,0.063,0.063,0.08,0.323,43.8,25.8
Jerry Reynolds,24,SF,MIL,58,963,12.9,52.6,0.066,0.066,0.398,0.412,40.3,0.0
Tyrone Corbin,24,SF,"SAS, CLE",63,1170,9.2,,"0.061, 0.053",0.057,0,0.0,20.4,0.0
Fred Roberts,26,PF,BOS,73,1079,10.7,9.1,0.065,0.065,0.064,0.689,46.8,44.1
Kenny Fields,24,SF,"MIL, LAC",48,883,11.9,,"0.085, 0.062",0.064,0.0,0.0,12.6,0.0
Kurt Nimphius,28,PF,"LAC, DET",66,1088,10.1,2.5,"0.049, 0.062",0.055,0.02,0.684,20.8,0.0
Rick Mahorn,28,PF,DET,63,1278,10.2,12.2,0.063,0.063,0.099,0.684,39.9,67.7
John Battle,24,SG,ATL,64,804,13.8,17.2,0.072,0.072,0.141,0.323,50.0,0.0
Kyle Macy,29,PG,IND,76,1250,11.7,-0.4,0.071,0.071,-0.005,0.125,35.5,0.0
Nate McMillan,22,PG,SEA,71,1972,14.1,13.5,0.077,0.077,0.089,0.489,36.7,43.5
Jerome Whitehead,30,C,GSW,73,937,10.8,2.8,0.063,0.063,0.024,0.3,32.3,7.2
Ron Anderson,28,SF,IND,63,721,16.0,5.8,0.097,0.097,0.074,0.125,48.5,0.0
Ben McDonald,24,PF,GSW,63,1284,7.2,2.7,0.042,0.042,0.023,0.3,21.5,0.0
Danny Young,24,PG,SEA,73,1482,12.8,14.0,0.07,0.07,0.092,0.489,33.3,45.0
Kevin Duckworth,22,C,"SAS, POR",65,875,8.8,3.6,"0.055, 0.058",0.057,0.047,0.125,31.3,0.0
Carey Scurry,24,SF,UTA,69,753,18.3,15.6,0.109,0.109,0.182,0.222,58.5,0.0
Antoine Carr,25,PF,ATL,65,695,15.5,22.9,0.081,0.081,0.188,0.323,56.3,60.7
Billy Thompson,23,SF,LAL,59,762,12.8,25.8,0.066,0.066,0.188,1.036,52.3,0.0
Kent Benson,32,C,UTA,73,895,11.7,-16.3,0.07,0.07,-0.19,0.222,37.6,0.0
Dell Curry,22,SG,UTA,67,636,11.3,-28.9,0.068,0.068,-0.337,0.222,36.5,0.0
Anthony Jones,24,SF,"WSB, SAS",65,858,11.1,,"0.041, 0.058",0.054,0.0,0.0,20.1,0.0
Caldwell Jones,36,PF,POR,78,1578,8.7,6.5,0.057,0.057,0.084,0.125,34.1,10.5
Kevin Williams,25,SG,SEA,65,703,10.4,15.8,0.057,0.057,0.104,0.489,27.1,50.9
Charles Jones,29,PF,WSB,79,1609,10.6,8.2,0.054,0.054,0.327,0.0,27.6,0.0
Marc Iavaroni,30,PF,UTA,78,845,7.8,6.8,0.047,0.047,0.079,0.222,25.2,0.0
T.R. Dunn,31,SG,DEN,81,1932,7.8,3.4,0.048,0.048,0,0.0,21.6,0.0
Mike Brown,23,C,CHI,62,818,9.7,-17.6,0.053,0.053,-0.329,0.0,25.9,0.0
Manute Bol,24,C,WSB,82,1552,10.9,8.5,0.056,0.056,0.339,0.0,28.7,0.0
Elston Turner,27,SF,CHI,70,936,9.4,16.7,0.051,0.051,0.312,0.0,24.9,0.0
Clemon Johnson,30,C,SEA,78,1051,10.0,11.0,0.054,0.054,0.072,0.489,25.7,35.2
Darren Daye,26,SF,"CHI, BOS",62,731,9.6,14.4,"-0.028, 0.059",0.058,"0.0, 0.101",0.689,41.6,69.6
Perry Moss,28,PG,GSW,64,698,10.2,23.4,0.06,0.06,0.203,0.3,30.7,0.0
Dave Feitl,24,C,HOU,62,498,10.3,12.0,0.053,0.053,0.117,0.386,27.1,0.0
Buck Johnson,23,SF,HOU,60,520,11.8,-9.8,0.06,0.06,-0.095,0.386,30.7,0.0
Spud Webb,23,PG,ATL,33,532,16.5,11.3,0.086,0.086,0.093,0.323,59.8,30.0
Dudley Bradley,29,SG,MIL,68,900,10.3,2.2,0.053,0.053,0.017,0.412,32.3,0.0
Wes Matthews,27,PG,LAL,50,532,11.7,3.7,0.061,0.061,0.027,1.036,48.4,0.0
Michael Holton,25,PG,POR,58,479,9.5,4.5,0.062,0.062,0.058,0.125,37.1,0.0
Frank Brickowski,27,C,"LAL, SAS",44,487,10.2,,"0.053, 0.053",0.053,0.0,0.0,38.2,0.0
Russ Schoene,26,PF,SEA,63,579,6.2,7.7,0.034,0.034,0.051,0.489,16.2,24.9
Sam Vincent,23,PG,BOS,46,374,12.8,13.4,0.078,0.078,0.094,0.689,56.2,64.8
Ben Poquette,31,PF,"CLE, CHI",58,604,11.9,,"0.06, 0.065",0.062,0.0,0.0,26.0,0.0
Bill Wennington,23,C,DAL,58,560,7.9,10.2,0.048,0.048,0.113,0.125,32.2,0.0
Frank Johnson,28,PG,WSB,18,399,12.2,6.2,0.062,0.062,0.247,0.0,31.7,0.0
Paul Mokeski,30,C,MIL,62,626,7.4,8.2,0.038,0.038,0.062,0.412,23.2,25.5
Maurice Martin,22,SF,DEN,43,286,9.4,10.3,0.058,0.058,0,0.0,26.2,0.0
Richard Anderson,26,PF,HOU,51,312,13.6,20.2,0.07,0.07,0.196,0.386,35.8,0.0
Danny Vranes,28,SF,PHI,58,817,6.9,10.2,0.035,0.035,0.103,0.222,19.2,0.0
Adrian Branch,23,SF,LAL,32,219,18.8,-1.9,0.098,0.098,-0.014,1.036,77.7,0.0
Tony Campbell,24,SF,DET,40,332,7.0,24.7,0.043,0.043,0.2,0.684,27.3,0.0
Chris Washburn,21,C,GSW,35,385,5.4,4.2,0.032,0.032,0.036,0.3,16.4,0.0
Greg Kite,25,C,BOS,74,745,6.0,3.9,0.037,0.037,0.027,0.689,26.6,18.6
Conner Henry,23,SG,"HOU, BOS",54,323,8.5,10.8,"0.001, 0.052",0.035,"0.0, 0.076",0.689,25.1,0.0
Stuart Gray,23,C,IND,55,456,8.0,8.3,0.049,0.049,0.105,0.125,24.5,0.0
Granville Waiters,26,C,CHI,44,534,6.5,4.3,0.035,0.035,0.08,0.0,17.1,0.0
Otis Smith,23,SG,DEN,28,168,8.1,12.9,0.05,0.05,0,0.0,0.0,0.0
Chuck Nevitt,27,C,DET,41,267,10.3,7.5,0.064,0.064,0.061,0.684,40.6,0.0
Mike Smrek,24,C,LAL,35,233,5.0,2.1,0.026,0.026,0.015,1.036,20.6,0.0
Scott Hastings,26,PF,ATL,40,256,9.8,15.3,0.051,0.051,0.126,0.323,35.4,0.0
Pete Myers,23,SG,CHI,29,155,14.0,-35.2,0.076,0.076,-0.658,0.0,0.0,0.0
Chris Engler,27,C,"POR, MIL, NJN",30,195,10.6,,"0.191, 0.03, 0.055",0.083,"0.0, 0.0",0.0,0.0,0.0
Dennis Nutt,23,PG,DAL,25,91,20.0,-2.4,0.123,0.123,-0.027,0.125,0.0,0.0
Uwe Blab,24,C,DAL,30,160,7.1,4.6,0.044,0.044,0.051,0.125,0.0,0.0
Mark McNamara,27,C,PHI,11,113,8.2,44.1,0.042,0.042,0.444,0.222,0.0,0.0
Bill Walton,34,C,BOS,10,112,5.6,9.2,0.034,0.034,0.065,0.689,0.0,44.8
Jerome Henderson,27,PF,MIL,6,36,-2.4,-16.0,-0.012,-0.012,-0.121,0.412,0.0,0.0
Curtis Kitchen,23,PF,SEA,6,31,18.5,2.1,0.101,0.101,0.014,0.489,0.0,0.0
Michael Wilson,27,PG,"NJN, ATL",7,45,-49.6,,"0.014, -0.259",-0.064,0.0,0.323,0.0,0.0
