Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Russell Westbrook,28,PG,OKC,81,2802,194,30.6,27.7,0.151,0.151,0.298,0.111,86.5,33.1
James Harden,27,PG,HOU,81,2947,407,27.4,23.0,0.129,0.129,0.189,0.427,86.6,80.7
Isaiah Thomas,27,PG,BOS,76,2569,521,26.5,18.1,0.139,0.139,0.116,0.509,89.8,59.0
Damian Lillard,26,PG,POR,75,2694,151,24.1,18.4,0.125,0.125,0.325,0.0,62.5,0.0
DeMar DeRozan,27,SG,TOR,74,2620,373,24.0,16.6,0.106,0.106,0.147,0.286,65.9,42.0
Stephen Curry,28,PG,GSW,79,2638,601,24.6,27.1,0.108,0.108,0.144,1.133,88.2,163.2
LeBron James,32,SF,CLE,74,2794,744,27.0,30.1,0.122,0.122,0.195,0.818,75.9,159.5
DeMarcus Cousins,26,C,"SAC, NOP",72,2465,0,23.2,,"0.108, 0.087",0.103,0,0.0,40.7,0.0
Kawhi Leonard,25,SF,SAS,74,2474,429,27.6,31.5,0.123,0.123,0.166,0.49,91.5,81.3
CJ McCollum,25,SG,POR,80,2796,140,19.9,13.0,0.103,0.103,0.23,0.0,51.5,0.0
Giannis Antetokounmpo,22,SF,MIL,80,2845,243,26.1,21.9,0.122,0.122,0.223,0.2,62.5,44.6
Jimmy Butler,27,SF,CHI,76,2809,239,25.1,19.4,0.123,0.123,0.215,0.2,61.5,43.0
Kyrie Irving,24,PG,CLE,72,2525,653,23.0,21.3,0.104,0.104,0.138,0.818,64.7,112.9
John Wall,26,PG,WAS,78,2836,507,23.2,23.0,0.118,0.118,0.187,0.447,70.6,83.6
Bradley Beal,23,SG,WAS,77,2684,505,20.1,18.0,0.102,0.102,0.146,0.447,61.0,65.3
Paul George,26,SF,IND,75,2689,172,20.2,21.0,0.099,0.099,0.246,0.0,50.7,0.0
Klay Thompson,26,SG,GSW,78,2649,596,17.4,9.3,0.076,0.076,0.05,1.133,62.1,56.6
Gordon Hayward,26,SF,UTA,73,2516,411,22.2,20.7,0.112,0.112,0.171,0.267,69.7,45.7
Kevin Durant,28,PF,GSW,62,2070,533,27.6,27.5,0.121,0.121,0.147,1.133,98.9,166.6
Marc Gasol,32,C,MEM,74,2531,240,20.3,17.1,0.098,0.098,0.165,0.2,51.4,33.0
Lou Williams,30,SG,"LAL, HOU",81,1994,272,15.4,12.6,"0.098, 0.072",0.091,0.103,0.427,36.0,0.0
Mike Conley,29,PG,MEM,69,2292,224,23.2,27.4,0.112,0.112,0.264,0.2,58.7,52.8
Kyle Lowry,30,PG,TOR,60,2244,300,22.9,15.7,0.101,0.101,0.139,0.286,62.8,39.8
Blake Griffin,27,PF,LAC,61,2076,99,22.6,20.1,0.121,0.121,0.222,0.273,75.3,0.0
Jeff Teague,28,PG,IND,82,2657,142,19.2,18.3,0.094,0.094,0.214,0.0,48.1,0.0
Paul Millsap,31,PF,ATL,69,2343,219,17.9,21.3,0.087,0.087,0.257,0.2,45.6,51.4
LaMarcus Aldridge,31,PF,SAS,72,2335,537,18.6,15.2,0.083,0.083,0.08,0.49,61.8,39.2
Eric Gordon,28,SG,HOU,75,2323,358,13.2,11.5,0.062,0.062,0.094,0.427,41.6,40.1
JJ Redick,32,SG,LAC,78,2198,206,14.8,4.8,0.079,0.079,0.053,0.273,49.1,14.5
Myles Turner,20,C,IND,81,2541,133,18.5,9.8,0.091,0.091,0.115,0.0,46.6,0.0
Serge Ibaka,27,PF,"ORL, TOR",79,2422,307,13.8,14.4,"0.101, 0.061",0.089,0.128,0.286,36.4,0.0
Tim Hardaway Jr.,24,SG,ATL,79,2154,200,15.2,3.8,0.074,0.074,0.046,0.2,38.8,9.2
Kevin Love,28,PF,CLE,60,1885,578,21.1,19.7,0.095,0.095,0.128,0.818,59.1,104.7
Rudy Gobert,24,C,UTA,81,2744,246,23.3,21.0,0.118,0.118,0.174,0.267,73.4,46.5
Chris Paul,31,PG,LAC,61,1921,260,26.2,27.8,0.141,0.141,0.307,0.273,87.7,83.8
Dwyane Wade,35,SG,CHI,60,1792,190,18.5,15.5,0.091,0.091,0.171,0.2,45.5,34.2
Otto Porter Jr.,23,SF,WAS,80,2605,428,17.3,16.5,0.088,0.088,0.134,0.447,52.6,59.9
Victor Oladipo,24,SG,OKC,67,2222,181,13.6,6.9,0.067,0.067,0.074,0.111,38.4,8.2
Markieff Morris,27,PF,WAS,76,2374,373,13.7,12.3,0.07,0.07,0.1,0.447,41.9,44.7
Enes Freedom,24,C,OKC,72,1533,45,23.7,10.9,0.117,0.117,0.117,0.111,67.0,0.0
DeAndre Jordan,28,C,LAC,81,2570,264,21.8,17.3,0.117,0.117,0.191,0.273,72.8,52.1
Zach Randolph,35,PF,MEM,73,1786,191,18.5,11.6,0.089,0.089,0.112,0.2,46.6,22.4
Jamal Crawford,36,SG,LAC,82,2157,196,12.0,10.6,0.064,0.064,0.117,0.273,39.8,31.9
Dwight Howard,31,C,ATL,74,2199,157,20.8,13.9,0.101,0.101,0.168,0.2,52.9,33.6
Jae Crowder,26,SF,BOS,72,2335,596,14.9,14.5,0.078,0.078,0.093,0.509,50.4,47.3
Ryan Anderson,28,PF,HOU,72,2116,336,13.5,8.5,0.063,0.063,0.07,0.427,42.3,29.9
Al Horford,30,C,BOS,68,2193,610,17.7,20.1,0.093,0.093,0.129,0.509,60.1,65.7
Greg Monroe,26,C,MIL,81,1823,141,21.1,24.3,0.098,0.098,0.247,0.2,50.2,49.4
Trevor Ariza,31,SF,HOU,80,2773,413,12.3,10.5,0.058,0.058,0.086,0.427,38.9,36.7
Steven Adams,23,C,OKC,80,2389,157,16.5,15.4,0.081,0.081,0.166,0.111,46.4,18.4
Avery Bradley,26,SG,BOS,55,1835,645,14.4,12.0,0.075,0.075,0.077,0.509,48.4,39.2
Austin Rivers,24,SG,LAC,74,2054,90,11.4,3.1,0.061,0.061,0.034,0.273,37.9,0.0
Marcin Gortat,32,C,WAS,82,2556,409,15.4,14.0,0.078,0.078,0.114,0.447,46.6,51.0
Buddy Hield,24,SG,"NOP, SAC",82,1888,0,14.9,,"0.037, 0.061",0.044,0,0.0,17.9,0.0
Terrence Ross,25,SF,"TOR, ORL",78,1955,0,11.1,,"0.066, 0.064",0.065,0.0,0.0,35.4,0.0
Taj Gibson,31,PF,"CHI, OKC",78,1989,118,13.8,10.5,"0.075, 0.068",0.073,0.113,0.111,37.9,0.0
Allen Crabbe,24,SG,POR,79,2254,92,11.6,3.7,0.06,0.06,0.065,0.0,30.0,0.0
Mason Plumlee,26,C,"POR, DEN",81,2148,0,16.3,,"0.098, 0.073",0.09,0.0,0.0,44.5,0.0
Robin Lopez,28,C,CHI,81,2271,162,14.4,23.4,0.071,0.071,0.259,0.2,35.5,51.8
Marcus Smart,22,SG,BOS,79,2399,538,12.0,11.8,0.063,0.063,0.076,0.509,40.7,38.7
George Hill,30,PG,UTA,49,1544,281,19.3,13.4,0.098,0.098,0.111,0.267,61.0,29.6
Clint Capela,22,C,HOU,65,1551,286,21.4,21.1,0.101,0.101,0.173,0.427,67.8,73.9
C.J. Miles,29,SF,IND,76,1776,82,13.8,9.6,0.068,0.068,0.112,0.0,34.8,0.0
Thaddeus Young,28,PF,IND,74,2237,140,14.9,18.0,0.073,0.073,0.211,0.0,37.4,0.0
Kent Bazemore,27,SF,ATL,73,1963,150,11.6,9.4,0.056,0.056,0.113,0.2,29.3,22.6
Pau Gasol,36,C,SAS,64,1627,365,20.2,15.1,0.09,0.09,0.08,0.49,67.0,39.2
Draymond Green,26,PF,GSW,76,2471,593,16.5,17.9,0.073,0.073,0.095,1.133,59.6,107.6
Maurice Harkless,23,SF,POR,77,2223,99,13.1,8.6,0.068,0.068,0.152,0.0,34.0,0.0
Malcolm Brogdon,24,SG,MIL,75,1982,183,14.9,8.1,0.069,0.069,0.082,0.2,35.3,16.4
