Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Jeryl Sasser,23,SG,ORL,75,1025,8.3,8.2,0.041,0.041,0.091,0.273,21.0,0.0
Brian Scalabrine,24,PF,NJN,59,724,8.9,3.7,0.054,0.054,0.028,0.817,32.3,0.0
Mark Madsen,27,PF,LAL,54,781,9.3,6.0,0.057,0.057,0.056,0.4,34.8,22.4
Speedy Claxton,24,PG,SAS,30,471,15.9,14.4,0.092,0.092,0.116,0.85,67.3,98.6
Jeff Foster,26,C,IND,77,802,12.0,21.2,0.061,0.061,0.255,0.2,35.7,0.0
Marcus Haislip,22,PF,MIL,39,441,9.6,22.1,0.047,0.047,0.212,0.2,24.1,0.0
Bimbo Coles,34,PG,"CLE, BOS",35,691,8.8,-10.2,"0.036, 0.054",0.043,-0.097,0.286,16.1,0.0
Ervin Johnson,35,C,MIL,69,1170,9.4,7.0,0.046,0.046,0.067,0.2,23.6,0.0
Mike Wilks,23,PG,"ATL, MIN",46,688,9.1,14.4,"0.053, 0.045",0.048,0.146,0.2,26.2,0.0
Kedrick Brown,21,SF,BOS,51,666,8.8,12.2,0.054,0.054,0.116,0.286,29.0,0.0
Robert Pack,33,PG,NOH,28,440,13.3,8.5,0.073,0.073,0.089,0.2,41.8,0.0
Dikembe Mutombo,36,C,NJN,24,514,11.2,9.0,0.068,0.068,0.068,0.817,40.7,55.6
Tayshaun Prince,22,SF,DET,42,435,11.7,15.1,0.07,0.07,0.108,0.467,42.7,50.4
John Salmons,23,PG,PHI,64,504,9.5,-9.7,0.05,0.05,-0.091,0.4,29.2,0.0
Kenny Satterfield,21,PG,"DEN, PHI",39,502,2.6,,"0.028, 0.014",0.022,0.0,0.4,6.8,0.0
Steven Hunter,21,C,ORL,33,447,13.4,-2.1,0.065,0.065,-0.023,0.273,33.3,0.0
Tom Gugliotta,33,PF,PHO,27,447,10.9,12.8,0.067,0.067,0.222,0.2,36.0,0.0
Qyntel Woods,21,PF,POR,53,334,11.2,-0.2,0.061,0.061,-0.002,0.273,37.2,0.0
Carlos Arroyo,23,PG,UTA,44,287,14.1,14.1,0.082,0.082,0.171,0.111,47.0,0.0
Jermaine Jackson,26,SG,"TOR, ATL",53,559,9.9,,"0.041, 0.056",0.049,0,0.0,18.5,0.0
Danny Ferry,36,SF,SAS,64,601,5.1,2.7,0.03,0.03,0.022,0.85,22.0,18.7
Scot Pollard,27,C,SAC,23,325,14.6,10.6,0.075,0.075,0.07,0.475,54.0,0.0
John Amaechi,32,C,UTA,50,474,3.1,-2.2,0.018,0.018,-0.027,0.111,10.3,0.0
Ryan Humphrey,23,PF,"ORL, MEM",48,444,7.2,,"0.014, 0.038",0.02,0.0,0.0,8.7,0.0
Tamar Slay,22,SG,NJN,36,274,7.1,-9.9,0.043,0.043,-0.074,0.817,25.7,0.0
Monty Williams,31,SF,PHI,21,276,12.5,3.6,0.066,0.066,0.034,0.4,38.6,0.0
Jannero Pargo,23,PG,LAL,34,342,7.3,6.4,0.045,0.045,0.06,0.4,27.4,24.0
Loren Woods,24,C,MIN,38,353,9.9,24.2,0.049,0.049,0.245,0.2,30.5,0.0
Lawrence Funderburke,32,PF,SAC,27,229,11.8,19.5,0.06,0.06,0.128,0.475,43.2,0.0
Grant Long,36,PF,BOS,41,488,5.3,2.4,0.033,0.033,0.023,0.286,17.7,0.0
Art Long,30,PF,"PHI, TOR",26,211,3.6,,"0.04, 0.018",0.034,0.0,0.0,18.5,0.0
Tariq Abdul-Wahad,28,SG,DAL,14,204,12.4,12.6,0.062,0.062,0.086,0.525,45.4,0.0
Tim Hardaway,36,PG,IND,10,127,14.7,9.0,0.075,0.075,0.108,0.2,0.0,0.0
Joel Przybilla,23,C,MIL,32,546,7.9,4.5,0.038,0.038,0.043,0.2,19.5,0.0
Danny Manning,36,PF,DET,13,89,17.9,3.4,0.107,0.107,0.024,0.467,0.0,0.0
Adam Harrington,22,SG,"DAL, DEN",19,111,10.4,,"0.007, 0.057",0.023,0.0,0.0,0.0,0.0
Devin Brown,24,SG,"SAS, DEN",10,93,4.8,,"0.08, 0.026",0.064,0.0,0.0,0.0,0.0
Ronald Murray,23,SG,"MIL, SEA",14,62,-2.0,,"0.052, -0.01",0.043,0.0,0.0,0.0,0.0
Anthony Goldwire,31,PG,"SAS, WAS",15,85,9.6,,"0.014, 0.05",0.026,0.0,0.0,0.0,0.0
Mikki Moore,27,C,"BOS, ATL",8,43,26.1,,"-0.019, 0.147",0.085,0.0,0.0,0.0,0.0
Evan Eschmeyer,27,C,DAL,17,135,7.4,12.6,0.037,0.037,0.086,0.525,0.0,0.0
Mark Bryant,37,PF,"PHI, DEN, BOS",16,100,-1.1,0.0,"0.008, -0.027, -0.007",-0.0,"0.0, 0.0",0.286,0.0,0.0
