Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Jayson Tatum,24,SF,BOS,74,2732,799,23.7,22.6,0.113,0.113,0.165,0.583,78.5,96.2
Joel Embiid,28,C,PHI,66,2284,336,31.4,20.3,0.153,0.153,0.161,0.507,100.8,81.6
Giannis Antetokounmpo,28,PF,MIL,63,2024,91,29.0,18.8,0.119,0.119,0.24,0.111,84.1,0.0
Anthony Edwards,21,SG,MIN,79,2842,199,17.4,27.5,0.07,0.07,0.293,0.111,35.8,32.5
Julius Randle,28,PF,NYK,77,2737,330,20.3,11.5,0.104,0.104,0.098,0.427,59.6,41.8
Donovan Mitchell,26,SG,CLE,68,2432,207,22.9,15.7,0.121,0.121,0.242,0.111,75.3,26.9
Trae Young,24,PG,ATL,73,2541,230,22.0,21.1,0.102,0.102,0.172,0.2,51.0,34.4
De'Aaron Fox,25,PG,SAC,73,2435,270,21.8,18.9,0.106,0.106,0.179,0.273,62.0,48.9
Jaylen Brown,26,SF,BOS,67,2405,751,19.1,15.5,0.091,0.091,0.113,0.583,63.2,65.9
Jordan Poole,23,PG,GSW,82,2458,284,14.6,9.6,0.064,0.064,0.073,0.376,34.4,27.4
Mikal Bridges,26,SG,"PHO, BRK",83,2963,157,21.3,16.3,"0.054, 0.077",0.061,0.209,0.0,33.8,0.0
Stephen Curry,34,PG,GSW,56,1941,493,24.1,20.4,0.106,0.106,0.156,0.376,56.9,58.7
Jalen Brunson,26,PG,NYK,68,2379,443,21.2,22.9,0.108,0.108,0.195,0.427,61.9,83.3
Kyrie Irving,30,SG,"BRK, DAL",60,2241,0,24.0,,"0.078, 0.092",0.083,0.0,0.0,42.7,0.0
Ja Morant,23,PG,MEM,61,1948,187,23.3,18.4,0.096,0.096,0.183,0.2,59.7,36.6
LeBron James,38,PF,LAL,55,1954,619,23.9,22.6,0.094,0.094,0.175,0.49,49.3,85.8
Bam Adebayo,25,C,MIA,75,2598,850,20.1,15.8,0.092,0.092,0.112,0.667,49.4,74.7
Dejounte Murray,26,SG,ATL,74,2693,190,17.0,20.5,0.079,0.079,0.167,0.2,39.5,33.4
Domantas Sabonis,26,C,SAC,79,2736,243,23.5,15.9,0.114,0.114,0.151,0.273,66.7,41.2
Klay Thompson,32,SF,GSW,69,2279,468,14.7,9.3,0.065,0.065,0.071,0.376,34.9,26.7
Darius Garland,23,PG,CLE,69,2447,189,18.8,13.3,0.099,0.099,0.205,0.111,61.6,22.8
Devin Booker,26,SG,PHO,53,1835,459,22.0,28.6,0.08,0.08,0.213,0.427,43.9,91.0
Jimmy Butler,33,PF,MIA,64,2138,874,27.6,24.0,0.126,0.126,0.17,0.667,67.7,113.4
Anthony Davis,29,C,LAL,56,1904,608,27.8,24.0,0.109,0.109,0.186,0.49,57.1,91.1
RJ Barrett,22,SG,NYK,73,2475,377,12.9,14.6,0.066,0.066,0.124,0.427,37.8,52.9
Spencer Dinwiddie,29,PG,"DAL, BRK",79,2725,159,15.8,12.8,"0.061, 0.057",0.06,0.164,0.0,29.2,0.0
Kevin Durant,34,PF,"BRK, PHO",47,1672,466,24.3,21.1,"0.094, 0.088",0.093,0.157,0.427,51.0,0.0
Tyler Herro,23,SG,MIA,67,2337,19,15.3,20.4,0.07,0.07,0.145,0.667,37.6,0.0
Jamal Murray,25,PG,DEN,65,2133,799,18.0,21.6,0.078,0.078,0.175,0.992,50.4,173.6
Jrue Holiday,32,PG,MIL,67,2183,191,19.2,13.7,0.079,0.079,0.175,0.111,55.9,19.4
Evan Mobley,21,PF,CLE,79,2715,188,17.9,9.5,0.094,0.094,0.147,0.111,58.5,16.3
D'Angelo Russell,26,PG,"MIN, LAL",71,2304,473,17.1,12.2,"0.065, 0.067",0.065,0.094,0.49,33.7,0.0
Desmond Bane,24,SG,MEM,58,1841,231,19.1,13.3,0.079,0.079,0.132,0.2,49.1,26.4
Kawhi Leonard,31,SF,LAC,52,1748,80,23.9,29.9,0.081,0.081,0.417,0.111,43.5,0.0
Brook Lopez,34,C,MIL,78,2373,182,18.4,18.4,0.075,0.075,0.235,0.111,53.0,26.1
Harrison Barnes,30,PF,SAC,82,2662,196,14.1,12.0,0.068,0.068,0.114,0.273,39.8,31.1
Tyrese Maxey,22,SG,PHI,60,2016,423,17.0,16.8,0.083,0.083,0.134,0.507,54.7,67.9
James Harden,33,PG,PHI,58,2135,427,21.6,18.5,0.105,0.105,0.147,0.507,69.2,74.5
Immanuel Quickley,23,SG,NYK,81,2344,175,16.3,7.4,0.083,0.083,0.063,0.427,47.6,26.9
Deandre Ayton,24,C,PHO,67,2035,319,19.9,13.9,0.072,0.072,0.103,0.427,39.5,44.0
Jaren Jackson Jr.,23,C,MEM,63,1787,220,21.6,14.1,0.089,0.089,0.14,0.2,55.4,28.0
Russell Westbrook,34,PG,"LAL, LAC",73,2126,192,17.8,17.6,"0.06, 0.061",0.06,0.245,0.111,31.8,0.0
Kevin Huerter,24,SG,SAC,75,2203,183,15.2,6.6,0.074,0.074,0.063,0.273,43.3,17.2
Aaron Gordon,27,PF,DEN,68,2055,713,19.5,14.1,0.085,0.085,0.114,0.992,54.9,113.1
Tobias Harris,30,SF,PHI,74,2436,392,14.8,16.1,0.072,0.072,0.128,0.507,47.4,64.9
Michael Porter Jr.,24,SF,DEN,62,1798,654,16.8,13.4,0.073,0.073,0.109,0.992,47.2,108.1
Saddiq Bey,23,SF,"DET, ATL",77,2129,133,15.2,10.9,"0.059, 0.071",0.063,0.089,0.2,19.8,0.0
Dillon Brooks,27,SF,MEM,73,2214,167,9.4,2.4,0.039,0.039,0.024,0.2,24.3,4.8
Malik Monk,24,SG,SAC,77,1719,205,16.6,18.3,0.081,0.081,0.174,0.273,47.4,47.5
De'Andre Hunter,25,SF,ATL,67,2126,224,11.5,10.8,0.053,0.053,0.088,0.2,26.5,17.6
Malik Beasley,26,SG,"UTA, LAL",81,2093,91,9.7,5.4,"0.045, 0.038",0.043,0.042,0.49,20.2,0.0
Norman Powell,29,SG,LAC,60,1567,167,17.1,17.6,0.058,0.058,0.245,0.111,31.1,27.2
Derrick White,28,SG,BOS,82,2319,593,15.4,16.2,0.074,0.074,0.118,0.583,51.4,68.8
Malcolm Brogdon,30,PG,BOS,67,1744,474,18.2,13.4,0.087,0.087,0.098,0.583,60.5,57.1
Bobby Portis,27,PF,MIL,70,1818,107,17.8,16.2,0.073,0.073,0.207,0.111,51.6,23.0
Keegan Murray,22,SF,SAC,80,2382,194,12.3,11.4,0.06,0.06,0.108,0.273,35.1,29.5
Jarrett Allen,24,C,CLE,68,2220,191,19.9,13.9,0.105,0.105,0.215,0.111,65.3,23.9
Nic Claxton,23,C,BRK,76,2271,117,20.8,18.5,0.075,0.075,0.237,0.0,41.2,0.0
Rudy Gobert,30,C,MIN,70,2148,177,18.9,18.2,0.076,0.076,0.194,0.111,38.9,21.5
John Collins,25,PF,ATL,71,2130,164,13.6,10.1,0.063,0.063,0.082,0.2,31.5,16.4
Bruce Brown,26,SF,DEN,80,2280,530,13.3,15.5,0.058,0.058,0.126,0.992,37.5,125.0
Max Strus,26,SF,MIA,80,2272,648,10.8,9.8,0.049,0.049,0.07,0.667,26.3,46.7
Caris LeVert,28,SG,CLE,74,2237,170,12.4,12.4,0.065,0.065,0.191,0.111,40.4,21.2
Jakob Poeltl,27,C,"SAS, TOR",72,1906,0,23.1,,"0.074, 0.097",0.082,0,0.0,30.2,0.0
Mason Plumlee,32,C,"CHO, LAC",79,2054,91,18.2,26.6,"0.091, 0.062",0.083,0.371,0.111,30.9,0.0
Eric Gordon,34,SG,"HOU, LAC",69,1965,149,13.1,9.2,"0.057, 0.045",0.053,0.128,0.111,18.1,0.0
Austin Reaves,24,SG,LAL,64,1843,579,14.9,15.4,0.059,0.059,0.119,0.49,30.9,58.3
Tyus Jones,26,PG,MEM,80,1940,120,16.0,7.9,0.066,0.066,0.079,0.2,41.1,15.8
Kentavious Caldwell-Pope,29,SG,DEN,76,2381,671,11.5,11.3,0.05,0.05,0.092,0.992,32.3,91.3
Chris Paul,37,PG,PHO,59,1889,250,17.7,14.7,0.064,0.064,0.109,0.427,35.1,46.5
Ivica Zubac,25,C,LAC,76,2170,130,16.7,14.1,0.057,0.057,0.197,0.111,30.6,21.9
Quentin Grimes,22,SG,NYK,71,2121,242,11.7,5.5,0.06,0.06,0.047,0.427,34.4,20.1
Mike Conley,35,PG,"UTA, MIN",67,2029,183,16.1,13.3,"0.054, 0.065",0.058,0.142,0.111,27.6,0.0
Onyeka Okongwu,22,C,ATL,80,1849,131,19.4,14.0,0.09,0.09,0.114,0.2,45.0,22.8
De'Anthony Melton,24,SG,PHI,77,2150,274,12.7,12.6,0.062,0.062,0.1,0.507,40.9,50.7
