Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
James Harden,25,SG,HOU,81,2981,26.7,24.8,0.127,0.127,0.181,0.533,86.7,96.5
Stephen Curry,26,PG,GSW,80,2613,28.0,24.5,0.128,0.128,0.161,0.952,104.6,153.3
LeBron James,30,SF,CLE,69,2493,25.9,25.3,0.123,0.123,0.183,0.817,79.5,149.5
Damian Lillard,24,PG,POR,82,2925,20.7,15.0,0.096,0.096,0.166,0.111,59.7,18.4
Klay Thompson,24,SG,GSW,77,2455,20.8,14.8,0.095,0.095,0.097,0.952,77.6,92.3
LaMarcus Aldridge,29,PF,POR,71,2512,22.8,16.7,0.106,0.106,0.185,0.111,65.9,20.5
Anthony Davis,21,PF,NOP,68,2455,30.8,28.5,0.133,0.133,0.411,0.0,73.0,0.0
Kyrie Irving,22,PG,CLE,75,2730,21.5,20.9,0.102,0.102,0.151,0.817,65.9,123.4
Chris Paul,29,PG,LAC,82,2857,26.0,25.7,0.119,0.119,0.212,0.422,81.3,89.5
Monta Ellis,29,SG,DAL,80,2699,16.5,19.5,0.059,0.059,0.219,0.111,36.0,24.3
Blake Griffin,25,PF,LAC,67,2356,22.8,24.8,0.104,0.104,0.205,0.422,71.0,86.5
Pau Gasol,34,PF,CHI,78,2681,22.7,20.1,0.128,0.128,0.154,0.4,78.1,61.6
Marc Gasol,30,C,MEM,81,2687,21.7,21.3,0.095,0.095,0.147,0.427,63.7,62.8
John Wall,24,PG,WAS,79,2837,19.9,19.2,0.101,0.101,0.16,0.457,56.7,73.1
Dirk Nowitzki,36,PF,DAL,77,2282,19.2,18.0,0.069,0.069,0.202,0.111,42.1,22.4
Tyreke Evans,25,SG,NOP,79,2690,17.7,10.8,0.076,0.076,0.156,0.0,41.7,0.0
Jimmy Butler,25,SG,CHI,65,2513,21.3,20.8,0.12,0.12,0.159,0.4,73.2,63.6
JJ Redick,30,SG,LAC,78,2409,16.2,10.2,0.074,0.074,0.084,0.422,50.5,35.4
Kyle Lowry,28,PG,TOR,70,2414,19.3,8.1,0.105,0.105,0.08,0.0,62.8,0.0
Lou Williams,28,SG,TOR,80,2016,19.9,11.6,0.109,0.109,0.115,0.0,65.2,0.0
Brook Lopez,26,C,BRK,72,2100,22.7,21.0,0.11,0.11,0.205,0.2,50.9,41.0
Kevin Love,26,PF,CLE,75,2532,18.8,20.0,0.089,0.089,0.145,0.817,57.5,118.5
Paul Millsap,29,PF,ATL,73,2390,20.0,16.4,0.094,0.094,0.118,0.49,68.8,57.8
DeMar DeRozan,25,SG,TOR,60,2100,17.4,15.7,0.095,0.095,0.155,0.0,56.8,0.0
Jeff Green,28,SF,"BOS, MEM",78,2454,14.2,7.9,"0.054, 0.062",0.059,"0.0, 0.054",0.427,35.2,23.1
Enes Freedom,22,C,"UTA, OKC",75,2135,24.9,,"0.076, 0.095",0.083,0,0.0,41.1,0.0
Jeff Teague,26,PG,ATL,73,2228,20.6,17.8,0.097,0.097,0.128,0.49,71.0,62.7
Al Horford,28,C,ATL,76,2318,21.4,19.8,0.1,0.1,0.142,0.49,73.2,69.6
Joe Johnson,33,SG,BRK,80,2791,14.1,14.2,0.068,0.068,0.139,0.2,31.5,27.8
Zach Randolph,33,PF,MEM,71,2304,19.5,13.3,0.085,0.085,0.092,0.427,57.0,39.3
Reggie Jackson,24,PG,"OKC, DET",77,2268,19.8,,"0.06, 0.082",0.068,0,0.0,32.6,0.0
Mike Conley,27,PG,MEM,70,2225,18.6,17.5,0.081,0.081,0.121,0.427,54.4,51.7
Isaiah Thomas,25,PG,"PHO, BOS",67,1726,22.3,17.9,"0.093, 0.083",0.09,0.48,0.0,43.1,0.0
Avery Bradley,24,SG,BOS,77,2428,11.5,8.2,0.043,0.043,0.22,0.0,21.0,0.0
Thaddeus Young,26,PF,"MIN, BRK",76,2434,17.1,10.5,"0.056, 0.083",0.066,0.103,0.2,21.1,0.0
Tim Duncan,38,C,SAS,77,2227,22.6,24.2,0.097,0.097,0.166,0.273,65.1,45.3
Brandon Knight,23,SG,"MIL, PHO",63,2035,10.5,,"0.072, 0.05",0.068,0.0,0.0,33.9,0.0
Kawhi Leonard,23,SF,SAS,64,2033,22.0,19.9,0.095,0.095,0.136,0.273,63.7,37.1
Khris Middleton,23,SF,MIL,79,2378,15.6,12.7,0.061,0.061,0.11,0.2,30.5,22.0
Trevor Ariza,29,SF,HOU,82,2930,12.7,12.9,0.061,0.061,0.094,0.533,41.7,50.1
Chandler Parsons,26,SF,DAL,66,2186,16.3,2.9,0.058,0.058,0.033,0.111,35.4,0.0
Arron Afflalo,29,SG,"DEN, POR",78,2502,8.2,-5.0,"0.049, 0.038",0.045,-0.055,0.111,19.8,0.0
Giannis Antetokounmpo,20,SG,MIL,81,2541,14.8,10.9,0.058,0.058,0.094,0.2,29.0,18.8
Josh Smith,29,PF,"DET, HOU",83,2300,15.2,16.5,"0.059, 0.072",0.068,0.12,0.533,40.3,0.0
Jamal Crawford,34,SG,LAC,64,1703,16.6,10.0,0.076,0.076,0.083,0.422,51.9,35.0
Marcin Gortat,30,C,WAS,82,2453,18.2,19.4,0.092,0.092,0.162,0.457,51.6,74.0
Tony Parker,32,PG,SAS,68,1953,15.9,6.5,0.069,0.069,0.045,0.273,46.3,12.3
Michael Carter-Williams,23,PG,"PHI, MIL",66,2149,16.3,11.5,"0.05, 0.064",0.055,0.099,0.2,19.0,0.0
Mo Williams,32,PG,"MIN, CHO",68,1980,16.9,,"0.054, 0.08",0.064,0,0.0,19.1,0.0
