Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Shaquille O'Neal,22,C,ORL,79,2923,805,28.6,26.1,0.167,0.167,0.205,0.616,116.1,126.3
David Robinson,29,C,SAS,81,3074,623,29.1,22.6,0.163,0.163,0.179,0.611,123.2,109.4
Karl Malone,31,PF,UTA,82,3126,216,25.1,24.6,0.129,0.129,0.292,0.222,94.4,64.8
Hakeem Olajuwon,32,C,HOU,72,2853,929,26.0,26.7,0.121,0.121,0.203,0.877,69.3,178.0
Patrick Ewing,32,C,NYK,79,2920,399,21.9,18.9,0.149,0.149,0.178,0.44,100.0,78.3
Scottie Pippen,29,SF,CHI,79,3014,396,22.6,18.9,0.104,0.104,0.157,0.386,59.6,60.6
Gary Payton,26,PG,SEA,82,3015,172,21.3,12.1,0.119,0.119,0.149,0.125,82.7,18.6
Clyde Drexler,32,SG,"POR, HOU",76,2728,849,22.1,21.1,"0.106, 0.103",0.105,0.161,0.877,57.9,0.0
Alonzo Mourning,24,C,CHH,77,2941,174,20.1,21.3,0.115,0.115,0.295,0.125,70.2,36.9
Anfernee Hardaway,23,PG,ORL,77,2901,849,20.8,19.1,0.121,0.121,0.15,0.616,84.1,92.4
Clifford Robinson,28,SF,POR,75,2725,119,18.3,8.5,0.086,0.086,0.159,0.0,46.2,0.0
Reggie Miller,29,SG,IND,81,2665,641,20.1,21.8,0.114,0.114,0.182,0.619,72.3,112.7
Detlef Schrempf,32,SF,SEA,82,2886,153,20.3,13.3,0.113,0.113,0.163,0.125,78.5,20.4
Charles Barkley,31,PF,PHO,68,2382,390,25.2,26.6,0.122,0.122,0.173,0.471,87.8,81.5
Shawn Kemp,25,PF,SEA,82,2679,160,21.7,26.6,0.121,0.121,0.327,0.125,84.1,40.9
Larry Johnson,25,PF,CHH,81,3234,172,17.1,17.6,0.098,0.098,0.244,0.125,59.8,30.5
Sean Elliott,26,SF,SAS,81,2858,574,16.0,14.5,0.09,0.09,0.115,0.611,68.0,70.3
Rik Smits,28,C,IND,78,2381,546,19.5,22.1,0.111,0.111,0.184,0.619,70.4,113.9
Mookie Blaylock,27,PG,ATL,80,3069,121,19.2,14.8,0.11,0.11,0.265,0.0,56.3,0.0
Dominique Wilkins,35,SF,BOS,77,2423,150,16.3,19.5,0.09,0.09,0.35,0.125,38.4,43.8
Nick Van Exel,23,PG,LAL,80,2944,464,16.3,16.5,0.083,0.083,0.169,0.386,48.6,65.2
Jeff Hornacek,31,SG,UTA,81,2696,178,18.6,14.7,0.096,0.096,0.175,0.222,70.3,38.8
Steve Smith,25,SG,"MIA, ATL",80,2665,108,16.1,17.5,"0.11, 0.093",0.093,0.313,0.0,47.5,0.0
Dan Majerle,29,SF,PHO,82,3091,307,15.1,9.7,0.073,0.073,0.063,0.471,52.6,29.7
Vlade Divac,26,C,LAL,80,2807,388,20.5,14.7,0.104,0.104,0.15,0.386,60.8,57.9
Cedric Ceballos,25,SF,LAL,58,2029,340,19.9,12.8,0.101,0.101,0.131,0.386,59.1,50.6
Dee Brown,26,SG,BOS,79,2792,172,15.7,15.7,0.087,0.087,0.282,0.125,37.1,35.2
John Starks,29,SG,NYK,80,2725,380,13.8,15.0,0.094,0.094,0.141,0.44,63.1,62.0
Rod Strickland,28,PG,POR,64,2267,126,21.6,19.5,0.101,0.101,0.364,0.0,54.2,0.0
John Stockton,32,PG,UTA,82,2867,193,23.3,19.5,0.12,0.12,0.232,0.222,87.8,51.5
Nick Anderson,27,SG,ORL,76,2588,814,17.5,14.2,0.102,0.102,0.112,0.616,70.9,69.0
Hersey Hawkins,28,SG,CHH,82,2731,130,16.3,12.9,0.093,0.093,0.179,0.125,56.7,22.4
Mahmoud Abdul-Rauf,25,PG,DEN,73,2082,76,17.8,10.2,0.094,0.094,0.0,0.0,47.0,0.0
Kevin Willis,32,PF,"ATL, MIA",67,2390,0,16.1,,"0.087, 0.091",0.091,0.0,0.0,35.8,0.0
B.J. Armstrong,27,PG,CHI,82,2577,288,15.1,13.0,0.069,0.069,0.108,0.386,39.5,41.7
Dino Radja,27,PF,BOS,66,2147,153,17.9,11.5,0.099,0.099,0.206,0.125,42.3,25.8
Avery Johnson,29,PG,SAS,82,3011,575,15.7,16.8,0.088,0.088,0.133,0.611,66.5,81.3
Derrick McKey,28,SF,IND,81,2805,592,15.0,13.8,0.085,0.085,0.115,0.619,53.9,71.2
Stacey Augmon,26,SG,ATL,76,2362,52,16.0,16.7,0.092,0.092,0.299,0.0,47.1,0.0
Sam Perkins,33,C,SEA,82,2356,141,16.2,14.4,0.09,0.09,0.177,0.125,62.5,22.1
Kendall Gill,26,SG,SEA,73,2125,72,15.2,10.5,0.085,0.085,0.129,0.125,59.1,0.0
Reggie Williams,30,SF,DEN,74,2198,84,16.9,8.5,0.089,0.089,0.0,0.0,44.5,0.0
Chris Mills,25,SF,CLE,80,2814,139,11.6,14.8,0.065,0.065,0.282,0.125,34.1,35.2
Rodney Rogers,23,PF,DEN,80,2142,76,15.2,11.5,0.08,0.08,0.0,0.0,40.0,0.0
Tom Gugliotta,25,SF,"WSB, GSW, MIN",77,2568,0,18.4,,"0.095, 0.054, 0.095",0.074,0,0.0,20.6,0.0
Charles Smith,29,SF,NYK,76,2150,303,13.9,13.4,0.095,0.095,0.126,0.44,63.7,55.4
Tyrone Hill,26,C,CLE,70,2397,139,16.8,5.9,0.094,0.094,0.113,0.125,49.3,14.1
Sherman Douglas,28,PG,BOS,65,2048,168,17.0,9.0,0.094,0.094,0.162,0.125,40.1,20.2
Horace Grant,29,PF,ORL,74,2693,869,16.9,16.1,0.099,0.099,0.127,0.616,68.8,78.2
Dikembe Mutombo,28,C,DEN,82,3100,84,17.0,7.6,0.09,0.09,0.0,0.0,45.0,0.0
