Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Michael Jordan,34,SG,CHI,82,3181,25.2,28.1,0.123,0.123,0.204,0.912,93.0,186.0
Karl Malone,34,PF,UTA,81,3030,27.9,24.2,0.156,0.156,0.176,0.775,117.9,136.4
Tim Duncan,21,PF,SAS,82,3204,22.6,20.4,0.133,0.133,0.197,0.323,90.8,63.6
Shaquille O'Neal,25,C,LAL,60,2175,28.8,31.0,0.144,0.144,0.213,0.518,107.1,110.3
Reggie Miller,32,SG,IND,81,2795,19.8,17.4,0.116,0.116,0.134,0.65,82.0,87.1
Vin Baker,26,C,SEA,82,2944,20.4,19.5,0.113,0.113,0.165,0.3,84.1,49.5
David Robinson,32,C,SAS,73,2457,27.8,24.1,0.163,0.163,0.233,0.323,111.3,75.3
Gary Payton,29,PG,SEA,82,3145,21.6,23.0,0.12,0.12,0.194,0.3,89.3,58.2
Tim Hardaway,31,PG,MIA,81,3031,20.6,21.7,0.097,0.097,0.247,0.222,65.1,54.8
Kevin Garnett,21,PF,MIN,82,3222,20.4,15.5,0.097,0.097,0.187,0.222,53.3,41.5
Allan Houston,26,SG,NYK,82,2848,15.1,14.0,0.08,0.08,0.12,0.3,41.9,36.0
Sam Cassell,28,PG,NJN,75,2606,21.0,4.4,0.109,0.109,0.091,0.0,57.1,0.0
Steve Smith,28,SG,ATL,73,2857,18.8,24.2,0.095,0.095,0.301,0.125,58.0,37.6
Isaiah Rider,26,SG,POR,74,2786,15.2,12.3,0.071,0.071,0.127,0.125,39.8,15.9
Stephon Marbury,20,PG,MIN,82,3112,16.3,10.8,0.077,0.077,0.13,0.222,42.3,28.9
Shawn Kemp,28,PF,CLE,80,2769,17.5,25.9,0.101,0.101,0.318,0.125,57.9,39.8
Eddie Jones,26,SG,LAL,80,2910,18.0,20.6,0.09,0.09,0.142,0.518,67.0,73.6
Kerry Kittles,23,SG,NJN,77,2814,17.5,13.8,0.091,0.091,0.284,0.0,47.7,0.0
Kevin Willis,35,PF,HOU,81,2528,18.3,13.2,0.102,0.102,0.212,0.222,51.0,47.1
Clyde Drexler,35,SG,HOU,70,2473,19.8,14.2,0.11,0.11,0.228,0.222,55.0,50.6
Jerry Stackhouse,23,SG,"PHI, DET",79,2545,16.8,,"0.059, 0.085",0.078,0,0.0,33.9,0.0
Jim Jackson,27,SG,"PHI, GSW",79,3046,13.2,,"0.052, 0.059",0.055,0,0.0,17.3,0.0
Detlef Schrempf,35,SF,SEA,78,2742,18.7,18.4,0.104,0.104,0.155,0.3,77.4,46.5
Antonio McDyess,23,PF,PHO,81,2441,20.3,20.7,0.1,0.1,0.29,0.125,68.3,36.2
Damon Stoudamire,24,PG,"TOR, POR",71,2839,14.5,16.0,"0.076, 0.068",0.074,0.165,0.125,22.0,0.0
Kobe Bryant,19,SF,LAL,79,2056,18.5,12.8,0.092,0.092,0.088,0.518,68.4,45.6
Keith Van Horn,22,PF,NJN,62,2325,15.7,15.1,0.081,0.081,0.311,0.0,42.4,0.0
Rik Smits,31,C,IND,73,2085,19.9,19.6,0.117,0.117,0.151,0.65,82.7,98.2
Wesley Person,26,SG,CLE,82,3198,15.1,10.4,0.087,0.087,0.128,0.125,49.9,16.0
Arvydas Sabonis,33,C,POR,73,2333,20.9,16.4,0.098,0.098,0.169,0.125,55.0,21.1
Joe Smith,22,PF,"GSW, PHI",79,2344,12.9,,"0.067, 0.051",0.061,0,0.0,17.0,0.0
Jeff Hornacek,34,SG,UTA,80,2460,19.3,12.1,0.108,0.108,0.088,0.775,81.6,68.2
Zydrunas Ilgauskas,22,C,CLE,82,2379,19.7,16.3,0.114,0.114,0.2,0.125,65.3,25.0
Clifford Robinson,31,SF,PHO,80,2359,17.4,2.9,0.086,0.086,0.041,0.125,58.7,0.0
Rasheed Wallace,23,PF,POR,77,2896,14.9,12.4,0.07,0.07,0.128,0.125,39.3,16.0
Alonzo Mourning,27,C,MIA,58,1939,22.4,23.1,0.105,0.105,0.263,0.222,70.5,58.4
Dikembe Mutombo,31,C,ATL,82,2917,19.8,14.3,0.1,0.1,0.178,0.125,61.0,22.2
Kendall Gill,29,SF,NJN,81,2733,14.9,13.7,0.077,0.077,0.282,0.0,40.3,0.0
Larry Johnson,28,SF,NYK,70,2412,15.8,16.0,0.084,0.084,0.137,0.3,44.0,41.1
Rex Chapman,30,SG,PHO,68,2263,14.4,4.7,0.071,0.071,0.066,0.125,48.5,0.0
John Starks,32,SG,NYK,82,2188,14.3,20.5,0.076,0.076,0.176,0.3,39.8,52.8
Isaac Austin,28,C,"MIA, LAC",78,2266,15.6,,"0.079, 0.077",0.078,0.0,0.0,40.7,0.0
Charles Barkley,34,PF,HOU,68,2243,21.6,16.2,0.12,0.12,0.26,0.222,60.0,0.0
Christian Laettner,28,PF,ATL,74,2282,18.5,12.8,0.093,0.093,0.159,0.125,56.7,0.0
Voshon Lenard,24,SG,MIA,81,2621,13.3,11.0,0.063,0.063,0.125,0.222,42.3,27.8
Sam Mitchell,34,SF,MIN,81,2239,15.8,13.4,0.075,0.075,0.161,0.222,41.2,35.7
Alan Henderson,25,PF,ATL,69,2000,18.4,16.2,0.093,0.093,0.201,0.125,56.7,25.1
Rick Fox,28,SF,LAL,82,2709,12.5,13.9,0.062,0.062,0.096,0.518,46.1,49.7
Jason Kidd,24,PG,PHO,82,3118,16.4,16.3,0.081,0.081,0.229,0.125,55.3,28.6
Dale Ellis,37,SF,SEA,79,1939,16.6,10.0,0.092,0.092,0.084,0.3,68.4,25.2
Chris Mullin,34,SF,IND,82,2177,16.9,13.9,0.099,0.099,0.107,0.65,70.0,69.6
Mookie Blaylock,30,PG,ATL,70,2700,16.1,21.1,0.081,0.081,0.262,0.125,49.4,32.8
Chauncey Billups,21,PG,"BOS, TOR",80,2216,11.1,,"0.074, 0.048",0.065,0,0.0,24.1,0.0
Dennis Scott,29,SF,"DAL, PHO",81,2290,11.9,8.3,"0.059, 0.059",0.059,0.116,0.125,23.7,0.0
Nick Van Exel,26,PG,LAL,64,2053,17.8,11.5,0.089,0.089,0.079,0.518,66.2,40.9
Hersey Hawkins,31,SG,SEA,82,2597,15.4,21.6,0.086,0.086,0.182,0.3,64.0,54.6
Scottie Pippen,32,SF,CHI,44,1652,20.4,19.5,0.1,0.1,0.142,0.912,75.6,129.5
Jayson Williams,29,C,NJN,65,2343,18.7,15.7,0.097,0.097,0.323,0.0,50.8,0.0
Cedric Henderson,22,SF,CLE,82,2527,10.7,4.8,0.062,0.062,0.059,0.125,35.5,7.4
Elden Campbell,29,PF,LAL,81,1784,16.4,14.6,0.082,0.082,0.1,0.518,61.0,51.8
Theo Ratliff,24,C,"DET, PHI",82,2447,17.2,,"0.066, 0.068",0.067,0,0.0,26.9,0.0
Tyrone Corbin,35,SF,ATL,79,2699,12.0,4.6,0.061,0.061,0.057,0.125,37.2,7.1
Antonio Davis,29,PF,IND,82,2191,15.3,14.2,0.09,0.09,0.11,0.65,63.6,71.5
Terry Porter,34,PG,MIN,82,1786,17.3,17.0,0.082,0.082,0.205,0.222,45.0,45.5
Chris Mills,28,SF,NYK,80,2183,12.7,11.3,0.068,0.068,0.097,0.3,35.6,29.1
Hakeem Olajuwon,35,C,HOU,47,1633,20.8,18.8,0.115,0.115,0.302,0.222,57.5,67.0
Jalen Rose,25,SF,IND,82,1706,14.1,13.1,0.083,0.083,0.101,0.65,58.7,65.6
Derek Anderson,23,SF,CLE,66,1839,15.3,15.1,0.088,0.088,0.186,0.125,50.4,23.2
John Stockton,35,PG,UTA,64,1858,21.8,20.0,0.122,0.122,0.145,0.775,92.2,112.4
Avery Johnson,32,PG,SAS,75,2674,14.1,19.5,0.083,0.083,0.188,0.323,56.7,60.7
Ron Harper,34,PG,CHI,82,2284,14.7,13.3,0.072,0.072,0.097,0.912,54.4,88.5
Otis Thorpe,35,PF,"VAN, SAC",74,2197,14.4,,"0.068, 0.075",0.071,0,0.0,19.0,0.0
Rony Seikaly,32,C,"ORL, NJN",56,1636,6.8,20.1,"0.073, 0.035",0.067,0.414,0.0,33.6,0.0
Kenny Anderson,27,PG,"POR, BOS",61,1858,20.4,,"0.062, 0.098",0.071,0.0,0.0,36.9,0.0
Bryon Russell,27,SF,UTA,82,2219,12.9,12.8,0.072,0.072,0.093,0.775,54.4,72.1
Brian Grant,25,SF,POR,61,1921,16.7,19.5,0.078,0.078,0.201,0.125,43.8,25.1
Clarence Weatherspoon,27,PF,"PHI, GSW",79,2325,14.4,,"0.054, 0.064",0.058,0,0.0,18.2,0.0
Brevin Knight,22,PG,CLE,80,2483,17.1,8.9,0.099,0.099,0.109,0.125,56.7,13.6
Jamal Mashburn,25,SF,MIA,48,1729,14.1,2.1,0.066,0.066,0.024,0.222,44.3,5.3
Jaren Jackson,30,SG,SAS,82,2226,9.7,7.7,0.057,0.057,0.074,0.323,38.9,23.9
Charles Oakley,34,PF,NYK,79,2734,13.1,11.1,0.07,0.07,0.095,0.3,36.7,28.5
P.J. Brown,28,PF,MIA,74,2362,15.0,11.6,0.071,0.071,0.132,0.222,47.6,29.3
Steve Nash,23,PG,PHO,76,1664,15.6,16.5,0.077,0.077,0.231,0.125,52.6,0.0
Shandon Anderson,24,SG,UTA,82,1602,15.7,11.6,0.088,0.088,0.084,0.775,66.5,65.1
Mark Jackson,32,PG,IND,82,2413,17.2,17.5,0.101,0.101,0.135,0.65,71.4,87.8
Matt Maloney,26,PG,HOU,78,2217,10.5,8.0,0.058,0.058,0.129,0.222,29.0,28.6
Luc Longley,29,C,CHI,58,1703,13.5,12.3,0.066,0.066,0.089,0.912,49.9,81.2
Dee Brown,29,SG,"BOS, TOR",72,1719,16.8,,"0.054, 0.072",0.062,0,0.0,19.5,0.0
Chris Gatling,30,PF,NJN,57,1359,16.0,20.4,0.083,0.083,0.42,0.0,43.5,0.0
Charlie Ward,27,PG,NYK,82,2317,15.6,16.6,0.083,0.083,0.142,0.3,43.5,42.6
Sherman Douglas,31,PG,NJN,80,1699,15.6,19.1,0.081,0.081,0.393,0.0,42.4,0.0
Howard Eisley,25,PG,UTA,82,1726,13.6,11.3,0.076,0.076,0.082,0.775,57.5,63.6
Eddie Johnson,38,SF,HOU,75,1490,13.1,5.8,0.073,0.073,0.093,0.222,36.5,0.0
Brent Barry,26,SG,"LAC, MIA",58,1600,11.2,,"0.074, 0.053",0.068,0.0,0.222,21.3,0.0
Gary Trent,23,PF,"POR, TOR",54,1360,14.9,,"0.078, 0.064",0.075,0.0,0.0,36.2,0.0
Dale Davis,28,C,IND,78,2174,15.2,15.7,0.089,0.089,0.121,0.65,62.9,78.6
Adam Keefe,27,C,UTA,80,2047,14.5,8.6,0.081,0.081,0.063,0.775,61.2,48.8
Mario Elie,34,SF,HOU,73,1988,12.9,8.0,0.072,0.072,0.129,0.222,36.0,28.6
Walt Williams,27,SF,"TOR, POR",59,1470,14.0,20.5,"0.056, 0.066",0.061,0.211,0.125,24.6,0.0
Jason Caffey,24,PF,"CHI, GSW",80,1423,13.4,,"0.07, 0.06",0.066,0.0,0.0,38.8,0.0
Sam Perkins,36,PF,SEA,81,1675,13.6,9.4,0.076,0.076,0.079,0.3,56.5,23.7
Vitaly Potapenko,22,C,CLE,80,1412,11.0,4.6,0.063,0.063,0.057,0.125,36.1,0.0
Cherokee Parks,25,C,MIN,79,1703,13.6,0.0,0.065,0.065,0.0,0.222,35.7,0.0
Eldridge Recasner,30,SG,ATL,59,1454,13.0,12.4,0.066,0.066,0.154,0.125,40.3,0.0
Patrick Ewing,35,C,NYK,26,848,23.3,10.7,0.124,0.124,0.092,0.3,65.0,27.6
Robert Horry,27,PF,LAL,72,2192,14.4,16.1,0.072,0.072,0.111,0.518,53.6,57.5
Cedric Ceballos,28,SF,"PHO, DAL",47,990,19.4,,"0.094, 0.093",0.094,0.0,0.0,53.6,0.0
Travis Best,25,PG,IND,82,1547,13.6,11.6,0.08,0.08,0.09,0.65,56.6,58.5
Dan Majerle,32,SG,MIA,72,1928,12.2,10.9,0.057,0.057,0.124,0.222,38.2,0.0
Vinny Del Negro,31,SG,SAS,54,1721,11.1,12.7,0.065,0.065,0.123,0.323,44.4,39.7
Eric Murdock,29,PG,MIA,82,1395,15.7,18.4,0.074,0.074,0.209,0.222,49.7,46.4
Cory Alexander,24,PG,"SAS, DEN",60,1298,17.8,,"0.065, 0.093",0.076,0.0,0.0,32.2,0.0
Kevin Johnson,31,PG,PHO,50,1290,15.6,18.4,0.077,0.077,0.258,0.125,52.6,32.2
Derek Fisher,23,PG,LAL,82,1760,12.9,12.6,0.064,0.064,0.087,0.518,47.6,45.1
Anthony Peeler,28,SG,"VAN, MIN",38,1193,15.0,16.7,"0.079, 0.071",0.073,0.201,0.222,34.6,0.0
Terry Cummings,36,PF,"PHI, NYK",74,1185,14.6,9.4,"0.051, 0.078",0.062,0.081,0.3,28.0,0.0
Matt Bullard,30,SF,HOU,67,1190,13.8,9.8,0.077,0.077,0.158,0.222,38.5,0.0
Stanley Roberts,27,C,MIN,74,1328,11.9,-1.6,0.057,0.057,-0.019,0.222,31.3,0.0
George McCloud,30,SF,PHO,63,1213,12.7,15.9,0.062,0.062,0.223,0.125,42.3,27.9
Monty Williams,26,SF,SAS,72,1314,11.3,12.6,0.066,0.066,0.122,0.323,45.1,0.0
Greg Foster,29,C,UTA,78,1446,8.9,5.6,0.05,0.05,0.041,0.775,37.8,31.8
Chris Childs,30,PG,NYK,68,1599,11.6,7.1,0.062,0.062,0.061,0.3,32.5,18.3
David Benoit,29,SF,"NJN, ORL",77,1123,11.8,,"0.052, 0.054",0.053,0.0,0.0,27.2,0.0
Greg Anthony,30,PG,SEA,80,1021,16.8,2.5,0.093,0.093,0.021,0.3,69.2,6.3
Scott Burrell,27,SF,CHI,80,1096,15.7,13.5,0.077,0.077,0.098,0.912,58.2,89.4
Chuck Person,33,PF,SAS,61,1455,8.3,7.6,0.049,0.049,0.073,0.323,33.5,23.6
Brent Price,29,PG,HOU,72,1332,10.9,8.2,0.061,0.061,0.132,0.222,30.5,0.0
Stacey Augmon,29,SG,POR,71,1445,10.3,8.2,0.048,0.048,0.084,0.125,26.9,0.0
Will Perdue,32,C,SAS,79,1491,14.8,11.6,0.087,0.087,0.112,0.323,59.4,36.2
Chucky Brown,29,SF,ATL,77,1202,10.5,10.2,0.053,0.053,0.127,0.125,32.3,0.0
Antoine Carr,36,PF,UTA,66,1086,9.8,8.2,0.055,0.055,0.06,0.775,41.6,46.5
Steve Kerr,32,PG,CHI,50,1119,12.9,11.3,0.063,0.063,0.082,0.912,47.6,74.8
Dennis Rodman,36,PF,CHI,80,2856,12.4,10.8,0.061,0.061,0.078,0.912,46.1,71.1
Brian Shaw,31,PG,"GSW, PHI",59,1530,10.0,,"0.039, 0.039",0.039,0,0.0,11.0,0.0
Derrick McKey,31,SF,IND,57,1316,10.7,6.5,0.063,0.063,0.05,0.65,44.5,32.5
Othella Harrington,24,PF,HOU,58,903,13.7,30.0,0.076,0.076,0.482,0.222,38.0,0.0
Mark Strickland,27,PF,MIA,51,847,17.4,17.9,0.082,0.082,0.204,0.222,55.0,0.0
Tom Hammonds,30,PF,MIN,57,1140,12.1,9.7,0.057,0.057,0.117,0.222,31.3,26.0
Shawn Respert,25,SG,"TOR, DAL",57,911,10.3,,"0.056, 0.049",0.055,0,0.0,11.1,0.0
Rodrick Rhodes,24,SF,HOU,58,1070,7.7,30.8,0.043,0.043,0.495,0.222,21.5,0.0
Aaron McKie,25,SG,"DET, PHI",81,1813,8.1,,"0.051, 0.032",0.038,0,0.0,15.3,0.0
Alvin Williams,23,SG,"POR, TOR",54,1071,7.3,,"0.052, 0.031",0.047,0.0,0.0,23.6,0.0
Brian Evans,24,SF,"ORL, NJN",72,893,12.0,4.1,"0.055, 0.062",0.058,0.084,0.0,29.4,0.0
Greg Ostertag,24,C,UTA,63,1288,12.5,12.9,0.07,0.07,0.094,0.775,52.9,72.8
Aaron Williams,26,PF,SEA,65,757,13.4,0.3,0.074,0.074,0.003,0.3,55.1,0.0
Mark Bryant,32,C,PHO,70,1110,10.2,16.1,0.05,0.05,0.226,0.125,34.2,0.0
Danny Ferry,31,PF,CLE,69,1034,7.5,-8.5,0.043,0.043,-0.104,0.125,24.6,0.0
Randy Brown,29,PG,CHI,71,1147,10.1,2.5,0.049,0.049,0.018,0.912,37.0,0.0
Kelvin Cato,23,C,POR,74,1007,13.3,16.8,0.062,0.062,0.173,0.125,34.8,0.0
Jermaine O'Neal,19,PF,POR,60,808,12.7,-5.3,0.06,0.06,-0.055,0.125,33.7,0.0
Bob Sura,24,SG,CLE,46,942,9.6,2.6,0.055,0.055,0.032,0.125,31.5,0.0
Fred Hoiberg,25,SG,IND,65,874,11.2,19.1,0.066,0.066,0.147,0.65,46.7,0.0
Hot Rod Williams,35,C,PHO,71,1333,11.5,4.6,0.057,0.057,0.065,0.125,38.9,0.0
Corie Blount,29,PF,LAL,70,1029,11.9,12.3,0.059,0.059,0.085,0.518,43.9,44.0
Michael Smith,25,PF,"SAC, VAN",48,1053,15.0,,"0.067, 0.078",0.074,0,0.0,19.6,0.0
Bobby Hurley,26,PG,"SAC, VAN",61,875,7.9,,"0.053, 0.041",0.048,0,0.0,13.9,0.0
Jim McIlvaine,25,C,SEA,78,1211,9.5,5.2,0.053,0.053,0.044,0.3,39.4,0.0
Jerome Kersey,35,SF,SEA,37,717,12.6,14.1,0.07,0.07,0.119,0.3,52.1,35.7
Chris Morris,32,SF,UTA,54,538,14.7,10.2,0.082,0.082,0.074,0.775,62.0,57.4
Terry Mills,30,PF,MIA,50,782,7.7,1.4,0.036,0.036,0.016,0.222,24.2,0.0
Eric Snow,24,PG,"SEA, PHI",64,918,12.5,,"0.012, 0.049",0.039,0.0,0.0,16.0,0.0
Buck Williams,37,PF,NYK,41,738,12.3,15.0,0.065,0.065,0.129,0.3,34.1,0.0
Jud Buechler,29,SF,CHI,74,608,14.1,10.8,0.069,0.069,0.078,0.912,52.2,0.0
Lucious Harris,27,SG,NJN,50,671,10.4,5.3,0.054,0.054,0.109,0.0,28.3,0.0
Mario Bennett,24,PF,LAL,45,354,22.2,29.5,0.111,0.111,0.203,0.518,82.6,0.0
Carl Herrera,31,PF,SAS,58,516,8.1,-0.3,0.048,0.048,-0.003,0.323,32.8,0.0
Bill Wennington,34,C,CHI,48,467,9.4,10.4,0.046,0.046,0.076,0.912,34.8,69.3
David Vaughn,24,PF,"GSW, CHI, NJN",40,489,12.1,40.7,"0.048, 0.114, 0.063",0.059,"0.0, 0.837",0.0,25.0,0.0
Chris Robinson,23,SG,"VAN, SAC",35,414,11.4,,"0.024, 0.059",0.043,0,0.0,13.1,0.0
Malik Rose,23,PF,SAS,53,429,10.1,20.9,0.059,0.059,0.202,0.323,40.3,0.0
Chris Dudley,32,C,NYK,51,858,9.5,5.7,0.051,0.051,0.049,0.3,26.7,0.0
Reggie Geary,24,PG,SAS,62,685,6.8,5.8,0.04,0.04,0.056,0.323,27.3,0.0
John Thomas,22,PF,"BOS, TOR",54,535,6.8,,"0.049, 0.029",0.041,0,0.0,15.3,0.0
Chris Crawford,22,PF,ATL,40,256,20.4,13.2,0.103,0.103,0.164,0.125,62.8,0.0
David Wingate,34,SG,SEA,58,546,8.6,30.1,0.048,0.048,0.254,0.3,35.7,0.0
Kevin Edwards,32,SG,"NJN, ORL",39,487,13.1,,"0.042, 0.06",0.048,0.0,0.0,24.5,0.0
