Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
George Gervin,29,SG,SAS,79,2817,373,24.2,18.5,0.118,0.118,0.164,0.446,69.0,73.1
Moses Malone,26,C,HOU,81,3398,136,26.8,24.3,0.17,0.17,0.465,0.143,95.4,66.5
Alex English,28,SF,DEN,82,3015,118,22.2,18.3,0.12,0.12,0.293,0.143,67.3,41.9
Julius Erving,31,SF,PHI,81,2789,780,25.9,22.5,0.132,0.132,0.182,0.704,93.3,128.1
Gus Williams,28,PG,SEA,80,2876,315,21.8,22.3,0.108,0.108,0.194,0.267,68.5,51.8
Dan Issel,33,C,DEN,81,2472,103,23.1,22.0,0.125,0.125,0.353,0.143,70.1,50.5
Kareem Abdul-Jabbar,34,C,LAL,76,2677,493,23.4,20.1,0.129,0.129,0.166,1.1,89.7,182.6
Larry Bird,25,PF,BOS,77,2923,490,22.6,17.9,0.128,0.128,0.128,0.625,98.3,80.0
Kiki Vandeweghe,23,PF,DEN,82,2775,109,18.9,22.1,0.103,0.103,0.354,0.143,57.8,50.6
Jamaal Wilkes,28,SF,LAL,82,2906,535,16.5,13.9,0.091,0.091,0.115,1.1,63.2,126.5
Mike Mitchell,26,SF,"CLE, SAS",84,3063,365,16.7,16.7,"0.06, 0.082",0.075,0.148,0.446,36.1,0.0
Ray Williams,27,SG,NJN,82,2732,77,19.0,10.7,0.103,0.103,0.0,0.0,55.3,0.0
Jack Sikma,26,C,SEA,82,3049,315,20.6,19.5,0.102,0.102,0.17,0.267,64.7,45.4
Robert Parish,28,C,BOS,80,2534,426,22.6,20.7,0.128,0.128,0.148,0.625,98.3,92.5
Sidney Moncrief,24,SG,MIL,80,2980,252,20.1,13.1,0.105,0.105,0.141,0.24,70.5,33.8
Dennis Johnson,27,SG,PHO,80,2937,271,16.7,16.2,0.1,0.1,0.126,0.182,56.1,22.9
Greg Ballard,27,SF,WSB,79,2946,268,17.9,13.4,0.116,0.116,0.152,0.291,60.8,44.2
Magic Johnson,22,SG,LAL,78,2991,562,22.9,22.5,0.126,0.126,0.186,1.1,87.6,204.6
Norm Nixon,26,PG,LAL,82,3024,549,15.3,16.9,0.084,0.084,0.14,1.1,58.4,154.0
Truck Robinson,30,PF,PHO,74,2745,213,16.1,15.7,0.096,0.096,0.122,0.182,53.9,22.2
Ron Brewer,26,SG,"SAS, CLE",72,2319,0,14.0,,"0.105, 0.059",0.075,0.0,0.0,28.4,0.0
Elvin Hayes,36,PF,HOU,82,3032,124,14.4,10.4,0.091,0.091,0.199,0.143,51.1,28.5
Mike Woodson,23,SG,"NJN, KCK",83,2331,0,17.8,,"0.082, 0.091",0.09,0.0,0.0,34.2,0.0
John Drew,27,SF,ATL,70,2040,59,18.1,5.4,0.09,0.09,0.0,0.0,46.1,0.0
Andrew Toney,24,SG,PHI,77,1909,707,17.2,17.4,0.087,0.087,0.141,0.704,61.5,99.3
Buck Williams,21,PF,NJN,82,2825,79,17.2,16.5,0.093,0.093,0.0,0.0,49.9,0.0
Cliff Robinson,21,PF,"KCK, CLE",68,2175,0,18.1,,"0.094, 0.076",0.086,0,0.0,25.4,0.0
Eddie Johnson,26,SG,ATL,68,2314,67,16.5,5.1,0.082,0.082,0.0,0.0,42.0,0.0
Lonnie Shelton,26,PF,SEA,81,2667,266,14.2,11.8,0.07,0.07,0.103,0.267,44.4,27.5
