Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Kevin Durant,24,SF,OKC,81,3119,485,28.3,26.0,0.132,0.132,0.237,0.347,96.6,82.2
LeBron James,28,PF,MIA,76,2877,960,31.6,28.1,0.164,0.164,0.175,0.881,132.0,154.2
James Harden,23,SG,HOU,78,2985,243,22.9,20.8,0.097,0.097,0.226,0.2,53.3,45.2
Carmelo Anthony,28,PF,NYK,67,2482,481,24.8,20.4,0.105,0.105,0.186,0.4,69.2,74.4
Russell Westbrook,24,PG,OKC,82,2861,68,23.9,25.6,0.112,0.112,0.233,0.347,82.0,0.0
Stephen Curry,24,PG,GSW,78,2983,497,21.3,20.5,0.13,0.13,0.172,0.4,74.5,68.8
Monta Ellis,27,SG,MIL,82,3076,152,16.2,12.3,0.071,0.071,0.199,0.0,32.9,0.0
Deron Williams,28,PG,BRK,78,2842,292,20.3,20.6,0.113,0.113,0.171,0.273,67.6,46.7
Dwyane Wade,31,SG,MIA,69,2391,782,24.0,18.7,0.125,0.125,0.117,0.881,100.6,103.1
David Lee,29,PF,GSW,79,2907,65,19.2,16.5,0.117,0.117,0.138,0.4,67.0,0.0
J.R. Smith,27,SG,NYK,80,2678,351,17.6,10.7,0.074,0.074,0.098,0.4,48.8,39.2
Blake Griffin,23,PF,LAC,80,2598,158,22.4,16.3,0.117,0.117,0.148,0.2,79.9,29.6
Brook Lopez,24,C,BRK,74,2253,263,24.7,25.2,0.137,0.137,0.209,0.273,81.9,57.1
Paul Pierce,35,SF,BOS,77,2575,255,19.1,10.6,0.094,0.094,0.144,0.2,47.6,28.8
Brandon Jennings,23,PG,MIL,80,2897,133,16.1,9.9,0.071,0.071,0.16,0.0,32.9,0.0
Paul George,22,SF,IND,79,2972,780,16.8,16.6,0.099,0.099,0.128,0.609,59.9,78.0
Rudy Gay,26,SF,"MEM, TOR",75,2687,0,17.6,,"0.068, 0.075",0.071,0.0,0.0,39.7,0.0
Klay Thompson,22,SG,GSW,82,2936,495,12.7,10.1,0.077,0.077,0.085,0.4,44.1,34.0
Tony Parker,30,PG,SAS,66,2174,765,23.0,21.5,0.104,0.104,0.142,0.848,73.5,120.4
Josh Smith,27,PF,ATL,76,2683,199,17.7,17.3,0.079,0.079,0.195,0.2,42.4,39.0
Dwight Howard,27,C,LAL,76,2722,126,19.4,19.0,0.106,0.106,0.381,0.0,58.2,0.0
Al Horford,26,C,ATL,74,2756,218,19.8,19.1,0.088,0.088,0.216,0.2,47.3,43.2
Carlos Boozer,31,PF,CHI,79,2546,431,17.1,16.7,0.109,0.109,0.128,0.325,59.8,41.6
Jamal Crawford,32,SG,LAC,76,2230,161,16.8,12.5,0.088,0.088,0.114,0.2,60.1,22.8
David West,32,PF,IND,73,2435,689,20.1,16.1,0.118,0.118,0.124,0.609,71.4,75.5
Luol Deng,27,SF,CHI,75,2903,224,15.1,8.3,0.097,0.097,0.064,0.325,53.3,20.8
Chris Bosh,28,C,MIA,74,2454,751,20.0,16.8,0.104,0.104,0.105,0.881,83.7,92.5
Tim Duncan,36,C,SAS,69,2078,735,24.4,21.3,0.11,0.11,0.14,0.848,77.8,118.7
Ty Lawson,25,PG,DEN,73,2513,236,17.9,20.4,0.085,0.085,0.199,0.2,59.1,39.8
Chris Paul,27,PG,LAC,70,2335,224,26.4,29.2,0.138,0.138,0.265,0.2,94.3,53.0
Chandler Parsons,24,SF,HOU,76,2758,238,15.3,13.5,0.065,0.065,0.147,0.2,35.7,29.4
Joe Johnson,31,SG,BRK,72,2642,271,14.1,11.7,0.078,0.078,0.097,0.273,46.6,26.5
Zach Randolph,31,PF,MEM,76,2607,554,17.9,17.7,0.087,0.087,0.144,0.516,59.4,74.3
Mike Conley,25,PG,MEM,80,2757,575,18.3,18.8,0.089,0.089,0.153,0.516,60.8,78.9
Jeff Teague,24,PG,ATL,80,2628,213,16.8,10.9,0.075,0.075,0.123,0.2,40.3,24.6
Marc Gasol,28,C,MEM,80,2796,609,19.5,19.4,0.095,0.095,0.158,0.516,64.9,81.5
JJ Redick,28,SG,"ORL, MIL",78,2379,69,11.9,8.3,"0.073, 0.052",0.065,0.135,0.0,20.1,0.0
Jeremy Lin,24,PG,HOU,82,2640,84,14.9,-0.4,0.063,0.063,-0.004,0.2,34.6,0.0
