Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
David Robinson,28,C,SAS,80,3241,30.7,22.0,0.188,0.188,0.326,0.125,126.1,40.8
Shaquille O'Neal,21,C,ORL,81,3224,28.5,20.1,0.171,0.171,0.418,0.0,104.3,0.0
Hakeem Olajuwon,31,C,HOU,80,3277,25.3,27.7,0.166,0.166,0.225,0.844,117.4,189.9
Karl Malone,30,PF,UTA,82,3329,22.9,24.6,0.133,0.133,0.216,0.51,85.9,110.2
Patrick Ewing,31,C,NYK,79,2972,22.9,20.6,0.129,0.129,0.174,0.697,89.7,121.3
Dominique Wilkins,34,SF,"ATL, LAC",74,2635,21.8,,"0.111, 0.103",0.108,0.0,0.0,62.5,0.0
Latrell Sprewell,23,SG,GSW,82,3533,15.9,15.3,0.089,0.089,0.204,0.0,54.3,0.0
Glen Rice,26,SF,MIA,81,2999,18.5,11.4,0.115,0.115,0.122,0.222,58.9,27.1
Clifford Robinson,27,C,POR,82,2853,17.4,12.6,0.104,0.104,0.159,0.125,59.6,19.9
Scottie Pippen,28,SF,CHI,72,2759,23.2,22.8,0.113,0.113,0.161,0.471,75.8,75.8
Reggie Miller,28,SG,IND,79,2638,20.2,21.9,0.097,0.097,0.185,0.65,55.6,120.2
Derrick Coleman,26,PF,NJN,77,2778,21.4,20.7,0.105,0.105,0.31,0.125,57.6,38.8
Kenny Anderson,23,PG,NJN,82,3135,18.2,13.1,0.09,0.09,0.196,0.125,49.4,24.5
Kevin Willis,31,PF,ATL,80,2867,19.4,14.5,0.102,0.102,0.119,0.36,70.9,42.8
Mahmoud Abdul-Rauf,24,PG,DEN,80,2617,16.7,11.8,0.106,0.106,0.101,0.412,54.3,41.6
Shawn Kemp,24,PF,SEA,79,2597,22.9,15.9,0.124,0.124,0.175,0.222,95.2,38.8
Rod Strickland,27,PG,POR,82,2889,19.8,24.8,0.119,0.119,0.313,0.125,68.2,39.1
Danny Manning,27,PF,"LAC, ATL",68,2520,13.8,19.6,"0.085, 0.073",0.08,0.16,0.36,36.7,0.0
Charles Barkley,30,PF,PHO,65,2298,22.8,27.8,0.111,0.111,0.23,0.471,75.8,108.3
Gary Payton,25,PG,SEA,82,2881,17.8,18.1,0.097,0.097,0.2,0.222,74.5,44.4
Steve Smith,24,SG,MIA,78,2776,17.2,18.2,0.107,0.107,0.194,0.222,54.8,43.1
Kevin Johnson,27,PG,PHO,67,2449,20.6,22.1,0.1,0.1,0.183,0.471,68.3,86.2
Chris Webber,20,C,GSW,76,2438,21.7,22.1,0.122,0.122,0.294,0.0,74.4,0.0
Dan Majerle,28,SG,PHO,80,3207,13.7,9.7,0.066,0.066,0.08,0.471,45.1,37.7
Mark Price,29,PG,CLE,76,2386,22.7,12.8,0.111,0.111,0.19,0.0,63.6,0.0
Anfernee Hardaway,22,PG,ORL,82,3015,17.4,14.3,0.105,0.105,0.297,0.0,64.0,0.0
Clyde Drexler,31,SG,POR,68,2334,18.4,22.6,0.11,0.11,0.285,0.125,63.0,35.6
