Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
James Harden,26,SG,HOU,82,3125,25.3,21.8,0.119,0.119,0.438,0.111,59.5,48.6
Stephen Curry,27,PG,GSW,79,2700,31.5,22.3,0.136,0.136,0.122,0.757,121.0,92.4
Kevin Durant,27,SF,OKC,72,2578,28.2,20.3,0.155,0.155,0.16,0.636,104.0,101.8
LeBron James,31,SF,CLE,76,2709,27.5,30.0,0.132,0.132,0.2,0.952,91.7,190.4
Damian Lillard,25,PG,POR,75,2676,22.2,19.8,0.123,0.123,0.173,0.347,66.1,60.0
Russell Westbrook,27,PG,OKC,80,2750,27.6,26.9,0.151,0.151,0.212,0.636,101.3,134.8
Paul George,25,SF,IND,81,2819,20.9,27.5,0.108,0.108,0.258,0.273,59.3,70.4
DeMar DeRozan,26,SG,TOR,78,2804,21.5,14.2,0.1,0.1,0.108,0.525,68.3,56.7
Isaiah Thomas,26,PG,BOS,82,2644,21.5,17.4,0.118,0.118,0.229,0.2,69.0,45.8
Klay Thompson,25,SG,GSW,80,2666,18.6,19.5,0.08,0.08,0.106,0.757,71.2,80.2
Kemba Walker,25,PG,CHO,81,2885,20.8,18.2,0.095,0.095,0.168,0.273,55.6,45.9
CJ McCollum,24,SG,POR,80,2780,17.7,14.0,0.098,0.098,0.122,0.347,52.6,42.3
Kyle Lowry,29,PG,TOR,77,2851,22.2,16.6,0.103,0.103,0.126,0.525,70.3,66.2
Kawhi Leonard,24,SF,SAS,72,2380,26.0,28.6,0.097,0.097,0.179,0.457,79.2,81.8
Reggie Jackson,25,PG,DET,79,2424,19.6,18.1,0.103,0.103,0.213,0.0,55.3,0.0
Chris Paul,30,PG,LAC,74,2420,26.2,33.2,0.116,0.116,0.268,0.2,74.9,53.6
Dwyane Wade,34,SG,MIA,74,2258,20.3,22.3,0.097,0.097,0.174,0.422,56.7,73.4
Paul Millsap,30,PF,ATL,81,2647,21.3,17.6,0.105,0.105,0.148,0.286,61.4,42.3
Dirk Nowitzki,37,PF,DAL,75,2364,19.0,18.7,0.08,0.08,0.269,0.111,41.0,29.9
LaMarcus Aldridge,30,PF,SAS,74,2261,22.4,25.0,0.083,0.083,0.156,0.457,67.8,71.3
Andre Drummond,22,C,DET,81,2666,21.2,17.6,0.112,0.112,0.207,0.0,60.1,0.0
Al Horford,29,C,ATL,82,2631,19.4,17.5,0.096,0.096,0.147,0.286,56.2,42.0
Jeff Teague,27,PG,ATL,79,2255,17.9,14.9,0.088,0.088,0.125,0.286,51.5,35.8
Kevin Love,27,PF,CLE,77,2424,19.0,17.9,0.091,0.091,0.119,0.952,63.2,113.3
JJ Redick,31,SG,LAC,75,2097,17.5,11.1,0.078,0.078,0.09,0.2,50.4,18.0
Avery Bradley,25,SG,BOS,76,2536,13.2,16.1,0.073,0.073,0.212,0.2,42.7,0.0
Draymond Green,25,PF,GSW,81,2808,19.3,18.6,0.083,0.083,0.102,0.757,73.9,77.2
Marcus Morris,26,SF,DET,80,2856,12.7,16.7,0.067,0.067,0.196,0.0,36.0,0.0
Monta Ellis,30,SG,IND,81,2734,13.7,13.7,0.071,0.071,0.129,0.273,39.0,35.2
Jamal Crawford,35,SG,LAC,79,2126,14.0,13.3,0.062,0.062,0.108,0.2,40.1,21.6
Tobias Harris,23,PF,"ORL, DET",76,2513,18.2,16.5,"0.069, 0.096",0.079,0.194,0.0,37.3,0.0
Kentavious Caldwell-Pope,22,SG,DET,76,2789,12.4,16.2,0.065,0.065,0.19,0.0,34.9,0.0
Nicolas Batum,27,SF,CHO,70,2448,15.6,12.1,0.071,0.071,0.112,0.273,41.5,30.6
Kyrie Irving,23,PG,CLE,53,1667,19.9,24.4,0.095,0.095,0.163,0.952,66.0,155.2
Zach Randolph,34,PF,MEM,68,2016,18.3,11.6,0.064,0.064,0.479,0.0,32.8,0.0
Hassan Whiteside,26,C,MIA,73,2125,25.6,24.3,0.122,0.122,0.19,0.422,71.4,80.2
Jae Crowder,25,SF,BOS,73,2308,15.8,6.7,0.087,0.087,0.088,0.2,50.9,17.6
Enes Freedom,23,C,OKC,82,1721,24.0,22.4,0.132,0.132,0.177,0.636,88.6,112.6
Trevor Ariza,30,SF,HOU,81,2859,12.9,1.8,0.061,0.061,0.036,0.111,30.5,4.0
Joe Johnson,34,SF,"BRK, MIA",81,2703,15.2,11.6,"0.046, 0.072",0.054,0.091,0.422,20.8,0.0
Serge Ibaka,26,PF,OKC,78,2500,13.9,15.3,0.076,0.076,0.121,0.636,51.0,77.0
DeAndre Jordan,27,C,LAC,77,2598,20.6,24.0,0.091,0.091,0.194,0.2,58.8,38.8
Wesley Matthews,29,SF,DAL,78,2644,10.9,9.7,0.046,0.046,0.139,0.111,23.6,15.4
Dwight Howard,30,C,HOU,71,2280,18.9,15.7,0.089,0.089,0.315,0.111,44.5,35.0
Ish Smith,27,PG,"NOP, PHI",77,2239,14.4,,"0.064, 0.068",0.067,0,0.0,13.6,0.0
J.R. Smith,30,SG,CLE,77,2362,12.4,12.5,0.059,0.059,0.083,0.952,41.0,79.0
Marvin Williams,29,PF,CHO,81,2338,16.8,6.0,0.077,0.077,0.055,0.273,45.0,15.0
Jeff Green,29,SF,"MEM, LAC",80,2253,12.0,13.2,"0.047, 0.053",0.049,"0.0, 0.107",0.2,27.5,21.4
Deron Williams,31,PG,DAL,65,2106,14.6,1.2,0.061,0.061,0.017,0.111,31.2,0.0
Jeremy Lin,27,SG,CHO,78,2048,13.8,14.5,0.063,0.063,0.134,0.273,36.9,36.6
Luol Deng,30,PF,MIA,74,2394,15.0,15.5,0.071,0.071,0.121,0.422,41.5,51.1
George Hill,29,PG,IND,74,2524,13.2,17.0,0.068,0.068,0.159,0.273,37.3,43.4
Kent Bazemore,26,SF,ATL,75,2083,13.4,11.9,0.066,0.066,0.1,0.286,38.6,28.6
Tony Parker,33,PG,SAS,72,1980,16.2,14.3,0.06,0.06,0.089,0.457,49.0,40.7
Evan Turner,27,SG,BOS,81,2271,13.6,9.8,0.075,0.075,0.129,0.2,43.9,25.8
Al-Farouq Aminu,25,SF,POR,82,2341,12.7,15.5,0.07,0.07,0.135,0.347,37.6,46.8
Jared Sullinger,23,PF,BOS,81,1915,16.7,5.6,0.092,0.092,0.074,0.2,53.8,0.0
Allen Crabbe,23,SG,POR,81,2105,12.2,12.8,0.067,0.067,0.112,0.347,36.0,38.9
J.J. Barea,31,PG,DAL,74,1667,15.4,2.0,0.064,0.064,0.029,0.111,32.8,3.2
Harrison Barnes,23,SF,GSW,66,2042,12.3,8.6,0.053,0.053,0.047,0.757,47.2,35.6
Markieff Morris,26,PF,"PHO, WAS",64,1629,14.0,,"0.055, 0.059",0.057,0,0.0,21.3,0.0
Raymond Felton,31,PG,DAL,80,2192,11.9,13.6,0.05,0.05,0.195,0.111,25.6,21.6
Dion Waiters,24,SG,OKC,78,2152,9.4,9.3,0.052,0.052,0.073,0.636,34.9,46.4
Courtney Lee,30,SG,"MEM, CHO",79,2334,11.2,8.5,"0.041, 0.051",0.045,"0.0, 0.079",0.273,24.1,21.6
Matt Barnes,35,SF,MEM,76,2190,11.7,7.0,0.041,0.041,0.289,0.0,21.0,0.0
C.J. Miles,28,SF,IND,64,1464,14.0,3.2,0.072,0.072,0.03,0.273,39.5,0.0
Blake Griffin,26,PF,LAC,35,1170,22.1,16.5,0.098,0.098,0.133,0.2,63.3,26.6
Mason Plumlee,25,C,POR,82,2084,17.2,15.3,0.095,0.095,0.134,0.347,51.0,46.5
Kyle Korver,34,SG,ATL,80,2401,9.7,12.3,0.048,0.048,0.103,0.286,28.1,29.5
Terrence Ross,24,SF,TOR,73,1747,12.9,10.0,0.06,0.06,0.076,0.525,41.0,39.9
Patrick Beverley,27,PG,HOU,71,2041,13.0,5.0,0.061,0.061,0.1,0.111,30.5,11.1
