Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Kevin Durant,25,SF,OKC,81,3122,29.8,22.6,0.16,0.16,0.179,0.548,115.2,98.1
LeBron James,29,PF,MIA,77,2902,29.3,31.0,0.134,0.134,0.197,0.75,88.3,147.8
Blake Griffin,24,PF,LAC,80,2863,23.9,21.7,0.111,0.111,0.163,0.376,77.1,61.3
Stephen Curry,25,PG,GSW,78,2846,24.1,18.8,0.139,0.139,0.221,0.273,86.5,60.3
James Harden,24,SG,HOU,73,2777,23.5,18.3,0.124,0.124,0.169,0.2,81.7,33.8
DeMar DeRozan,24,SG,TOR,79,3017,18.4,18.2,0.09,0.09,0.183,0.273,52.6,50.0
Paul George,23,SF,IND,80,2898,20.1,20.5,0.098,0.098,0.177,0.548,66.9,97.0
Dirk Nowitzki,35,PF,DAL,80,2628,23.6,13.9,0.116,0.116,0.132,0.273,69.4,36.0
Damian Lillard,23,PG,POR,82,2937,18.6,19.3,0.102,0.102,0.203,0.347,67.2,70.4
LaMarcus Aldridge,28,PF,POR,69,2498,21.8,21.0,0.12,0.12,0.22,0.347,79.1,76.3
Al Jefferson,29,C,CHA,73,2553,22.7,19.2,0.107,0.107,0.306,0.0,56.1,0.0
John Wall,23,PG,WAS,82,2980,19.5,14.1,0.092,0.092,0.122,0.427,49.4,52.1
Monta Ellis,28,SG,DAL,82,3023,16.8,15.4,0.082,0.082,0.146,0.273,49.0,39.9
Klay Thompson,23,SG,GSW,81,2868,14.3,12.0,0.082,0.082,0.141,0.273,51.0,38.5
Rudy Gay,27,SF,"TOR, SAC",73,2531,19.6,,"0.072, 0.081",0.079,0.0,0.0,31.2,0.0
Kyle Lowry,27,PG,TOR,79,2862,20.1,17.4,0.098,0.098,0.175,0.273,57.3,47.8
Zach Randolph,32,PF,MEM,79,2705,18.3,13.6,0.086,0.086,0.138,0.273,52.5,37.7
Wesley Matthews,27,SG,POR,82,2780,15.7,9.7,0.087,0.087,0.102,0.347,57.3,35.4
Paul Millsap,28,PF,ATL,74,2482,19.8,19.9,0.099,0.099,0.204,0.273,45.8,55.7
Jeff Teague,25,PG,ATL,79,2542,17.1,17.1,0.086,0.086,0.176,0.273,39.8,48.0
Dwight Howard,28,C,HOU,71,2396,21.3,27.2,0.112,0.112,0.25,0.2,73.8,50.0
Kemba Walker,23,PG,CHA,73,2614,16.8,19.6,0.08,0.08,0.313,0.0,41.9,0.0
Jamal Crawford,33,SG,LAC,69,2094,17.3,16.7,0.081,0.081,0.125,0.376,56.3,47.0
Chris Bosh,29,C,MIA,79,2531,19.0,18.2,0.087,0.087,0.116,0.75,57.3,87.0
