Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Michael Jordan,25,SG,CHI,81,3255,31.1,29.9,0.194,0.194,0.25,0.552,111.2,138.0
Karl Malone,25,PF,UTA,80,3126,24.4,22.1,0.166,0.166,0.37,0.0,103.3,0.0
Dale Ellis,28,SG,SEA,82,3190,19.7,14.6,0.109,0.109,0.121,0.25,62.5,30.2
Chris Mullin,25,SF,GSW,82,3093,21.9,22.2,0.123,0.123,0.222,0.35,64.5,77.7
Alex English,35,SF,DEN,82,2990,19.0,16.5,0.099,0.099,0.569,0.0,53.2,0.0
Clyde Drexler,26,SG,POR,78,3064,23.6,21.7,0.116,0.116,0.356,0.0,55.2,0.0
Dominique Wilkins,29,SF,ATL,80,2997,21.8,19.3,0.129,0.129,0.213,0.222,81.8,47.3
Tom Chambers,29,PF,PHO,81,3002,19.3,18.1,0.107,0.107,0.137,0.55,71.8,75.4
Charles Barkley,25,PF,PHI,79,3088,27.0,24.3,0.141,0.141,0.305,0.0,79.1,0.0
Hakeem Olajuwon,26,C,HOU,82,3024,25.2,24.1,0.159,0.159,0.331,0.125,87.3,41.4
Terry Cummings,27,SF,MIL,80,2824,19.7,15.5,0.096,0.096,0.122,0.231,57.4,28.2
Patrick Ewing,26,C,NYK,80,2896,22.1,19.1,0.123,0.123,0.145,0.415,78.0,60.2
Kevin McHale,31,PF,BOS,78,2876,20.3,17.4,0.091,0.091,0.281,0.0,46.6,0.0
Mitch Richmond,23,SG,GSW,79,2717,17.2,15.9,0.097,0.097,0.159,0.35,50.8,55.6
Magic Johnson,29,PG,LAL,77,2886,26.9,23.4,0.156,0.156,0.165,0.811,108.4,133.8
Xavier McDaniel,25,SF,SEA,82,2385,18.6,13.2,0.103,0.103,0.109,0.25,59.0,27.2
James Worthy,27,SF,LAL,81,2960,19.0,21.6,0.11,0.11,0.152,0.811,76.4,123.3
Kevin Johnson,22,PG,PHO,81,3179,20.5,21.5,0.113,0.113,0.162,0.55,75.8,89.1
Moses Malone,33,C,ATL,81,2878,21.2,24.1,0.126,0.126,0.266,0.222,79.9,59.1
Thurl Bailey,27,SF,UTA,82,2777,15.6,7.2,0.106,0.106,0.121,0.0,65.9,0.0
Ron Harper,25,SG,CLE,82,2851,19.8,21.1,0.115,0.115,0.274,0.222,79.9,60.8
Mark Aguirre,29,SF,"DAL, DET",80,2597,15.1,15.2,"0.081, 0.089",0.085,0.111,1.086,51.4,0.0
Eddie Johnson,29,SF,PHO,70,2043,19.4,13.8,0.107,0.107,0.104,0.55,71.8,57.2
Reggie Lewis,23,SF,BOS,81,2657,17.6,14.7,0.079,0.079,0.237,0.0,40.4,0.0
Robert Parish,35,C,BOS,80,2840,21.6,14.7,0.096,0.096,0.237,0.0,49.2,0.0
Brad Daugherty,23,C,CLE,78,2821,18.5,13.3,0.107,0.107,0.173,0.222,74.4,38.4
Isiah Thomas,27,PG,DET,80,2924,17.1,18.6,0.101,0.101,0.136,1.086,77.6,147.7
Byron Scott,27,SG,LAL,74,2605,16.6,17.1,0.096,0.096,0.121,0.811,66.7,98.1
Kevin Duckworth,24,C,POR,79,2662,13.9,6.4,0.068,0.068,0.105,0.0,32.4,0.0
Terry Porter,25,PG,POR,81,3102,17.7,19.0,0.087,0.087,0.311,0.0,41.4,0.0
Michael Adams,26,PG,DEN,77,2787,17.5,17.9,0.092,0.092,0.617,0.0,49.4,0.0
Mark Price,24,PG,CLE,75,2728,20.6,9.8,0.119,0.119,0.127,0.222,82.7,28.2
Mike Gminski,29,C,PHI,82,2739,18.5,11.9,0.096,0.096,0.149,0.0,53.9,0.0
Fat Lever,28,SG,DEN,71,2745,20.6,16.1,0.108,0.108,0.555,0.0,58.0,0.0
John Stockton,26,PG,UTA,82,3171,22.9,25.9,0.156,0.156,0.434,0.0,97.0,0.0
Adrian Dantley,33,SF,"DET, DAL",73,2422,16.4,,"0.107, 0.077",0.094,0.0,0.0,62.4,0.0
Wayman Tisdale,24,PF,"IND, SAC",79,2434,17.8,,"0.091, 0.093",0.092,0,0.0,30.9,0.0
Otis Thorpe,26,PF,HOU,82,3135,15.4,13.0,0.097,0.097,0.179,0.125,53.3,22.4
Ron Anderson,30,SF,PHI,82,2618,15.3,20.5,0.08,0.08,0.257,0.0,44.9,0.0
Jerome Kersey,26,SF,POR,76,2716,16.6,20.3,0.082,0.082,0.333,0.0,39.0,0.0
Ricky Pierce,29,SG,MIL,75,2078,18.6,24.7,0.091,0.091,0.195,0.231,54.4,45.0
Derrick McKey,22,SF,SEA,82,2804,15.5,12.1,0.086,0.086,0.1,0.25,49.3,25.0
Reggie Theus,31,SG,ATL,82,2517,16.1,6.0,0.096,0.096,0.066,0.222,60.9,14.7
