Player,Age,Position,Teams,Games,rsMinutesPlayed,psMinutesPlayed,rsPER,psPER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Lazaro Borrell,27,SF,SEA,17,167,26,15.0,19.3,0.083,0.083,0.274,0.222,0.0,0.0
Rafer Alston,23,PG,MIL,27,361,16,4.3,-11.6,0.023,0.023,-0.116,0.222,11.8,0.0
Jumaine Jones,20,SF,PHI,33,138,8,12.6,1.4,0.063,0.063,0.011,0.386,0.0,0.0
Chris Dudley,34,C,NYK,47,459,43,6.1,9.7,0.04,0.04,0.089,0.58,24.4,0.0
Drew Barry,26,PG,"GSW, ATL",16,159,0,8.8,,"0.041, 0.051",0.046,0,0.0,0.0,0.0
Derrick Dial,24,SG,SAS,8,95,8,12.0,24.8,0.061,0.061,0.354,0.125,0.0,0.0
Kevin Johnson,33,PG,PHO,6,113,129,17.3,4.9,0.083,0.083,0.049,0.323,0.0,15.8
Eric Montross,28,C,DET,51,332,5,0.2,-1.0,0.001,0.001,-0.065,0.0,0.5,0.0
Lari Ketner,22,PF,"CHI, CLE",22,132,0,8.7,,"0.019, 0.052",0.043,0,0.0,0.0,0.0
Etdrick Bohannon,26,PF,"NYK, LAC",13,118,0,10.6,,"0.051, 0.058",0.057,0.0,0.0,0.0,0.0
Jamel Thomas,26,SF,"BOS, GSW",7,46,0,3.0,,"0.1, 0.012",0.05,0,0.0,0.0,0.0
Mark Hendrickson,25,PF,"CLE, NJN",15,71,0,5.5,,"0.077, 0.028",0.061,0,0.0,0.0,0.0
Gary Grant,34,PG,POR,3,24,8,8.0,-2.1,0.044,0.044,-0.015,0.65,0.0,0.0
Johnny Taylor,25,SF,"DEN, ORL",6,34,0,9.9,,"-0.071, 0.049",0.029,0,0.0,0.0,0.0
Antonio Lang,27,SF,"TOR, PHI",10,38,0,25.2,,"0.012, 0.126",0.046,0.0,0.386,0.0,0.0
Ira Bowman,26,SG,PHI,11,20,11,13.3,-4.7,0.067,0.067,-0.037,0.386,0.0,0.0
